"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Manu Ginobili",3700,"SA@DAL 12/12/2017 08:30PM ET",16.182,"SA"
"SG","Malik Beasley",3600,"DEN@DET 12/12/2017 07:00PM ET",7.398,"DEN"
"SF/PF","Anthony Tolliver",3600,"DEN@DET 12/12/2017 07:00PM ET",13.696,"DET"
"PG/SG","Nik Stauskas",3600,"WAS@BKN 12/12/2017 07:30PM ET",2.125,"BKN"
"PG","Derrick Rose",3600,"ATL@CLE 12/12/2017 07:00PM ET",19.786,"CLE"
"PG/SG","Frank Ntilikina",3600,"LAL@NY 12/12/2017 07:00PM ET",14.978,"NY"
"SG","Brandon Paul",3600,"SA@DAL 12/12/2017 08:30PM ET",8.79,"SA"
"PG/SG","Bryn Forbes",3600,"SA@DAL 12/12/2017 08:30PM ET",11.048,"SA"
"PF","Maxi Kleber",3600,"SA@DAL 12/12/2017 08:30PM ET",11.905,"DAL"
"PF/C","Amir Johnson",3600,"PHI@MIN 12/12/2017 09:30PM ET",15.896,"PHI"
"SG","Jamal Crawford",3600,"PHI@MIN 12/12/2017 09:30PM ET",14.981,"MIN"
"SF/PF","Juancho Hernangomez",3500,"DEN@DET 12/12/2017 07:00PM ET",9.481,"DEN"
"C","Tyler Zeller",3500,"WAS@BKN 12/12/2017 07:30PM ET",16.662,"BKN"
"C","Miles Plumlee",3500,"ATL@CLE 12/12/2017 07:00PM ET",11.107,"ATL"
"PG/SG","Iman Shumpert",3500,"ATL@CLE 12/12/2017 07:00PM ET",12.192,"CLE"
"C","Mike Muscala",3500,"ATL@CLE 12/12/2017 07:00PM ET",16.333,"ATL"
"PF/C","Guillermo Hernangomez",3500,"LAL@NY 12/12/2017 07:00PM ET",12.339,"NY"
"PG/SG","Devin Harris",3500,"SA@DAL 12/12/2017 08:30PM ET",16.095,"DAL"
"SF/PF","Davis Bertans",3500,"SA@DAL 12/12/2017 08:30PM ET",8.625,"SA"
"PG/SG","Tyus Jones",3500,"PHI@MIN 12/12/2017 09:30PM ET",12.565,"MIN"
"PG/SG","Jerryd Bayless",3500,"PHI@MIN 12/12/2017 09:30PM ET",16.55,"PHI"
"SG/SF","Shabazz Muhammad",3500,"PHI@MIN 12/12/2017 09:30PM ET",7.25,"MIN"
"SF/PF","Nemanja Bjelica",3500,"PHI@MIN 12/12/2017 09:30PM ET",13.514,"MIN"
"PF/C","Jarrett Allen",3400,"WAS@BKN 12/12/2017 07:30PM ET",13.441,"BKN"
"PG/SG","Malcolm Delaney",3400,"ATL@CLE 12/12/2017 07:00PM ET",11.763,"ATL"
"SG/SF","Damyean Dotson",3400,"LAL@NY 12/12/2017 07:00PM ET",5.765,"NY"
