"Place_lo","Place_hi","Payout"
"1","1","6000"
"2","2","4000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","350"
"16","25","250"
"26","35","200"
"36","50","150"
"51","75","100"
"76","100","75"
"101","125","50"
"126","175","40"
"176","225","30"
"226","275","25"
"276","350","20"
"351","500","15"
"501","800","12"
"801","1300","10"
"1301","2300","8"
"2301","4000","7"
"4001","6750","6"
"6751","11225","5"
