"Place_lo","Place_hi","Payout"
"1","1","10000"
"2","2","5000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1250"
"7","8","1000"
"9","10","750"
"11","15","600"
"16","20","500"
"21","30","400"
"31","40","300"
"41","50","250"
"51","70","200"
"71","100","150"
"101","150","125"
"151","250","100"
"251","400","80"
"401","650","65"
"651","1065","50"
