"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Allen Crabbe",4400,"NY@BKN 12/14/2017 07:30PM ET",21.989,"BKN","NY",23.98,23.7,10.5
"PG","Jarrett Jack",4400,"NY@BKN 12/14/2017 07:30PM ET",20.05,"NY","BKN",0,0,0
"PG","De'Aaron Fox",4400,"SAC@MIN 12/14/2017 08:00PM ET",20.852,"SAC","MIN",20.14,19.2,4
"SF/PF","Jeff Green",4300,"LAL@CLE 12/14/2017 08:00PM ET",19.054,"CLE","LAL",20.04,20.7,16.25
"SG/SF","Andre Iguodala",4200,"DAL@GS 12/14/2017 10:30PM ET",18.125,"GS","DAL",23.17,22.7,20.75
"PG/SG","George Hill",4200,"SAC@MIN 12/14/2017 08:00PM ET",19.26,"SAC","MIN",20.22,19.1,24
"PF","Tyler Cavanaugh",4100,"DET@ATL 12/14/2017 07:30PM ET",12.125,"ATL","DET",10.5,12.8,12.5
"SG/SF","JR Smith",4100,"LAL@CLE 12/14/2017 08:00PM ET",18.036,"CLE","LAL",19.71,19.2,19.5
"SG","Marco Belinelli",4000,"DET@ATL 12/14/2017 07:30PM ET",21.12,"ATL","DET",17.65,18.4,5.5
"PG","Ish Smith",4000,"DET@ATL 12/14/2017 07:30PM ET",18.546,"DET","ATL",18.6,18.2,0
"PG/SG","Seth Curry",4000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,0
"C","Jahlil Okafor",4000,"NY@BKN 12/14/2017 07:30PM ET",12.625,"BKN","NY",11.32,10.4,0
"SG/SF","Bogdan Bogdanovic",3900,"SAC@MIN 12/14/2017 08:00PM ET",18.594,"SAC","MIN",19.25,21,21.5
"PG/SG","Frank Mason III",3900,"SAC@MIN 12/14/2017 08:00PM ET",15.95,"SAC","MIN",0,20.4,15.5
"PG/SG","Shaun Livingston",3800,"DAL@GS 12/14/2017 10:30PM ET",11.09,"GS","DAL",16.49,15.6,9.75
"PF/C","Kyle O'Quinn",3800,"NY@BKN 12/14/2017 07:30PM ET",18.741,"NY","BKN",0,0,0
"PG/SG","Frank Ntilikina",3800,"NY@BKN 12/14/2017 07:30PM ET",15.594,"NY","BKN",0,0,0
"SG/SF","Kyle Korver",3800,"LAL@CLE 12/14/2017 08:00PM ET",17.375,"CLE","LAL",16,16.6,15.75
"PF/C","Gorgui Dieng",3800,"SAC@MIN 12/14/2017 08:00PM ET",15.76,"MIN","SAC",17.66,17.8,27
"SG/SF","Stanley Johnson",3700,"DET@ATL 12/14/2017 07:30PM ET",16.5,"DET","ATL",8.93,7.9,6
"PF/C","Dwight Powell",3700,"DAL@GS 12/14/2017 10:30PM ET",16.398,"DAL","GS",15.8,16.5,15.5
"SG/SF","Joe Harris",3700,"NY@BKN 12/14/2017 07:30PM ET",17.885,"BKN","NY",17.4,16.7,11
"SF/PF","Michael Beasley",3700,"NY@BKN 12/14/2017 07:30PM ET",14.321,"NY","BKN",0,0,0
"SF/PF","Jae Crowder",3700,"LAL@CLE 12/14/2017 08:00PM ET",15.938,"CLE","LAL",16.18,18,14
"PF/C","Tristan Thompson",3700,"LAL@CLE 12/14/2017 08:00PM ET",12.25,"CLE","LAL",7.11,0,0
"SF/PF","Luke Babbitt",3600,"DET@ATL 12/14/2017 07:30PM ET",13.667,"ATL","DET",10.55,9.7,12.75
"SF/PF","Anthony Tolliver",3600,"DET@ATL 12/14/2017 07:30PM ET",13.531,"DET","ATL",14.13,14.7,8.5
"SG/SF","DeAndre' Bembry",3600,"DET@ATL 12/14/2017 07:30PM ET",13.423,"ATL","DET",0,17.1,0
"PF/C","David West",3600,"DAL@GS 12/14/2017 10:30PM ET",16.606,"GS","DAL",19.27,20.3,22.75
"PF/C","Jordan Bell",3600,"DAL@GS 12/14/2017 10:30PM ET",12.534,"GS","DAL",25.77,26.2,30.5
"SF/PF","Doug McDermott",3600,"NY@BKN 12/14/2017 07:30PM ET",15.278,"NY","BKN",0,0,0
"PG/SG","Nik Stauskas",3600,"NY@BKN 12/14/2017 07:30PM ET",2.125,"BKN","NY",0,0,0
"PG","Derrick Rose",3600,"LAL@CLE 12/14/2017 08:00PM ET",19.786,"CLE","LAL",0,0,0
"PG/SG","Garrett Temple",3600,"SAC@MIN 12/14/2017 08:00PM ET",15.74,"SAC","MIN",13.04,11.6,11.75
"SG","Jamal Crawford",3600,"SAC@MIN 12/14/2017 08:00PM ET",14.875,"MIN","SAC",16.32,14.7,8.5
"PG/SG","Langston Galloway",3500,"DET@ATL 12/14/2017 07:30PM ET",10.96,"DET","ATL",8.76,7.7,31.25
"C","Boban Marjanovic",3500,"DET@ATL 12/14/2017 07:30PM ET",10.281,"DET","ATL",7.46,0,0
"SF/PF","Omri Casspi",3500,"DAL@GS 12/14/2017 10:30PM ET",14.01,"GS","DAL",20.04,22.1,39.75
"PF","Maxi Kleber",3500,"DAL@GS 12/14/2017 10:30PM ET",11.841,"DAL","GS",20.1,18,10.75
"C","Tyler Zeller",3500,"NY@BKN 12/14/2017 07:30PM ET",17.097,"BKN","NY",16.28,15.9,20
"PF/C","Guillermo Hernangomez",3500,"NY@BKN 12/14/2017 07:30PM ET",12.339,"NY","BKN",0,0,0
"PG/SG","Iman Shumpert",3500,"LAL@CLE 12/14/2017 08:00PM ET",12.192,"CLE","LAL",0,0,0
"PG/SG","Tyus Jones",3500,"SAC@MIN 12/14/2017 08:00PM ET",12.589,"MIN","SAC",10.34,10.2,8.25
"SF/PF","Nemanja Bjelica",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.514,"MIN","SAC",0,0,0
"SG/SF","Shabazz Muhammad",3500,"SAC@MIN 12/14/2017 08:00PM ET",7.25,"MIN","SAC",0,0,0
"SF/PF","Jakarr Sampson",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.75,"SAC","MIN",0,0,0
"PG","Isaiah Taylor",3400,"DET@ATL 12/14/2017 07:30PM ET",12.2,"ATL","DET",8.85,9.9,8.75
"C","Miles Plumlee",3400,"DET@ATL 12/14/2017 07:30PM ET",10.469,"ATL","DET",13.09,10.6,6.25
"PG/SG","Devin Harris",3400,"DAL@GS 12/14/2017 10:30PM ET",16.239,"DAL","GS",16.73,17.1,28.5
"SG","Nick Young",3400,"DAL@GS 12/14/2017 10:30PM ET",10.759,"GS","DAL",0,0,0
"PG/SF","Patrick McCaw",3400,"DAL@GS 12/14/2017 10:30PM ET",9.033,"GS","DAL",16.19,14.2,7.5
"PF/C","Jarrett Allen",3400,"NY@BKN 12/14/2017 07:30PM ET",13.667,"BKN","NY",15.48,16.4,2.75
"SG/SF","Damyean Dotson",3400,"NY@BKN 12/14/2017 07:30PM ET",5.765,"NY","BKN",0,0,0
"C","Ivica Zubac",3400,"LAL@CLE 12/14/2017 08:00PM ET",1.333,"LAL","CLE",0,0,0
"PF/C","Skal Labissiere",3400,"SAC@MIN 12/14/2017 08:00PM ET",15.39,"SAC","MIN",10.67,11.8,10.75
"PG/SG","Malcolm Delaney",3300,"DET@ATL 12/14/2017 07:30PM ET",11.35,"ATL","DET",0,0,13.75
"C","Zaza Pachulia",3300,"DAL@GS 12/14/2017 10:30PM ET",14.6,"GS","DAL",0,0,0
"PG","Quinn Cook",3300,"DAL@GS 12/14/2017 10:30PM ET",8.042,"GS","DAL",8.31,9.3,6
"PG/SG","Ron Baker",3300,"NY@BKN 12/14/2017 07:30PM ET",10.361,"NY","BKN",0,0,0
"C","Joakim Noah",3300,"NY@BKN 12/14/2017 07:30PM ET",9.625,"NY","BKN",0,0,0
"PG","Jose Calderon",3300,"LAL@CLE 12/14/2017 08:00PM ET",8.868,"CLE","LAL",12.24,14,35.25
"C","Kosta Koufos",3300,"SAC@MIN 12/14/2017 08:00PM ET",15.694,"SAC","MIN",15.49,13.1,24
"SG/SF","Justin Jackson",3300,"SAC@MIN 12/14/2017 08:00PM ET",9.986,"SAC","MIN",0,0,7
"SG","Luke Kennard",3200,"DET@ATL 12/14/2017 07:30PM ET",10.875,"DET","ATL",11.05,12.8,14.5
"C","Mike Muscala",3200,"DET@ATL 12/14/2017 07:30PM ET",16.333,"ATL","DET",0,0,0
"SF/PF","Lance Thomas",3200,"NY@BKN 12/14/2017 07:30PM ET",8.688,"NY","BKN",0,0,0
"PG/SG","Isaiah Whitehead",3200,"NY@BKN 12/14/2017 07:30PM ET",12.722,"BKN","NY",0,0,0
"PF/C","Channing Frye",3200,"LAL@CLE 12/14/2017 08:00PM ET",9.798,"CLE","LAL",12.33,13.2,3.25
"C","Salah Mejri",3100,"DAL@GS 12/14/2017 10:30PM ET",11.826,"DAL","GS",9.32,9,0
"PF/C","Quincy Acy",3100,"NY@BKN 12/14/2017 07:30PM ET",11.726,"BKN","NY",8.57,8,5
"PG","Ramon Sessions",3100,"NY@BKN 12/14/2017 07:30PM ET",11.4,"NY","BKN",0,0,0
"PF/C","Eric Moreland",3000,"DET@ATL 12/14/2017 07:30PM ET",7.707,"DET","ATL",0,0,17.25
"PF/C","Jon Leuer",3000,"DET@ATL 12/14/2017 07:30PM ET",11.813,"DET","ATL",0,0,0
"PF/C","Henry Ellenson",3000,"DET@ATL 12/14/2017 07:30PM ET",10.139,"DET","ATL",0,0,0
"SG/SF","Reggie Bullock",3000,"DET@ATL 12/14/2017 07:30PM ET",7.231,"DET","ATL",9.85,10.8,14.25
"PG","Josh Magette",3000,"DET@ATL 12/14/2017 07:30PM ET",6.188,"ATL","DET",0,0,0
"PG/SG","Tyler Dorsey",3000,"DET@ATL 12/14/2017 07:30PM ET",3.722,"ATL","DET",0,0,7
"SF","Luis Montero",3000,"DET@ATL 12/14/2017 07:30PM ET",0,"DET","ATL",0,0,0
"PG","Dwight Buycks",3000,"DET@ATL 12/14/2017 07:30PM ET",0,"DET","ATL",0,0,0
"PF","Nerlens Noel",3000,"DAL@GS 12/14/2017 10:30PM ET",12.132,"DAL","GS",0,0,0
"C","JaVale McGee",3000,"DAL@GS 12/14/2017 10:30PM ET",8.844,"GS","DAL",7.66,0,2
"SF/PF","Kevon Looney",3000,"DAL@GS 12/14/2017 10:30PM ET",8.512,"GS","DAL",5.29,0,2.25
"SG","Antonius Cleveland",3000,"DAL@GS 12/14/2017 10:30PM ET",5.156,"DAL","GS",3.81,5.6,3.25
"C","Jeff Withey",3000,"DAL@GS 12/14/2017 10:30PM ET",3.781,"DAL","GS",0,0,3.25
"SF","Dorian Finney-Smith",3000,"DAL@GS 12/14/2017 10:30PM ET",5.875,"DAL","GS",0,0,0
"PF/C","Johnathan Motley",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,7.25
