"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","vs LAL","14th",115,11900,35.7,82.6,57.4,1.56,30.6,18.8,36.8,36.46,55.75,55.75,"%",77,4.7,38,68.5,5.8
"Kevin Durant","SF/PFSFPF","GSW","vs DAL","12th",109.5,11300,31.5,66.7,47.8,1.41,30.6,18.3,34,35.24,46.59,46.59,"%",79,4.1,34,65.25,5.8
"Kristaps Porzingis","PF/CPFC","NYK","@ BKN","15th",106,9600,21.4,71.7,41.8,1.31,35.9,20,32,34.65,42.97,42.97,"%",66,4.5,17,23,2.4
"Andre Drummond","C","DET","@ ATL","15th",104.75,9300,25.9,64.9,43.2,1.32,20.9,9.9,32.7,33.61,42.58,42.58,"%",74,4.6,31,55.75,6
"Karl-Anthony Towns","C","MIN","vs SAC","27th",106.5,9100,29.4,67.9,42.3,1.21,23.7,14.4,35,38,45.9,45.9,"%",74,5,34,69.5,7.6
"Jimmy Butler","SG","MIN","vs SAC","7th",106.5,8700,25.7,60.8,37.8,1.02,23.3,15.5,36.9,39,40.76,40.76,"%",74,4.7,35,51.25,5.9
"Kevin Love","PF/CPFC","CLE","vs LAL","20th",115,7900,24.6,63.8,38,1.32,27.5,13.1,28.7,30,41.43,41.43,"%",71,5.2,34,54.75,6.9
"Dennis Schroder","PG","ATL","vs DET","11th",100.75,7200,21.9,48.5,34.7,1.11,30.4,17.7,31.4,32.86,33.32,33.32,"%",78,4.6,27,29.25,4.1
"Lonzo Ball","PG","LAL","@ CLE","23rd",106,7000,15.7,64.1,32.6,1,17.4,10.7,32.7,33.2,36.45,36.45,"%",58,5.2,37,43.5,6.2
"Klay Thompson","SG","GSW","vs DAL","16th",109.5,6900,24.1,48.4,33.4,1.01,24.3,16.1,33.1,35.77,34.55,34.55,"%",79,5,36,31.75,4.6
"Zach Randolph","PF/CPFC","SAC","@ MIN","6th",96.5,6800,14.2,58.1,29.3,1.15,27,12.7,25.4,27.82,33.02,33.02,"%",57,4.9,24,28.75,4.2
"Spencer Dinwiddie","PG/SGPGSG","BKN","vs NYK","22nd",107,6700,19.8,57.8,29.1,1.11,20.6,10.4,26.1,31,36.05,36.05,"%",63,5.4,35,50.25,7.5
"Harrison Barnes","SF/PFSFPF","DAL","@ GSW","30th",100.5,6700,29.9,54.7,32.3,0.93,24.9,15.3,34.6,36,40.5,40.5,"%",78,6,32,29.25,4.4
"Enes Kanter","PF/CPFC","NYK","@ BKN","30th",106,6600,20.2,53.1,30.3,1.2,21.3,9.5,25.3,27.96,34.31,34.31,"%",69,5.2,27,28.25,4.3
"Brandon Ingram","SG/SFSGSF","LAL","@ CLE","19th",106,6500,17.9,52.7,29.8,0.88,22.5,13.3,33.7,36.2,32.83,32.83,"%",67,5.1,39,45,6.9
"Jeff Teague","PG","MIN","vs SAC","17th",106.5,6400,15.1,52,31.4,0.93,19.9,11,33.8,34.57,30.91,30.91,"%",66,4.8,30,24.5,3.8
"Tobias Harris","SF/PFSFPF","DET","@ ATL","28th",104.75,6300,18.6,52.1,30.1,0.92,22.1,14.6,32.8,34.11,32.98,32.98,"%",68,5.2,30,29,4.6
"Andrew Wiggins","SF/PFSFPF","MIN","vs SAC","3rd",106.5,6200,14,43.5,29.6,0.81,23.9,15.8,36.5,37.22,26.61,26.61,"%",71,4.3,33,24.25,3.9
"Rondae Hollis-Jefferson","SF/PFSFPF","BKN","vs NYK","10th",107,6100,15.7,50,27.5,1.02,22.1,10.3,27,32.7,30.35,30.35,"%",64,5,37,48.25,7.9
"Taj Gibson","PF/CPFC","MIN","vs SAC","27th",106.5,5900,14.3,47.1,26.9,0.82,14.2,8.1,33,33.65,28.37,28.37,"%",65,4.8,24,22.5,3.8
"Reggie Jackson","PG","DET","@ ATL","21st",104.75,5800,17.9,45.8,28.1,1.04,26.4,12.5,27.1,28.79,29.83,29.83,"%",72,5.1,28,17,2.9
"Taurean Prince","SG/SFSGSF","ATL","vs DET","25th",100.75,5700,13.5,45,26.6,0.87,20.2,11.1,30.6,31.18,27,27,"%",66,4.7,23,14.5,2.5
"Kent Bazemore","SG/SFSGSF","ATL","vs DET","25th",100.75,5700,12.8,47.1,27.7,0.98,22.3,10.2,28.2,28.71,27.53,27.53,"%",65,4.8,23,26.25,4.6
"Juan Jose Barea","PG/SGPGSG","DAL","@ GSW","12th",100.5,5600,18.5,43.5,25.4,1.15,27.1,10.2,22,26,29.2,29.2,"%",72,5.2,25,25.5,4.6
"Kyle Kuzma","SF/PFSFPF","LAL","@ CLE","19th",106,5500,11.3,43.1,28.3,0.95,21.9,12.8,29.8,26.2,24.92,24.92,"%",68,4.5,30,28.75,5.2
"Courtney Lee","SG/SFSGSF","NYK","@ BKN","26th",106,5500,16.3,45.8,24.4,0.77,16.8,10.2,31.6,34.82,28.94,28.94,"%",66,5.3,36,41.5,7.5
"John Collins","PF/CPFC","ATL","vs DET","14th",100.75,5500,10.8,43.4,24.2,1.08,21.8,8.3,22.5,25,24.75,24.75,"%",61,4.5,19,29.25,5.3
"Caris LeVert","SG/SFSGSF","BKN","vs NYK","10th",107,5400,16.7,44.8,24.4,0.95,21.7,9.8,25.8,29.2,28.76,28.76,"%",67,5.3,28,34.25,6.3
"Dwyane Wade","PG/SGPGSG","CLE","vs LAL","14th",115,5300,9.9,48,24.6,1.06,25.1,9.8,23.2,23.03,26.19,26.19,"%",56,4.9,22,21,4
"DeMarre Carroll","SF/PFSFPF","BKN","vs NYK","20th",107,5300,19.9,45.5,27.8,0.96,20,10.5,28.9,31.6,30.9,30.9,"%",74,5.8,31,25.25,4.8
"Ersan Ilyasova","SF/PFSFPF","ATL","vs DET","14th",100.75,5300,4.5,41.2,19.8,0.91,16.7,7.6,21.8,22,20.22,20.22,"%",47,3.8,26,28.75,5.4
"Buddy Hield","SG/SFSGSF","SAC","@ MIN","6th",96.5,5200,10.5,47.6,22.4,0.99,25.2,10.6,22.6,27.21,26.39,26.39,"%",53,5.1,21,14.25,2.7
