"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Willie Cauley-Stein","PF/CPFC","SAC","@ MIN","29th",96.5,5100,15.1,52.3,23.9,0.98,20.9,8.6,24.3,28.3,31.07,31.07,"%",56,6.1,19,17.25,3.4
"Julius Randle","PF/CPFC","LAL","@ CLE","21st",106,5100,17.3,42.5,24.7,1.12,24.2,8.7,22.1,25.9,28.05,28.05,"%",71,5.5,21,23.5,4.6
"Avery Bradley","PG/SGPGSG","DET","@ ATL","23rd",104.75,5100,12,41.7,24.2,0.78,24.7,13.7,31,33,24.72,24.72,"%",65,4.8,26,26.25,5.1
"Jordan Clarkson","PG/SGPGSG","LAL","@ CLE","25th",106,5000,12.4,45.6,24.3,1.1,28.8,12.1,22.1,25,26.6,26.6,"%",61,5.3,25,17.75,3.6
"Brook Lopez","C","LAL","@ CLE","21st",106,4700,4.1,44.1,25.5,1.14,25.9,11.1,22.3,18.6,21.24,21.24,"%",55,4.5,22,13.75,2.9
"Yogi Ferrell","PG/SGPGSG","DAL","@ GSW","12th",100.5,4600,8.6,34.3,18.2,0.65,16.5,7.8,27.8,33,19.57,19.57,"%",60,4.3,24,18.75,4.1
"Wesley Matthews","SG/SFSGSF","DAL","@ GSW","19th",100.5,4600,8.8,43.7,23.4,0.69,17.3,10.8,34.1,33.76,23.73,23.73,"%",57,5.2,29,13.5,2.9
"Larry Nance Jr.","SF/PFSFPF","LAL","@ CLE","19th",106,4500,8.3,40.8,23.3,1.01,15.6,6.7,23.1,22.1,22.23,22.23,"%",60,4.9,21,29.5,6.6
"De'Aaron Fox","PG","SAC","@ MIN","19th",96.5,4400,7.4,33.1,20.9,0.81,23.4,10,25.7,25.46,18.43,18.43,"%",65,4.2,7,4,0.9
"Jarrett Jack","PG","NYK","@ BKN","30th",106,4400,13.5,39.6,20.1,0.79,14.5,6.3,25.6,25.74,24.66,24.66,"%",63,5.6,22,17,3.9
"Allen Crabbe","SG/SFSGSF","BKN","vs NYK","10th",107,4400,11,41,22,0.81,18.7,10.4,27.1,30.4,23.86,23.86,"%",61,5.4,35,10.5,2.4
"Dirk Nowitzki","PF/CPFC","DAL","@ GSW","13th",100.5,4400,13.7,39.1,22.7,0.93,20.1,9.4,24.5,25.74,24.56,24.56,"%",68,5.6,26,33.25,7.6
"Jeff Green","SF/PFSFPF","CLE","vs LAL","14th",115,4300,7.4,38.8,19.1,0.89,21.3,7.7,21.4,24.29,20.87,20.87,"%",53,4.9,24,16.25,3.8
"George Hill","PG/SGPGSG","SAC","@ MIN","19th",96.5,4200,7.3,37.5,19.3,0.77,16.7,7.5,25.2,24.4,20.23,20.23,"%",55,4.8,29,24,5.7
"Andre Iguodala","SG/SFSGSF","GSW","vs DAL","16th",109.5,4200,13.2,31.3,18.1,0.7,11.5,5,26,30.25,20.96,20.96,"%",72,5,29,20.75,4.9
"J.R. Smith","SG/SFSGSF","CLE","vs LAL","14th",115,4100,10.3,35.2,18,0.6,13.5,7.7,30,33,20.99,20.99,"%",60,5.1,31,19.5,4.8
"Tyler Cavanaugh","PF","ATL","vs DET","14th",100.75,4100,0,31,13.6,0.88,14.7,4.4,15.5,14.1,12.56,12.56,"%",32,3.1,7,12.5,3
"Jahlil Okafor","C","BKN","vs NYK","4th",107,4000,0,37.9,12.6,1.01,30.6,4.5,12.5,16.1,14.7,14.7,"%",0,3.7,0,0,NA
"Ishmael Smith","PG","DET","@ ATL","21st",104.75,4000,9.4,31.4,18.5,0.95,23.4,8.6,19.4,19.21,18.85,18.85,"%",66,4.7,10,6.25,1.6
"Marco Belinelli","SG","ATL","vs DET","11th",100.75,4000,7.8,36.5,21.1,0.85,20.9,9.8,24.9,23.11,20.08,20.08,"%",61,5,10,5.5,1.4
"Frank Mason III","PG/SGPGSG","SAC","@ MIN","19th",96.5,3900,12.1,36.9,16,0.87,25.8,6.8,18.3,24.83,22.72,22.72,"%",56,5.8,22,15.5,4
"Bogdan Bogdanovic","SG/SFSGSF","SAC","@ MIN","6th",96.5,3900,13.6,32.3,18.6,0.78,20.5,8.5,23.8,29.16,21.58,21.58,"%",71,5.5,32,21.5,5.5
"Kyle O'Quinn","PF/CPFC","NYK","@ BKN","15th",106,3800,0.9,36.3,18.7,1.2,19.3,4.4,15.6,13.72,16.08,16.08,"%",46,4.2,20,30,7.9
"Shaun Livingston","PG/SGPGSG","GSW","vs DAL","24th",109.5,3800,9.2,28.8,11.2,0.73,15.7,4.4,15.4,23,17.55,17.55,"%",50,4.6,20,9.75,2.6
"Gorgui Dieng","PF/CPFC","MIN","vs SAC","27th",106.5,3800,5.4,34.1,15.8,0.94,18.3,5.1,16.8,18,17.71,17.71,"%",48,4.7,24,27,7.1
"Kyle Korver","SG/SFSGSF","CLE","vs LAL","14th",115,3800,5.7,33.6,17.4,0.79,17,7.3,22,23.64,17.68,17.68,"%",54,4.7,21,15.75,4.1
"Frank Ntilikina","PG/SGPGSG","NYK","@ BKN","30th",106,3800,9.3,38.2,15.6,0.8,19.3,6.1,19.6,24.58,21.68,21.68,"%",47,5.7,27,28.75,7.6
"Tristan Thompson","PF/CPFC","CLE","vs LAL","16th",115,3700,0,17.8,12.3,0.64,8.2,2.8,19.2,8.4,5.22,5.22,"%",49,1.4,0,0,NA
"Jae Crowder","SF/PFSFPF","CLE","vs LAL","14th",115,3700,3.7,30.2,15.9,0.63,16,7.2,25.2,24.79,15.05,15.05,"%",52,4.1,24,14,3.8
"Michael Beasley","SF/PFSFPF","NYK","@ BKN","15th",106,3700,1.2,34,14.9,0.96,28.5,7.4,15.6,14.13,15.25,15.25,"%",37,4.1,19,22,5.9
"Joe Harris","SG/SFSGSF","BKN","vs NYK","10th",107,3700,6.4,30.2,17.9,0.76,16.9,7.9,23.5,23.5,16.59,16.59,"%",62,4.5,21,11,3
"Dwight Powell","PF/CPFC","DAL","@ GSW","13th",100.5,3700,7.6,35,16.5,0.95,17.7,4.9,17.3,18.34,19.33,19.33,"%",53,5.2,22,15.5,4.2
"Stanley Johnson","SG/SFSGSF","DET","@ ATL","28th",104.75,3700,0,25.1,16.5,0.59,13.6,7.2,27.8,14.8,9.46,9.46,"%",53,2.6,14,6,1.6
"Jamal Crawford","SG","MIN","vs SAC","7th",106.5,3600,5.8,31.7,14.9,0.87,26.4,8,17.1,20.62,16.89,16.89,"%",50,4.7,16,8.5,2.4
"Garrett Temple","PG/SGPGSG","SAC","@ MIN","6th",96.5,3600,0,26.8,15.7,0.65,16,7,24,19,11.27,11.27,"%",51,3.1,17,11.75,3.3
"Doug McDermott","SF/PFSFPF","NYK","@ BKN","15th",106,3600,7.9,29.8,15.3,0.65,14.6,6.9,23.6,26.77,17.29,17.29,"%",59,4.8,25,10.75,3
"Jordan Bell","PF/CPFC","GSW","vs DAL","25th",109.5,3600,18.4,48.1,12.5,1.17,13.8,2.8,10.7,25.3,31.12,31.12,"%",32,8.6,24,30.5,8.5
"David West","PF/CPFC","GSW","vs DAL","25th",109.5,3600,19,39.2,16.6,1.39,22.4,4.6,11.9,18.2,27.66,27.66,"%",65,7.7,14,22.75,6.3
"DeAndre Bembry","SG/SFSGSF","ATL","vs DET","25th",100.75,3600,4.1,33.9,13.4,0.77,22.3,5.7,17.5,22.36,16.86,16.86,"%",36,4.7,20,2.5,0.7
"Anthony Tolliver","SF/PFSFPF","DET","@ ATL","18th",104.75,3600,7.1,27.7,13.5,0.74,15.6,5.1,18.2,22.11,15.92,15.92,"%",56,4.4,15,8.5,2.4
"Luke Babbitt","SF/PFSFPF","ATL","vs DET","25th",100.75,3600,0,26.6,14.2,0.73,15.3,5.8,19.4,14,10.54,10.54,"%",43,2.9,17,12.75,3.5
"Tyus Jones","PG/SGPGSG","MIN","vs SAC","17th",106.5,3500,0,34.8,12.6,0.76,10.8,3.1,16.6,15.93,13.92,13.92,"%",17,4,17,8.25,2.4
"Tyler Zeller","C","BKN","vs NYK","4th",107,3500,6.5,28.4,17.1,0.94,20.1,5.9,18.2,18.7,15.9,15.9,"%",63,4.5,23,20,5.7
"Maxi Kleber","PF","DAL","@ GSW","13th",100.5,3500,5.8,35,11.8,0.69,13.3,4.1,17.1,28.31,18.34,18.34,"%",29,5.2,28,10.75,3.1
"Omri Casspi","SF/PFSFPF","GSW","vs DAL","12th",109.5,3500,11.8,40.9,14,0.98,15.3,3.9,14.3,29.1,24.27,24.27,"%",41,6.9,30,39.75,11.4
"Boban Marjanovic","C","DET","@ ATL","15th",104.75,3500,0,20.4,10.3,1.41,37.5,3.8,7.3,4.96,6.88,6.88,"%",34,2,0,0,NA
"Langston Galloway","PG/SGPGSG","DET","@ ATL","21st",104.75,3500,0.6,24.6,11,0.84,20.2,5.2,13.1,12,10.88,10.88,"%",38,3.1,21,31.25,8.9
"Miles Plumlee","C","ATL","vs DET","25th",100.75,3400,0,24.7,10.5,0.77,14,3.3,13.6,12.04,9.92,9.92,"%",30,2.9,23,6.25,1.8
"Isaiah Taylor","PG","ATL","vs DET","11th",100.75,3400,0,24.3,12.2,0.77,18.5,5,15.8,13.04,9.91,9.91,"%",41,2.9,13,8.75,2.6
"Skal Labissiere","PF/CPFC","SAC","@ MIN","6th",96.5,3400,0.6,26,15.4,0.94,25.5,6.9,16.4,12.95,11.5,11.5,"%",53,3.4,12,10.75,3.2
"Jarrett Allen","PF/CPFC","BKN","vs NYK","4th",107,3400,5.9,26.7,13.7,0.85,12.7,3.8,16.1,20,14.78,14.78,"%",57,4.3,10,2.75,0.8
"Patrick McCaw","PG/SFPGSF","GSW","vs DAL","16th",109.5,3400,0.8,31.1,9,0.67,10.8,3,13.4,20.8,13.81,13.81,"%",4,4.1,29,7.5,2.2
"Devin Harris","PG/SGPGSG","DAL","@ GSW","12th",100.5,3400,7.2,30.7,16.2,0.89,23.7,6.8,18.2,21.15,17.28,17.28,"%",59,5.1,24,28.5,8.4
"Justin Jackson","SG/SFSGSF","SAC","@ MIN","13th",96.5,3300,0,12.2,10,0.53,16.3,6.3,18.7,0,0,0,"%",39,0,12,7,2.1
"Kosta Koufos","C","SAC","@ MIN","29th",96.5,3300,2.1,30.6,15.7,0.89,13.5,3.9,17.7,16.21,14.28,14.28,"%",48,4.3,18,24,7.3
"Jose Calderon","PG","CLE","vs LAL","28th",115,3300,1.5,27.9,9.4,0.56,9.4,2.8,16.8,20,12.82,12.82,"%",20,3.9,23,35.25,10.7
"Ron Baker","PG/SGPGSG","NYK","@ BKN","26th",106,3300,1.3,21.9,11.7,0.75,11,2.1,15.6,12.8,10.12,10.12,"%",50,3.1,18,16,4.8
"Quinn Cook","PG","GSW","vs DAL","24th",109.5,3300,0,19.5,9.3,0.72,11.5,3.4,13,10.42,7.71,7.71,"%",37,2.3,8,6,1.8
"Malcolm Delaney","PG/SGPGSG","ATL","vs DET","11th",100.75,3300,0,12.4,11.4,0.64,17.4,4.6,17.8,0,0,0,"%",46,0,16,13.75,4.2
"Channing Frye","PF/CPFC","CLE","vs LAL","20th",115,3200,0.8,23,10.2,0.78,17,3.7,13,13,10.3,10.3,"%",38,3.2,7,3.25,1
"Lance Thomas","SF/PFSFPF","NYK","@ BKN","15th",106,3200,6.2,23.1,8.7,0.53,13.3,3.6,16.3,25.6,13.44,13.44,"%",45,4.2,24,6.75,2.1
"Luke Kennard","SG","DET","@ ATL","23rd",104.75,3200,2.7,27.6,10.9,0.69,18,5.5,15.8,18.32,13.36,13.36,"%",34,4.2,19,14.5,4.5
"Quincy Acy","PF/CPFC","BKN","vs NYK","26th",107,3100,0,15.5,11.7,0.69,16.4,4.6,16.9,8.5,6.03,6.03,"%",60,1.9,7,5,1.6
"Salah Mejri","C","DAL","@ GSW","6th",100.5,3100,0,27.8,11.8,1.06,9.7,1.7,11.1,11,9.41,9.41,"%",22,3,0,0,NA
"Marcus Georges-Hunt","SG/SFSGSF","MIN","vs SAC","3rd",106.5,3000,0,5.4,1.7,0.85,17.7,0.6,2,0,0,0,"%",0,0,16,7.75,2.6
"Aaron Brooks","PG/SGPGSG","MIN","vs SAC","17th",106.5,3000,0,5.1,4.4,0.8,29.6,2.1,5.5,0,0,0,"%",42,0,2,7.75,2.6
"Tyler Dorsey","PG/SGPGSG","ATL","vs DET","11th",100.75,3000,0,8.8,4,0.67,15.5,2,6,0,0,0,"%",0,0,10,7,2.3
"Vince Carter","SG/SFSGSF","SAC","@ MIN","6th",96.5,3000,0,13.2,7.4,0.59,14.6,3.3,12.6,4.8,2.61,2.61,"%",29,0.9,15,15,5
"Reggie Bullock","SG/SFSGSF","DET","@ ATL","28th",104.75,3000,0,19.9,7.2,0.5,12.3,2.9,14.3,14.8,8.48,8.48,"%",21,2.8,23,14.25,4.8
"Eric Moreland","PF/CPFC","DET","@ ATL","18th",104.75,3000,0,17.1,7.7,0.79,7.2,1,9.8,5.18,4.5,4.5,"%",18,1.5,15,17.25,5.8
"Tyler Ennis","PG/SGPGSG","LAL","@ CLE","23rd",106,3000,0,17.9,4.4,0.86,19.2,1.8,5.1,8.4,7.56,7.56,"%",0,2.5,0,0,NA
"Cedi Osman","SG/SFSGSF","CLE","vs LAL","14th",115,3000,0,9.7,5.3,0.74,14.9,1.9,7.2,0,0,0,"%",9,0,10,6,2
"Josh Hart","PG/SGPGSG","LAL","@ CLE","25th",106,3000,4.6,25.4,8.1,0.6,9.8,2.6,13.5,24.2,13.53,13.53,"%",27,4.5,32,32,10.7
"Corey Brewer","SG/SFSGSF","LAL","@ CLE","19th",106,3000,0,15.9,7,0.61,12.8,2.3,11.4,5.7,4.77,4.77,"%",21,1.6,8,7.5,2.5
"Timofey Mozgov","C","BKN","vs NYK","4th",107,3000,0,12,10.3,0.78,15.3,3.3,13.2,0,0,0,"%",42,0,8,7.5,2.5
"Johnathan Motley","PF/CPFC","DAL","@ GSW","13th",100.5,3000,0,0,NA,NA,NA,NA,NA,0,0,0,"%",0,0,1,7.25,2.4
"Jeff Withey","C","DAL","@ GSW","6th",100.5,3000,0,5.4,3.8,0.93,23.2,1.8,4.1,0,0,0,"%",29,0,3,3.25,1.1
"Antonius Cleveland","SG","DAL","@ GSW","19th",100.5,3000,1.2,15.2,5.2,0.79,16.3,1.5,6.6,8.99,7.19,7.19,"%",23,2.4,20,3.25,1.1
"Cole Aldrich","C","MIN","vs SAC","27th",106.5,3000,0,3,1.4,0.7,18.3,0.5,2,0,0,0,"%",0,0,2,4,1.3
"Kevon Looney","SF/PFSFPF","GSW","vs DAL","25th",109.5,3000,0,20.1,8.5,0.91,13.5,2.1,9.3,6.78,7.7,7.7,"%",27,2.6,7,2.25,0.8
"JaVale McGee","C","GSW","vs DAL","11th",109.5,3000,0,14.5,8.8,1.16,18.6,2.7,7.6,3.79,3.7,3.7,"%",39,1.2,3,2,0.7
