"LaMarcus Aldridge_SA","Kyrie Irving_BOS","Marc Gasol_MEM","Kawhi Leonard_SA","Tyreke Evans_MEM","Al Horford_BOS","Harrison Barnes_DAL","Mike Conley_MEM","Rudy Gay_SA","Jayson Tatum_BOS","JJ Barea_DAL","Jaylen Brown_BOS","Pau Gasol_SA","Kyle Anderson_SA","Marcus Smart_BOS","Danny Green_SA","Dennis Smith_DAL","Yogi Ferrell_DAL","Wesley Matthews_DAL","Marcus Morris_BOS","Dirk Nowitzki_DAL","JaMychal Green_MEM","Patty Mills_SA","Terry Rozier_BOS","Andrew Harrison_MEM","Tony Parker_SA","Dejounte Murray_SA","Aron Baynes_BOS","Manu Ginobili_SA","Seth Curry_DAL","Mario Chalmers_MEM","Chandler Parsons_MEM","Brandon Paul_SA","Bryn Forbes_SA","Davis Bertans_SA","Dillon Brooks_MEM","Dwight Powell_DAL","Devin Harris_DAL","Maxi Kleber_DAL","Daniel Theis_BOS","James Ennis III_MEM","Ben McLemore_MEM","Shane Larkin_BOS","Semi Ojeleye_BOS","Jarell Martin_MEM","Brandan Wright_MEM","Gordon Hayward_BOS","Abdel Nader_BOS","Jabari Bird_BOS","Vince Hunter_MEM","Wayne Selden_MEM","Kadeem Allen_BOS","Ivan Rabb_MEM","Deyonta Davis_MEM","Guerschon Yabusele_BOS","Kobi Simmons_MEM","Josh McRoberts_DAL","Jeff Withey_DAL","Salah Mejri_DAL","Darrun Hilliard_SA","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Matt Costello_SA","Joffrey Lauvergne_SA","Johnathan Motley_DAL","Antonius Cleveland_DAL","Derrick White_SA"
79.03125,0,0,-49.6875,0,0,0,0,-79.78125,0,0,0,-29.25,128.25,0,-38.90625,0,0,0,0,0,0,0,0,0,-13.96875,10.40625,0,-8.53125,0,0,0,-7.125,-12.84375,-64.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0
0,1.121875,0,0,0,-81.0875,0,0,0,-10.975,0,118.896875,0,0,84.51875,0,0,0,0,57.1125,0,0,0,-40.265625,0,0,0,28.290625,0,0,0,0,0,0,0,0,0,0,0,-62.64375,0,0,-46.665625,19.0625,0,0,0,-26.90625,0,0,0,0,0,0,-37.66875,0,0,0,0,0,0,0,0,0,0,0,0
-47.59375,0,0,-59.625,0,0,0,0,25.671875,0,0,0,58.15625,-38.90625,0,69.40625,0,0,0,0,0,0,0,0,0,22.0625,1.015625,0,9.546875,0,0,0,8.65625,2.9375,76.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.75,0,0,0
0,0,0,0,0,0,24.3083333333333,0,0,0,0,0,0,0,0,0,172.816666666667,-29.2125,-15.2541666666667,0,8.79166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.7916666666667,-17.2708333333333,49.3208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345833333333333,33.75,0,0,0,0,0,-23.0791666666667,-11.0708333333333,0
0,0,0,0,0,0,3.8125,0,0,0,0,0,0,0,0,0,-29.2125,34.61875,22.0625,0,-32.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88125,-18.29375,-7.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.21875,2.24375,0,0,0,0,0,-4.16875,-2.2625,0
0,0,0,0,0,0,-0.945833333333333,0,0,0,0,0,0,0,0,0,-15.2541666666667,22.0625,42.6916666666667,0,-39.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8166666666667,8.77083333333333,-42.0208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60416666666667,18.05,0,0,0,0,0,-7.37083333333333,5.58333333333333,0
0,-29.190625,0,0,0,118.88125,0,0,0,-3.25625,0,-19.0875,0,0,57.1125,0,0,0,0,198.8,0,0,0,-63.25,0,0,0,-49.81875,0,0,0,0,0,0,0,0,0,0,0,-35.503125,0,0,-178.478125,2.75,0,0,0,-26.90625,0,0,0,0,0,0,-37.66875,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-17.1666666666667,0,0,0,0,0,0,0,0,0,8.79166666666667,-32.34375,-39.0666666666667,0,55.8354166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.7229166666667,13.0854166666667,9.88333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2229166666667,-14.21875,0,0,0,0,0,14.4395833333333,3.16666666666667,0
0,0,-13.4583333333333,0,34.3270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.610416666667,0,0,58.6979166666667,0,0,0,0,0,-16.5291666666667,-26.85,0,0,0,26.2416666666667,0,0,0,0,0,3.99375,0,0,-7.54791666666667,-5.58333333333333,0,0,0,0,0,0,0,-24.7875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.8125,0,0,0,13.984375,0,0,0,8.96875,0,-38.25,0,0,-40.265625,0,0,0,0,-63.25,0,0,0,28.90625,0,0,0,-1.21875,0,0,0,0,0,0,0,0,0,0,0,26.859375,0,0,51.59375,-7.234375,0,0,0,16.40625,0,0,0,0,0,0,22.96875,0,0,0,0,0,0,0,0,0,0,0,0
