"Place_lo","Place_hi","Payout"
"1","1","400"
"2","2","200"
"3","3","150"
"4","4","100"
"5","5","75"
"6","6","60"
"7","8","50"
"9","10","40"
"11","15","30"
"16","20","25"
"21","30","20"
"31","50","15"
"51","80","12"
"81","125","10"
"126","195","8"
"196","310","6"
