"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
24,959911782,"MisterJ5 (12/20)",0,274.75,"UTIL Al Horford C Marc Gasol SG Tyreke Evans G Kyrie Irving F Jayson Tatum PF Dirk Nowitzki SF Rudy Gay PG Dejounte Murray",NA,"Manu Ginobili","F","1.93%",24.75
24,960305836,"ira187 (2/2)",0,274.75,"PF Al Horford C Marc Gasol PG Kyrie Irving G Terry Rozier SG Jaylen Brown SF Jayson Tatum F LaMarcus Aldridge UTIL Dejounte Murray",NA,"Terry Rozier","G","1.93%",21
27,960091265,"crazeemouse",0,274.25,"C Marc Gasol SF JaMychal Green PG Kyrie Irving G Jaylen Brown PF Jayson Tatum UTIL J.J. Barea F LaMarcus Aldridge SG Yogi Ferrell",NA,"Maxi Kleber","F","1.77%",32.25
28,959128354,"mrcse13 (14/20)",0,274,"F Al Horford C Marc Gasol PG Kyrie Irving SF Rudy Gay PF LaMarcus Aldridge SG Wesley Matthews G Yogi Ferrell UTIL Dejounte Murray",NA,"Davis Bertans","UTIL","1.35%",25.75
28,960224752,"Donjazzy7",0,274,"F Al Horford C Marc Gasol PG Kyrie Irving SF Rudy Gay PF LaMarcus Aldridge G Wesley Matthews SG Yogi Ferrell UTIL Dejounte Murray",NA,"Aron Baynes","UTIL","1.09%",20
28,960235426,"slim3320",0,274,"PF Al Horford C Marc Gasol UTIL Kyrie Irving SF Rudy Gay F LaMarcus Aldridge SG Wesley Matthews G Yogi Ferrell PG Dejounte Murray",NA,"Dillon Brooks","UTIL","1.01%",18.75
31,959180560,"HoustonTexans2017 (2/2)",0,273.75,"C Marc Gasol SF JaMychal Green G Tyreke Evans PG Kyrie Irving SG Jaylen Brown PF LaMarcus Aldridge F Wesley Matthews UTIL Yogi Ferrell",NA,"James Ennis III","F","0.93%",2.5
31,960303819,"echoung",0,273.75,"C Marc Gasol G Kyrie Irving SF Jaylen Brown UTIL Jayson Tatum F Rudy Gay PF LaMarcus Aldridge SG Wesley Matthews PG Yogi Ferrell",NA,"Chandler Parsons","F","0.76%",0
31,960338258,"crazytjr8601",0,273.75,"C Marc Gasol G Kyrie Irving SG Jaylen Brown F Jayson Tatum SF Rudy Gay PF LaMarcus Aldridge UTIL Wesley Matthews PG Yogi Ferrell",NA,"Brandon Paul","SG","0.76%",4.25
34,959128356,"mrcse13 (16/20)",0,273,"F Al Horford C Marc Gasol PG Kyrie Irving UTIL Dirk Nowitzki SF Rudy Gay PF LaMarcus Aldridge SG Wesley Matthews G Yogi Ferrell",NA,"Kawhi Leonard","SF","0.67%",0
35,960132796,"MTLipscomb",0,272,"PF Al Horford UTIL Marc Gasol PG Kyrie Irving SG Jaylen Brown SF Jayson Tatum F Manu Ginobili C LaMarcus Aldridge G Wesley Matthews",NA,"Ben McLemore","UTIL","0.50%",2
36,959911777,"MisterJ5 (7/20)",0,271.25,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving G Marcus Smart UTIL Jayson Tatum F Harrison Barnes SF Davis Bertans",NA,"Deyonta Davis","UTIL","0.25%",9.5
37,959128352,"mrcse13 (12/20)",0,270.75,"F Al Horford C Marc Gasol PG Kyrie Irving PF LaMarcus Aldridge SF Harrison Barnes SG Yogi Ferrell G Bryn Forbes UTIL Dejounte Murray",NA,"Dennis Smith Jr.","SG","0.17%",0
37,960314471,"ajfourte",0,270.75,"F Al Horford C Marc Gasol G Kyrie Irving PF LaMarcus Aldridge SF Harrison Barnes SG Yogi Ferrell UTIL Bryn Forbes PG Dejounte Murray",NA,"Joffrey Lauvergne","PF","0.17%",10.5
39,959751779,"DrNickIsIn (1/20)",0,270.5,"F Al Horford C Marc Gasol PF JaMychal Green SG Tyreke Evans PG Kyrie Irving SF Harrison Barnes G Yogi Ferrell UTIL Dejounte Murray",NA,"Salah Mejri","UTIL","0.08%",7.75
40,959128359,"mrcse13 (19/20)",0,270.25,"C Marc Gasol PG Kyrie Irving SG Marcus Smart F Jayson Tatum PF LaMarcus Aldridge UTIL Patty Mills SF Harrison Barnes G Yogi Ferrell",NA,"Jarell Martin","F","0.08%",23
40,959864657,"tep7580",0,270.25,"UTIL Al Horford C Marc Gasol PG Kyrie Irving SG Marcus Smart F Jarell Martin G Jaylen Brown SF Jayson Tatum PF LaMarcus Aldridge",NA,"Shane Larkin","UTIL","0.08%",3.5
40,960234725,"kimber81635",0,270.25,"PF Al Horford UTIL Marc Gasol G Kyrie Irving F Marcus Smart SG Manu Ginobili SF Rudy Gay C LaMarcus Aldridge PG Yogi Ferrell",NA,"Mike Conley","PG","0.08%",0
40,960289828,"jordanh415 (3/5)",0,270.25,"C Marc Gasol SG Tyreke Evans PG Kyrie Irving F Jayson Tatum SF Rudy Gay PF LaMarcus Aldridge UTIL Dwight Powell G Dejounte Murray",NA,"","","",NA
44,960118545,"Miller421 (11/20)",0,270,"UTIL Al Horford C Marc Gasol SF JaMychal Green G Kyrie Irving SG Marcus Smart F Jayson Tatum PF LaMarcus Aldridge PG Dejounte Murray",NA,"","","",NA
44,960338688,"Sipowitz57",0,270,"F Al Horford UTIL Marc Gasol PG Kyrie Irving PF LaMarcus Aldridge C Dwight Powell SF Harrison Barnes SG Yogi Ferrell G Dejounte Murray",NA,"","","",NA
46,959208682,"ShoeLB50",0,269.5,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving F LaMarcus Aldridge SF Wesley Matthews UTIL Bryn Forbes G Dejounte Murray",NA,"","","",NA
