"Place_lo","Place_hi","Payout"
"1","1","25000"
"2","2","15000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","3500"
"7","7","2500"
"8","8","2000"
"9","10","1500"
"11","15","1250"
"16","25","1000"
"26","35","700"
"36","50","500"
"51","75","400"
"76","100","300"
"101","150","250"
"151","250","200"
"251","450","150"
"451","819","110"
"820","1415","85"
