"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","5000"
"5","5","3500"
"6","6","2500"
"7","8","2000"
"9","10","1500"
"11","15","1000"
"16","20","700"
"21","25","500"
"26","35","400"
"36","50","300"
"51","75","250"
"76","100","200"
"101","150","150"
"151","200","100"
"201","300","75"
"301","500","50"
"501","750","40"
"751","1250","30"
"1251","2200","25"
"2201","4000","20"
"4001","6940","15"
"6941","12140","12"
