"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","500"
"3","3","350"
"4","4","200"
"5","5","150"
"6","6","125"
"7","8","100"
"9","10","80"
"11","15","60"
"16","25","50"
"26","40","40"
"41","65","30"
"66","100","25"
"101","160","20"
"161","250","15"
"251","395","12"
