"Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Damian Lillard_POR","Nikola Jokic_DEN","LaMarcus Aldridge_SA","Paul Millsap_DEN","CJ McCollum_POR","Jusuf Nurkic_POR","Gary Harris_DEN","Will Barton_DEN","Jeff Teague_MIN","Kawhi Leonard_SA","Andrew Wiggins_MIN","Taj Gibson_MIN","Jamal Murray_DEN","Rudy Gay_SA","Pau Gasol_SA","Kyle Anderson_SA","Danny Green_SA","Trey Lyles_DEN","Al-Farouq Aminu_POR","Wilson Chandler_DEN","Tony Parker_SA","Patty Mills_SA","Dejounte Murray_SA","Mason Plumlee_DEN","Manu Ginobili_SA","Evan Turner_POR","Ed Davis_POR","Kenneth Faried_DEN","Emmanuel Mudiay_DEN","Jamal Crawford_MIN","Torrey Craig_DEN","Shabazz Napier_POR","Gorgui Dieng_MIN","Brandon Paul_SA","Davis Bertans_SA","Maurice Harkless_POR","Bryn Forbes_SA","Noah Vonleh_POR","Zach Collins_POR","Nemanja Bjelica_MIN","Meyers Leonard_POR","Pat Connaughton_POR","Shabazz Muhammad_MIN","Tyus Jones_MIN","Juancho Hernangomez_DEN","Caleb Swanigan_POR","Malik Beasley_DEN","CJ Wilcox_POR","Darrun Hilliard_SA","Jake Layman_POR","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick White_SA","Wade Baldwin IV_POR","Richard Jefferson_DEN","Aaron Brooks_MIN","Darrell Arthur_DEN","Cole Aldrich_MIN","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Monte Morris_DEN","Justin Patton_MIN","Tyler Lydon_DEN"
-54.0044642857143,-17.1395089285714,0,0,0,0,0,0,0,0,-58.6127232142857,0,96.9006696428571,-20.4151785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2332589285714,0,0,64.171875,0,0,0,0,0,0,0,0,0,-0.592633928571429,60.078125,0,0,0,0,0,0,0,0,0,0,0,12.3493303571429,0,-2.73214285714286,0,-8.59709821428571,0,0,0
19.2857142857143,-35.2901785714286,0,0,0,0,0,0,0,0,16.2276785714286,0,-20.4151785714286,72.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79910714285714,0,0,-24.2410714285714,0,0,0,0,0,0,0,0,0,0.200892857142857,30.1696428571429,0,0,0,0,0,0,0,0,0,0,0,-6.88839285714286,0,-4.5,0,-4.64732142857143,0,0,0
0,0,0,-140.779761904762,0,0,0,0,68.7172619047619,-140.59375,0,0,0,0,246.955357142857,0,0,0,0,35.5223214285714,0,117.52380952381,0,0,0,117.171130952381,0,0,0,-53.7306547619048,-48.9360119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1145833333333,0,0,0,0,0,0,0,-0.404761904761905,0,11.4285714285714,0,0,0,0,0,0
0,0,0,0,-49.3916666666667,0,0,0,0,0,0,37.9833333333333,0,0,0,75.1416666666667,67.8875,-45.7,70.6833333333333,0,0,0,52.8666666666667,0,-68.8708333333333,0,-14.6291666666667,0,0,0,0,0,0,0,0,-3.7625,-10.4833333333333,0,2.37916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.1166666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-47.80625,0,0,0,0,0,0,-36.4375,0,0,0,67.8875,145.16875,3.4125,120.70625,0,0,0,58.23125,0,-86.04375,0,10.64375,0,0,0,0,0,0,0,0,-5.34375,-9.99375,0,-28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.125,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56.1625,0,0,0,0,0,0,-33.125,0,0,0,-45.7,3.4125,111.975,-5.1875,0,0,0,12.7625,0,-24.7375,0,-15.0125,0,0,0,0,0,0,0,0,-9.2625,-74.8375,0,-10.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.225,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-57.6145833333333,0,0,0,0,0,0,-29.3708333333333,0,0,0,70.6833333333333,120.70625,-5.1875,127.285416666667,0,0,0,83.8770833333333,0,-90.6604166666667,0,-15.0145833333333,0,0,0,0,0,0,0,0,-2.93125,-2.02291666666667,0,1.65833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5958333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-62.2142857142857,0,0,0,0,20.5372023809524,32.6354166666667,0,0,0,0,35.5223214285714,0,0,0,0,55.8898809523809,0,35.6964285714286,0,0,0,28.4300595238095,0,0,0,-20.2857142857143,18.858630952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28125,0,0,0,0,0,0,0,1.27529761904762,0,3.66071428571429,0,0,0,0,0,0
0,0,-31.43125,0,0,0,33.634375,-91.0625,0,0,0,0,0,0,0,0,0,0,0,0,119.3,0,0,0,0,0,0,-24.4125,8.284375,0,0,0,0,-25.590625,0,0,0,30.353125,0,-38.1125,15.803125,0,-43.634375,-32.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-93.0952380952381,0,0,0,0,67.6577380952381,-83.2708333333333,0,0,0,0,117.52380952381,0,0,0,0,35.6964285714286,0,143.53869047619,0,0,0,58.1413690476191,0,0,0,-71.3318452380952,-43.6056547619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.25,0,0,0,0,0,0,0,-25.8035714285714,0,16.0714285714286,0,0,0,0,0,0
