"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,956126782,"rynesher",0,345,"PF Serge Ibaka SG DeMar DeRozan F Greg Monroe G Troy Daniels UTIL Alex Len SF T.J. Warren PG Chris Paul C Dwight Howard",NA,"James Harden","PG","59.46%",42
2,956680197,"chadfu23 (1/2)",0,338.5,"PF Serge Ibaka SG DeMar DeRozan C Jonas Valanciunas PG Chris Paul G Trevor Ariza UTIL Dwight Howard F Nicolas Batum SF Michael Kidd-Gilchrist",NA,"Greg Monroe","F","56.01%",37.25
3,956461382,"jrodjr918",0,331.5,"F DeMar DeRozan PF Greg Monroe PG Mike James C Jonas Valanciunas SG Chris Paul UTIL Dwight Howard G Kemba Walker SF Michael Kidd-Gilchrist",NA,"Chris Paul","SG","55.17%",62.75
4,956312915,"mgabes (2/5)",0,328,"PF Serge Ibaka SF DeMar DeRozan UTIL Greg Monroe PG Mike James F T.J. Warren G Tyler Ulis SG Chris Paul C Dwight Howard",NA,"DeMar DeRozan","SF","52.31%",51.25
5,956427448,"AGMoney23 (10/20)",0,327,"PF Serge Ibaka SF DeMar DeRozan C Greg Monroe G Tyler Ulis SG Chris Paul PG Kemba Walker F Michael Kidd-Gilchrist UTIL Clint Capela",NA,"Serge Ibaka","PF","47.01%",43.75
5,956768714,"tcarney1483",0,327,"PF Serge Ibaka SG DeMar DeRozan F Greg Monroe UTIL Tyler Ulis PG Chris Paul G Kemba Walker SF Michael Kidd-Gilchrist C Clint Capela",NA,"Eric Gordon","SG","40.79%",20.5
7,955913435,"Ferguson7 (1/2)",0,324.5,"SG DeMar DeRozan PF Greg Monroe C Jonas Valanciunas SF T.J. Warren PG Chris Paul UTIL Dwight Howard G Eric Gordon F Michael Kidd-Gilchrist",NA,"Trevor Ariza","SF","39.19%",24
7,956773483,"ethanbom",0,324.5,"SG DeMar DeRozan PF Greg Monroe C Jonas Valanciunas F T.J. Warren PG Chris Paul UTIL Dwight Howard G Eric Gordon SF Michael Kidd-Gilchrist",NA,"Dwight Howard","UTIL","39.02%",55.5
9,956737655,"dsharb12",0,322.75,"PF Serge Ibaka SG DeMar DeRozan UTIL Greg Monroe SF T.J. Warren G Tyler Ulis PG Chris Paul C Dwight Howard F Ryan Anderson",NA,"Kemba Walker","G","36.33%",27.75
10,956597354,"jsb240",0,322.5,"PG Kyle Lowry PF Serge Ibaka G DeMar DeRozan F Greg Monroe C Jonas Valanciunas SG Chris Paul UTIL Trevor Ariza SF Michael Kidd-Gilchrist",NA,"Jonas Valanciunas","C","34.23%",37.25
