"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Kyrie Irving","PG","BOS","vs DEN","21st",107,8200,24.9,64.3,38.2,1.21,31.9,17.7,31.5,33.38,41.79,41.79,"%",71,5.1,32,51.25,6.3
"Nikola Jokic","C","DEN","@ BOS","10th",102,8000,27.3,78.3,39.9,1.39,22.4,11.4,28.8,34.1,49.17,49.17,"%",64,6.1,0,0,NA
"John Wall","PG","WAS","vs MEM","10th",103.75,7900,15.2,46.7,42.3,1.24,27.8,15.9,34,25,28.7,28.7,"%",79,3.6,27,25.75,3.3
"Paul George","SF","OKC","@ IND","1st",107.5,7700,13.4,59.2,38.8,1.06,26.1,17.1,36.5,35.7,33.02,33.02,"%",66,4.3,33,27,3.5
"Louis Williams","PG/SGPGSG","LAC","@ ORL","21st",106.25,7700,22.2,65.1,32.2,1.07,28,14.5,30,35.48,40.59,40.59,"%",62,5.3,32,48.75,6.3
"Marc Gasol","C","MEM","@ WAS","11th",96.75,7600,22.4,57.9,39.8,1.16,28.5,15.6,34.4,34.21,37.63,37.63,"%",75,5,37,32,4.2
"Bradley Beal","SG","WAS","vs MEM","13th",103.75,7600,19.4,60.1,36.9,1.07,30.2,18.9,34.4,35.78,36.85,36.85,"%",68,4.8,39,36.5,4.8
"Dwight Howard","C","CHA","@ HOU","2nd",104,7600,20.9,64.2,35.8,1.22,26.4,10.8,29.4,34.29,39.47,39.47,"%",65,5.2,34,55.5,7.3
"Kemba Walker","PG","CHA","@ HOU","2nd",104,7500,19.4,55.3,38.6,1.11,26.6,16.8,34.9,34,34.82,34.82,"%",73,4.6,36,27.75,3.7
"DeAndre Jordan","C","LAC","@ ORL","18th",106.25,7300,18.7,56,33.5,1.05,13.6,6.8,32,33.7,34.68,34.68,"%",68,4.8,36,54.5,7.5
"Elfrid Payton","PG","ORL","vs LAC","5th",105.25,7200,11.6,48.1,28,1.02,20.8,9.4,27.5,30.82,27.24,27.24,"%",63,3.8,31,24.5,3.4
"Jrue Holiday","PG/SGPGSG","NOP","vs MIL","3rd",110.75,7200,15.4,54.4,34.5,0.95,22.1,14.8,36.4,34.65,32.12,32.12,"%",68,4.5,38,36.5,5.1
"Donovan Mitchell","PG/SGPGSG","UTA","@ CHI","28th",101,7000,23.9,64.4,29.6,1.02,29.2,15.3,29.1,34.23,41.28,41.28,"%",61,5.9,36,49.75,7.1
"Otto Porter","SF/PFSFPF","WAS","vs MEM","12th",103.75,6900,9.3,51.7,31.7,0.99,18.8,12.2,32,32.57,27.46,27.46,"%",62,4,32,31.25,4.5
"Khris Middleton","SG/SFSGSF","MIL","@ NOP","30th",108.75,6800,20,64,35.6,0.98,24.5,15.5,36.4,37.32,38.85,38.85,"%",65,5.7,36,38.25,5.6
"Eric Bledsoe","PG/SGPGSG","MIL","@ NOP","25th",108.75,6800,25.4,60.4,32.9,1.09,27.8,13.8,30.3,35.67,40.38,40.38,"%",70,5.9,32,32.25,4.7
"Clint Capela","C","HOU","vs CHA","12th",116,6700,17,53.6,34.5,1.4,20.9,8.7,24.6,25.1,32.66,32.66,"%",70,4.9,25,31.75,4.7
"T.J. Warren","SF/PFSFPF","PHX","vs TOR","8th",104.25,6700,13.8,57.2,30.4,0.97,25.9,15.9,31.2,36.99,32.37,32.37,"%",59,4.8,24,21.75,3.2
"C.J. McCollum","PG/SGPGSG","POR","@ MIA","20th",100.25,6700,19.7,45.7,33.2,0.92,25.7,17.5,35.9,35.2,30.87,30.87,"%",78,4.6,41,41.25,6.2
"Rudy Gobert","C","UTA","@ CHI","23rd",101,6600,15.2,51.5,32.4,1.03,16.9,7.4,31.4,30,30.78,30.78,"%",68,4.7,26,31.25,4.7
"Carmelo Anthony","SF/PFSFPF","OKC","@ IND","1st",107.5,6500,17.1,42.9,32,0.99,25.8,16.2,32.2,34,28.15,28.15,"%",77,4.3,34,24.75,3.8
"Jonathon Simmons","SG/SFSGSF","ORL","vs LAC","27th",105.25,6400,18.3,49.9,23.2,0.85,24.9,11.6,27.3,36.18,31.84,31.84,"%",61,5,38,41,6.4
"Steven Adams","C","OKC","@ IND","16th",107.5,6400,16.5,47.4,29.8,0.96,16.7,9,31.2,33.96,29.75,29.75,"%",70,4.6,35,43.25,6.8
"Kris Dunn","PG/SGPGSG","CHI","vs UTA","9th",96,6300,19.7,57.8,29.7,1.08,25.9,12.4,27.6,33.46,36.04,36.04,"%",63,5.7,33,40.75,6.5
"Rajon Rondo","PG","NOP","vs MIL","3rd",110.75,6300,7.8,56.4,28,1.09,16.5,7.1,25.6,29.47,28.59,28.59,"%",50,4.5,18,18.25,2.9
"Gary Harris","SG","DEN","@ BOS","3rd",102,6300,15.8,40,28.1,0.85,19.3,12.2,33,34,26.18,26.18,"%",75,4.2,37,53.25,8.5
"Myles Turner","C","IND","vs OKC","9th",106.5,6300,19.9,52.2,31.5,1.08,21.3,11.4,29.3,33.12,33.75,33.75,"%",71,5.4,34,24,3.8
"Goran Dragic","PG","MIA","vs POR","7th",103.25,6200,18.2,45.9,30.7,0.98,26.1,14,31.2,35,30.07,30.07,"%",74,4.9,30,22.25,3.6
"Jayson Tatum","SF/PFSFPF","BOS","vs DEN","6th",107,6100,13.8,40.5,26.6,0.88,18,9.1,30.1,32.54,25.22,25.22,"%",71,4.1,27,25,4.1
"Nicolas Batum","SG/SFSGSF","CHA","@ HOU","22nd",104,6000,12.9,48,24.2,0.83,18.6,9.8,29,34,27.91,27.91,"%",59,4.7,34,25.75,4.3
"Austin Rivers","PG/SGPGSG","LAC","@ ORL","21st",106.25,5900,17.7,49.7,26.2,0.79,21.5,13.2,33.2,35.98,31.41,31.41,"%",65,5.3,17,15.5,2.6
"Thaddeus Young","SF/PFSFPF","IND","vs OKC","9th",106.5,5900,19.7,44.1,28.2,0.85,18.1,12,33.1,33.89,30.16,30.16,"%",75,5.1,38,46,7.8
"Jaylen Brown","SG/SFSGSF","BOS","vs DEN","6th",107,5900,13.8,39.9,26.6,0.87,21.6,11.6,30.7,33,24.98,24.98,"%",72,4.2,32,39.75,6.7
"Darren Collison","PG","IND","vs OKC","1st",106.5,5800,9.9,49.5,28.4,0.94,17.3,9.5,30.3,32,26.85,26.85,"%",60,4.6,29,24.75,4.3
"Serge Ibaka","PF/CPFC","TOR","@ PHX","30th",116.25,5700,18.8,42,24.8,0.92,20.2,10.4,26.9,28.18,28.74,28.74,"%",73,5,34,43.75,7.7
"James Johnson","SF/PFSFPF","MIA","vs POR","2nd",103.25,5600,6.8,44,26.6,0.98,20.3,8.4,27.2,32.61,22.76,22.76,"%",60,4.1,36,34.5,6.2
"Derrick Favors","PF/CPFC","UTA","@ CHI","12th",101,5500,11.1,49.3,26.5,0.97,20.1,9.4,27.2,25.79,27.47,27.47,"%",59,5,30,18,3.3
"Rodney Hood","SG/SFSGSF","UTA","@ CHI","28th",101,5500,9,40.8,26,0.94,28.5,14.7,27.8,22,22.62,22.62,"%",65,4.1,25,24.5,4.5
"Marcus Smart","SG/SFSGSF","BOS","vs DEN","21st",107,5400,11.8,41.2,24.3,0.82,20.1,9.4,29.7,32.5,24.38,24.38,"%",65,4.5,34,26.25,4.9
"Jeremy Lamb","SG/SFSGSF","CHA","@ HOU","22nd",104,5400,8.9,40.9,27.8,1.03,24.6,12.1,27,22.1,22.59,22.59,"%",67,4.2,21,9.75,1.8
"Kelly Olynyk","PF/CPFC","MIA","vs POR","8th",103.25,5400,12.6,43.5,20.7,1.02,20.5,6.3,20.2,28.39,25.81,25.81,"%",57,4.8,27,20,3.7
"Dion Waiters","SG/SFSGSF","MIA","vs POR","4th",103.25,5300,13.4,48.4,24.9,0.83,25.8,14,30.1,35.48,28.42,28.42,"%",60,5.4,37,24.5,4.6
"Domantas Sabonis","PF/CPFC","IND","vs OKC","9th",106.5,5300,8.1,38.9,26.7,1.1,21.9,8.4,24.2,20.41,21.33,21.33,"%",67,4,18,15.5,2.9
"Lauri Markkanen","PF","CHI","vs UTA","11th",96,5200,18,46.2,29.9,0.99,22.6,13,30.1,31,30.1,30.1,"%",73,5.8,0,0,NA
"Jamal Murray","PG/SGPGSG","DEN","@ BOS","3rd",102,5200,7.1,46,23.3,0.88,24.3,12,26.4,30,23.79,23.79,"%",52,4.6,35,53.5,10.3
"Nikola Mirotic","PF/CPFC","CHI","vs UTA","11th",96,5200,8.4,44.5,24.8,1.14,25.2,10.3,21.7,21.1,23.86,23.86,"%",58,4.6,35,44.75,8.6
"Alec Burks","PG/SGPGSG","UTA","@ CHI","28th",101,5100,10.4,52.6,18.8,0.97,23.1,8.2,19.3,25.2,28.48,28.48,"%",36,5.6,25,20.75,4.1
"Marcin Gortat","C","WAS","vs MEM","5th",103.75,5000,9.7,41,25.3,0.9,15.3,7.2,28,27.69,23.07,23.07,"%",65,4.6,29,30.5,6.1
"Ricky Rubio","PG","UTA","@ CHI","26th",101,5000,11.1,46.1,26.4,0.93,23.1,9.8,28.3,28.57,26.11,26.11,"%",62,5.2,26,25,5
"Joe Ingles","SG/SFSGSF","UTA","@ CHI","21st",101,5000,17.3,42.4,24.7,0.84,16.3,8.4,29.3,32.12,28.07,28.07,"%",71,5.6,31,23.5,4.7
"Kenneth Faried","PF/CPFC","DEN","@ BOS","8th",102,5000,4.7,46.3,15.8,0.99,17.1,4.9,15.9,24.4,22.55,22.55,"%",25,4.5,16,22.5,4.5
"Justin Holiday","SG/SFSGSF","CHI","vs UTA","1st",96,4900,12.4,41.5,27.2,0.81,20.2,13,33.4,33.25,24.9,24.9,"%",69,5.1,23,21.5,4.4
"Marvin Williams","SF/PFSFPF","CHA","@ HOU","3rd",104,4900,8,36.5,20,0.76,13.6,7.1,26.2,29.14,20.22,20.22,"%",59,4.1,29,10.25,2.1
"Trevor Ariza","SG/SFSGSF","HOU","vs CHA","25th",116,4900,18,40.4,24.4,0.72,13.4,8.9,33.7,34.1,27.59,27.59,"%",74,5.6,34,24,4.9
"Eric Gordon","SG","HOU","vs CHA","15th",116,4900,11.9,42.1,27.7,0.89,26.6,14.7,31.1,30.1,24.83,24.83,"%",69,5.1,26,20.5,4.2
"Al-Farouq Aminu","SF/PFSFPF","POR","@ MIA","23rd",100.25,4800,13.2,47,23.9,0.83,13.3,7.4,28.8,31.8,27.67,27.67,"%",60,5.8,37,34.25,7.1
"E'Twaun Moore","SG/SFSGSF","NOP","vs MIL","29th",110.75,4800,12.1,42.3,22.2,0.7,15.8,10.3,31.7,30.7,25.05,25.05,"%",61,5.2,35,34.25,7.1
"Greg Monroe","PF/CPFC","PHX","vs TOR","7th",104.25,4800,8.2,50.5,22.2,1.12,20.7,7.3,19.8,24.33,26.3,26.3,"%",46,5.5,30,37.25,7.8
"Malcolm Brogdon","PG/SGPGSG","MIL","@ NOP","30th",108.75,4700,10.8,40.6,24.3,0.82,20.4,10.8,29.7,27.85,23.59,23.59,"%",65,5,27,19.75,4.2
"Robin Lopez","C","CHI","vs UTA","1st",96,4700,9.3,33,24.5,0.82,20.4,11.1,29.7,30.61,19.41,19.41,"%",72,4.1,36,33.5,7.1
"Bojan Bogdanovic","SG/SFSGSF","IND","vs OKC","10th",106.5,4700,9.8,40.8,22.2,0.71,18.2,10.9,31.1,33.47,23.09,23.09,"%",60,4.9,35,29,6.2
"Bobby Portis","PF","CHI","vs UTA","11th",96,4700,2.7,31.9,24.1,1.15,25.5,10,20.9,14.57,15.2,15.2,"%",65,3.2,22,24,5.1
"John Henson","C","MIL","@ NOP","28th",108.75,4700,10.8,45,21.2,0.92,15.5,5.5,23,26.91,25.46,25.46,"%",54,5.4,29,29.5,6.3
"Terry Rozier","PG/SGPGSG","BOS","vs DEN","21st",107,4700,7.6,39.5,20.5,0.89,19.4,8.6,23,26,21.29,21.29,"%",56,4.5,19,17,3.6
"Jonas Valanciunas","C","TOR","@ PHX","21st",116.25,4700,10.1,47.1,22.1,1.11,21.4,7.2,20,22.13,25.98,25.98,"%",52,5.5,30,37.25,7.9
"Wilson Chandler","SF/PFSFPF","DEN","@ BOS","5th",102,4600,7.5,37.1,20.2,0.69,15,8.2,29.3,32,20.16,20.16,"%",58,4.4,36,26.75,5.8
"Denzel Valentine","SG/SFSGSF","CHI","vs UTA","1st",96,4600,5.3,37.8,22.6,0.8,17.2,9.4,28.1,26.36,19.19,19.19,"%",59,4.2,35,19.75,4.3
"Kelly Oubre Jr.","SG/SFSGSF","WAS","vs MEM","12th",103.75,4600,4.6,37.8,22.4,0.83,19.7,9.2,26.9,23.08,18.81,18.81,"%",58,4.1,26,22,4.8
"Josh Richardson","SG/SFSGSF","MIA","vs POR","4th",103.25,4500,8.5,39.3,20.2,0.64,17.1,9.3,31.7,34.85,21.68,21.68,"%",56,4.8,36,19,4.2
"JaMychal Green","SF/PFSFPF","MEM","@ WAS","19th",96.75,4400,14.3,40.1,19.5,0.72,18.4,7.8,27.1,32,25.34,25.34,"%",62,5.8,37,37.75,8.6
"Mason Plumlee","PF/CPFC","DEN","@ BOS","8th",102,4400,1.4,29.4,17.7,0.99,18.3,4.6,17.8,16.3,13.38,13.38,"%",55,3,31,28.5,6.5
"Michael Kidd-Gilchrist","SF","CHA","@ HOU","18th",104,4400,9.5,42,19.4,0.74,15.7,8.3,26.2,29,23.4,23.4,"%",52,5.3,28,38.25,8.7
"Alex Len","PF/CPFC","PHX","vs TOR","7th",104.25,4400,8.2,41.4,23.6,1.1,16.9,5.9,21.5,21.8,22.43,22.43,"%",60,5.1,18,31.5,7.2
"Trey Lyles","SF/PFSFPF","DEN","@ BOS","8th",102,4400,2.9,40.2,13.8,1.01,21,5,13.6,20.81,18.85,18.85,"%",23,4.3,33,21.5,4.9
"Mike James","PG","PHX","vs TOR","6th",104.25,4300,6.3,38.3,22.1,1.04,26.3,10.1,21.2,21,20.01,20.01,"%",59,4.7,18,21.5,5
"D.J. Augustin","PG/SGPGSG","ORL","vs LAC","5th",105.25,4300,6.9,37.2,17.4,0.88,18.2,5.6,19.7,26.11,19.87,19.87,"%",50,4.6,17,8.5,2
"Ryan Anderson","PF/CPFC","HOU","vs CHA","17th",116,4300,2.3,35.8,21.9,0.78,16.4,8.9,28,22,16.68,16.68,"%",56,3.9,33,16.25,3.8
"Cory Joseph","PG","IND","vs OKC","1st",106.5,4200,4.7,32.1,18.2,0.75,15.6,6.9,24.2,25.4,16.46,16.46,"%",57,3.9,18,8.25,2
"Josh Jackson","SG/SFSGSF","PHX","vs TOR","8th",104.25,4200,8.1,34.8,17.4,0.8,24,9,21.7,27,19.52,19.52,"%",56,4.6,22,2.75,0.7
"Jerian Grant","PG/SGPGSG","CHI","vs UTA","9th",96,4200,0,32.2,21.4,0.91,18.2,7,23.5,14.46,13.14,13.14,"%",56,3.1,14,12.5,3
"Tyler Ulis","PG","PHX","vs TOR","6th",104.25,4200,8.7,36.9,17.8,0.76,19.7,7.8,23.3,29.83,20.79,20.79,"%",55,5,29,34.25,8.2
"David Nwaba","PG/SGPGSG","CHI","vs UTA","1st",96,4100,9.1,39,20.3,0.91,14.3,5.4,22.4,25.07,21.91,21.91,"%",58,5.3,28,14.5,3.5
"Mike Scott","PF","WAS","vs MEM","10th",103.75,4100,17.5,46.2,14.9,0.86,19.3,6.2,17.4,34.2,29.75,29.75,"%",45,7.3,27,18.25,4.5
"Lance Stephenson","SG/SFSGSF","IND","vs OKC","10th",106.5,4100,11.2,40.2,19.4,0.9,19.5,7.3,21.5,24.15,23.62,23.62,"%",57,5.8,21,22,5.4
"Emmanuel Mudiay","PG","DEN","@ BOS","14th",102,4100,0,36,19.1,0.9,24.5,8.7,21.3,17,15.06,15.06,"%",45,3.7,17,9.25,2.3
"Wesley Johnson","SG/SFSGSF","LAC","@ ORL","27th",106.25,4100,11.6,41,17.8,0.71,14.7,6.6,25.1,31.8,24.2,24.2,"%",53,5.9,13,10.25,2.5
"Bam Adebayo","PF/CPFC","MIA","vs POR","8th",103.25,4100,2.6,37.5,13.8,0.89,13.4,3.5,15.5,19.72,17.53,17.53,"%",28,4.3,30,22.25,5.4
"Evan Turner","SG/SFSGSF","POR","@ MIA","20th",100.25,4000,2,29,17.4,0.68,17.3,7.6,25.7,22.8,13.57,13.57,"%",56,3.4,23,15.5,3.9
"Justise Winslow","SF/PFSFPF","MIA","vs POR","16th",103.25,4000,11.6,34.6,18.6,0.82,16.4,6.5,22.7,25.01,21.41,21.41,"%",65,5.4,8,2.5,0.6
"Ed Davis","PF/CPFC","POR","@ MIA","1st",100.25,4000,0,19.4,15.6,0.96,13.5,3.5,16.3,8,5.65,5.65,"%",56,1.4,26,18.25,4.6
"Frank Kaminsky","PF/CPFC","CHA","@ HOU","2nd",104,4000,4.2,37.5,19.2,0.85,20.8,9.2,22.5,21.5,18.43,18.43,"%",50,4.6,15,8,2
"Marquese Chriss","PF/CPFC","PHX","vs TOR","7th",104.25,4000,7.4,36.3,17.4,0.88,15.9,5.7,19.8,24.76,19.78,19.78,"%",53,4.9,17,5.75,1.4
"Chandler Parsons","SF/PFSFPF","MEM","@ WAS","19th",96.75,4000,12.7,37.4,17.9,0.88,19.2,6.8,20.3,25.5,23.31,23.31,"%",61,5.8,26,20.75,5.2
"Aron Baynes","C","BOS","vs DEN","23rd",107,3900,12.7,38.3,15.1,0.88,17.3,4.8,17.1,25,23.65,23.65,"%",52,6.1,28,26.5,6.8
"Thabo Sefolosha","SG/SFSGSF","UTA","@ CHI","21st",101,3900,10.9,39.5,18,0.88,15.6,5.8,20.5,25,23.13,23.13,"%",55,5.9,16,8,2.1
"Dillon Brooks","SG/SFSGSF","MEM","@ WAS","19th",96.75,3900,0,27.2,16,0.58,13.7,6.5,27.8,17.9,9.81,9.81,"%",46,2.5,22,10.75,2.8
"Milos Teodosic","PG/SGPGSG","LAC","@ ORL","29th",106.25,3900,13.6,33.5,15.8,0.93,22,8,17,22,22.15,22.15,"%",64,5.7,25,28.5,7.3
"Mario Hezonja","PG/SFPGSF","ORL","vs LAC","27th",105.25,3800,13.7,35.9,7.3,0.7,16.4,3,10.4,30,23.22,23.22,"%",13,6.1,34,41.75,11
"Troy Daniels","SG","PHX","vs TOR","16th",104.25,3800,7.4,33.1,9.9,0.63,17.2,5.4,15.6,25.5,18.41,18.41,"%",26,4.8,31,41.25,10.9
"Noah Vonleh","PF/CPFC","POR","@ MIA","1st",100.25,3800,1.6,31.6,16.5,0.81,10.2,3.7,20.4,20.4,14.42,14.42,"%",48,3.8,6,0.75,0.2
"Tomas Satoransky","PG/SGPGSG","WAS","vs MEM","13th",103.75,3800,5.5,37,13.6,0.82,16,4.1,16.5,24,19.03,19.03,"%",34,5,15,8,2.1
"Mario Chalmers","PG","MEM","@ WAS","13th",96.75,3800,9.7,42.1,18.4,0.82,19.6,7,22.5,30,23.58,23.58,"%",50,6.2,21,14.25,3.8
"Fred VanVleet","PG","TOR","@ PHX","28th",116.25,3800,12.3,39.9,14.8,0.89,18.8,5.9,16.7,22.79,24.13,24.13,"%",47,6.4,24,13,3.4
"C.J. Miles","SG/SFSGSF","TOR","@ PHX","22nd",116.25,3800,8,35.2,16.8,0.93,23,8.4,18.1,19.62,19.66,19.66,"%",54,5.2,17,8.75,2.3
"Dante Cunningham","SF/PFSFPF","NOP","vs MIL","9th",110.75,3700,1.4,24.1,13.8,0.61,10.9,4.9,22.5,16.75,11.16,11.16,"%",53,3,21,13,3.5
"Darius Miller","SF","NOP","vs MIL","9th",110.75,3700,6.3,35.2,13.1,0.66,15.5,5.5,19.9,26.7,18.69,18.69,"%",37,5.1,22,19.75,5.3
"Andrew Harrison","PG/SGPGSG","MEM","@ WAS","13th",96.75,3700,16,40,13.3,0.75,19.9,5.1,17.7,32,26.27,26.27,"%",49,7.1,29,35.75,9.7
"Jared Dudley","PF","PHX","vs TOR","8th",104.25,3700,0,31.5,12.4,0.84,11.7,3.1,14.7,16,12.18,12.18,"%",22,3.3,0,0,NA
"Shelvin Mack","PG","ORL","vs LAC","5th",105.25,3700,10.5,37.7,14.6,0.86,13.4,4.1,16.9,26.7,22.16,22.16,"%",47,6,21,13.25,3.6
"Montrezl Harrell","PF/CPFC","LAC","@ ORL","21st",106.25,3700,7.5,30.6,12.3,1.16,21.2,3.7,10.6,14.79,17.42,17.42,"%",46,4.7,11,13.5,3.6
"Jakob Poeltl","PF/CPFC","TOR","@ PHX","21st",116.25,3700,5.6,37.4,15.5,0.99,18.1,4.6,15.7,20.17,19.24,19.24,"%",41,5.2,17,12.5,3.4
"Pascal Siakam","PF","TOR","@ PHX","30th",116.25,3700,4.7,31.7,17.4,0.87,16.1,6.1,19.9,17.97,16.26,16.26,"%",56,4.4,13,11,3
"Jonas Jerebko","SF/PFSFPF","UTA","@ CHI","12th",101,3600,0,29.5,13.4,0.82,14.5,4.7,16.3,16,12.46,12.46,"%",36,3.5,19,13.75,3.8
"Norman Powell","SG/SFSGSF","TOR","@ PHX","23rd",116.25,3600,0,27,16.2,0.8,20.3,7.3,20.2,12.24,10.72,10.72,"%",50,3,10,2.25,0.6
"Wayne Ellington","SG/SFSGSF","MIA","vs POR","4th",103.25,3600,5.6,37.3,14.7,0.74,17,6.7,19.8,25.96,19.21,19.21,"%",38,5.3,31,38,10.6
"Thon Maker","PF/CPFC","MIL","@ NOP","28th",108.75,3600,4.1,26,12.5,0.67,14,4.2,18.6,20.58,13.48,13.48,"%",50,3.7,12,9.5,2.6
"Pat Connaughton","SG/SFSGSF","POR","@ MIA","20th",100.25,3600,1.8,27.5,12,0.61,14.1,5.2,19.6,20.1,12.8,12.8,"%",39,3.6,10,4.25,1.2
"Malik Monk","PG/SGPGSG","CHA","@ HOU","2nd",104,3600,0,25.2,11.9,0.75,20.8,7.2,15.8,7.89,5.37,5.37,"%",17,1.5,5,7,1.9
"Daniel Theis","PF/CPFC","BOS","vs DEN","23rd",107,3600,6.5,33.2,12,1.01,20.3,3.3,11.9,15,17.96,17.96,"%",37,5,18,15.25,4.2
"Jerami Grant","SF/PFSFPF","OKC","@ IND","1st",107.5,3600,2.4,28.3,16.8,0.79,15.7,5.7,21.3,20.49,13.48,13.48,"%",56,3.7,17,22.5,6.3
"Michael Carter-Williams","PG","CHA","@ HOU","2nd",104,3600,0,25.4,14.3,0.85,18.6,4.9,16.9,13.32,10.28,10.28,"%",47,2.9,13,10.75,3
"P.J. Tucker","SF/PFSFPF","HOU","vs CHA","25th",116,3600,8.5,31.3,17.9,0.68,11.2,5,26.5,23.8,18.28,18.28,"%",64,5.1,19,12,3.3
"Tim Frazier","PG","WAS","vs MEM","10th",103.75,3600,0,12.2,14.2,0.81,13.4,3.6,17.5,0,0,0,"%",57,0,5,5.5,1.5
"OG Anunoby","SF/PFSFPF","TOR","@ PHX","22nd",116.25,3500,7.8,24.6,12.4,0.63,13.4,4.9,19.8,26.61,15.01,15.01,"%",61,4.3,19,12,3.4
"Semi Ojeleye","SG/SFSGSF","BOS","vs DEN","6th",107,3500,1.9,17.9,6.2,0.47,10.2,2.5,13.3,20.2,8.75,8.75,"%",26,2.5,28,9.25,2.6
"Wesley Iwundu","SG/SFSGSF","ORL","vs LAC","2nd",105.25,3500,8.6,23.1,4.6,0.58,21.5,2.6,7.9,28.02,14.77,14.77,"%",10,4.2,32,12.75,3.6
"Shabazz Napier","PG/SGPGSG","POR","@ MIA","8th",100.25,3500,0,20.5,14.1,0.89,17.2,5.2,15.9,0,0,0,"%",27,0,23,17.75,5.1
"Malik Beasley","SG","DEN","@ BOS","3rd",102,3500,9.5,29.1,7.6,0.71,18.8,3.5,10.7,26,17.86,17.86,"%",26,5.1,17,11.25,3.2
"Sam Dekker","SF/PFSFPF","LAC","@ ORL","27th",106.25,3500,6.3,25.9,8,0.75,19,4,10.7,18.1,14.7,14.7,"%",30,4.2,25,21.5,6.1
"Zach Collins","PF/CPFC","POR","@ MIA","1st",100.25,3400,1.4,29.7,5.2,0.68,27.2,2.3,7.6,25,13.53,13.53,"%",0,4,21,14.25,4.2
"Maurice Harkless","SF/PFSFPF","POR","@ MIA","23rd",100.25,3400,2.7,25.5,13.1,0.58,11.8,4.8,22.4,21.8,12.47,12.47,"%",50,3.7,9,6.25,1.8
"Patrick Patterson","PF/CPFC","OKC","@ IND","29th",107.5,3400,1.6,17.4,7.3,0.55,10.5,2.6,13.3,13.64,8.36,8.36,"%",38,2.5,13,11.75,3.5
"Ben McLemore","SG/SFSGSF","MEM","@ WAS","5th",96.75,3400,6.2,29.8,12.8,0.69,19.6,6.3,18.6,25,16.28,16.28,"%",47,4.8,23,14.25,4.2
"James Ennis","SG/SFSGSF","MEM","@ WAS","19th",96.75,3400,0.1,27.2,14.7,0.6,12.5,5,24.5,20.43,11.67,11.67,"%",47,3.4,23,15.5,4.6
"Jameer Nelson","PG/SGPGSG","NOP","vs MIL","3rd",110.75,3400,0,25.5,17.1,0.7,12.3,5.3,24.4,17.46,10.83,10.83,"%",57,3.2,29,20.25,6
"Dragan Bender","SF/PFSFPF","PHX","vs TOR","7th",104.25,3400,0,19,12.5,0.64,12.3,4.7,19.5,10.81,5.82,5.82,"%",47,1.7,27,13.5,4
"Bismack Biyombo","PF/CPFC","ORL","vs LAC","26th",105.25,3300,4.3,22.8,12.3,0.83,14.9,3.2,14.8,12.86,12.22,12.22,"%",57,3.7,16,18,5.5
"Juan Hernangomez","SF/PFSFPF","DEN","@ BOS","5th",102,3300,0,20.3,9,0.69,15.9,3.4,13,9.1,5.96,5.96,"%",20,1.8,13,7,2.1
