"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"James Harden","PG/SGPGSG","HOU","vs CHA","15th",116,11600,42.6,83.9,58.1,1.65,36.5,21.2,35.3,35.2,60.3,60.3,"%",80,5.2,31,42,3.6
"Giannis Antetokounmpo","SF/PFSFPF","MIL","@ NOP","7th",108.75,11300,43.1,69,55.7,1.51,34.6,20,37,39.06,54.18,54.18,"%",87,4.8,41,60.75,5.4
"Russell Westbrook","PG","OKC","@ IND","15th",107.5,11200,36,76.3,53.7,1.52,34.1,20.3,35.4,35.86,53.25,53.25,"%",79,4.8,36,55.75,5
"DeMarcus Cousins","PF/CPFC","NOP","vs MIL","28th",110.75,11000,42.5,87,55.5,1.59,34.5,19.3,35,36.69,61.57,61.57,"%",77,5.6,36,52.75,4.8
"Anthony Davis","PF/CPFC","NOP","vs MIL","5th",110.75,10200,18.5,74.9,48.3,1.4,27.2,16,34.6,38,42.71,42.71,"%",67,4.2,36,49,4.8
"Victor Oladipo","PG/SGPGSG","IND","vs OKC","10th",106.5,9200,29.7,73,42.8,1.28,31.2,18.2,33.5,36.32,48.23,48.23,"%",71,5.2,38,36.75,4
"Damian Lillard","PG","POR","@ MIA","8th",100.25,9000,26.7,60.2,45.3,1.24,31.1,19.8,36.5,36.9,41.07,41.07,"%",79,4.6,36,30.75,3.4
"Nikola Vucevic","C","ORL","vs LAC","26th",105.25,8800,33,81.5,38.9,1.31,24.9,14.5,29.8,35.43,53.78,53.78,"%",64,6.1,30,46,5.2
"Chris Paul","PG/SGPGSG","HOU","vs CHA","17th",116,8400,32.3,61.8,40.8,1.37,21.2,11.5,29.8,33.5,44.96,44.96,"%",79,5.4,35,62.75,7.5
"Kyle Lowry","PG","TOR","@ PHX","28th",116.25,8300,30.1,73.6,38,1.17,22.2,12.2,32.6,34.97,48.71,48.71,"%",67,5.9,34,28,3.4
"DeMar DeRozan","SG/SFSGSF","TOR","@ PHX","23rd",116.25,8300,28.7,63.4,38.7,1.14,30,17.2,33.9,34.76,43.59,43.59,"%",74,5.3,36,51.25,6.2
