"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","@ MIL","8th",108,11600,38.9,84.2,58.1,1.57,30.8,18.7,37,36,58.32,58.32,"%",78,5,34,60.25,5.2
"Giannis Antetokounmpo","SF/PFSFPF","MIL","vs CLE","21st",107,11400,44.3,69.1,55.9,1.49,34,20.1,37.4,37,54.95,54.95,"%",87,4.8,40,60.5,5.3
"DeMarcus Cousins","PF/CPFC","NOP","@ WAS","14th",108.25,10700,34.6,78.4,55,1.57,34.6,19.1,35,37,53.35,53.35,"%",77,5,35,49.25,4.6
"Anthony Davis","PF/CPFC","NOP","@ WAS","21st",108.25,10100,29.9,84.3,48.7,1.39,27,16.2,35,38,53.2,53.2,"%",68,5.3,36,51.25,5.1
"Ben Simmons","PG/SFPGSF","PHI","vs SAC","25th",107,9500,27.9,63.7,45.6,1.26,24,14.5,36.2,36,43.24,43.24,"%",78,4.6,32,47,4.9
"John Wall","PG","WAS","vs NOP","23rd",110.25,8800,30.2,62.3,41.2,1.24,28.3,15.9,33.3,36,43.96,43.96,"%",78,5,33,43.5,4.9
"Kevin Love","PF/CPFC","CLE","@ MIL","7th",108,7800,19.5,58.8,38.3,1.32,27.6,13.5,29,30,36.33,36.33,"%",71,4.7,29,44.5,5.7
"Bradley Beal","SG","WAS","vs NOP","30th",110.25,7700,26.6,66.1,37.5,1.07,29.6,19,34.9,39,43.49,43.49,"%",70,5.6,36,44.25,5.7
"Khris Middleton","SG/SFSGSF","MIL","vs CLE","23rd",107,7300,19.2,62.5,36.4,1,24.7,15.8,36.5,36,37.76,37.76,"%",66,5.2,39,37,5.1
"Jrue Holiday","PG/SGPGSG","NOP","@ WAS","17th",108.25,7100,21,60.1,35.1,0.96,22.2,14.9,36.6,36,37.8,37.8,"%",68,5.3,35,33,4.6
"Eric Bledsoe","PG/SGPGSG","MIL","vs CLE","21st",107,6700,21.1,54.3,32.2,1.05,27.7,14,30.8,32,35.3,35.3,"%",71,5.3,31,38.75,5.8
"Zach Randolph","PF/CPFC","SAC","@ PHI","24th",99,6400,13.5,56.5,29.2,1.15,27,12.6,25.4,27,31.94,31.94,"%",58,5,28,34.25,5.4
"Robert Covington","SF/PFSFPF","PHI","vs SAC","1st",107,6200,14.4,49.6,31.7,0.98,18.7,11.7,32.2,34,29.48,29.48,"%",68,4.8,32,28.75,4.6
"Dario Saric","PF/CPFC","PHI","vs SAC","25th",107,6100,16.1,51.7,26.4,0.89,18.9,11.2,29.5,33,31.32,31.32,"%",61,5.1,30,27.75,4.5
"Rajon Rondo","PG","NOP","@ WAS","17th",108.25,6000,12.3,58.5,27.3,1.08,16.2,6.8,25.3,30,32.07,32.07,"%",52,5.3,13,6,1
"J.J. Redick","SG/SFSGSF","PHI","vs SAC","9th",107,5400,14.7,43.3,27.4,0.81,19.9,13.3,33.7,34,27,27,"%",70,5,20,12.5,2.3
"Willie Cauley-Stein","PF/CPFC","SAC","@ PHI","11th",99,5200,11.3,47.4,23.9,0.98,21.1,8.7,24.4,28,26.77,26.77,"%",57,5.1,29,21.5,4.1
"Malcolm Brogdon","PG/SGPGSG","MIL","vs CLE","23rd",107,4800,7.7,37.8,24.1,0.81,20.2,10.9,29.9,27,20.6,20.6,"%",64,4.3,30,24.75,5.2
"Dwyane Wade","PG/SGPGSG","CLE","@ MIL","28th",108,4800,13,49.8,24.4,1.06,25.5,9.8,23,23,28.77,28.77,"%",57,6,26,27,5.6
"Marcin Gortat","C","WAS","vs NOP","21st",110.25,4700,10.6,40.7,25.2,0.91,15.2,7.1,27.8,24,23.5,23.5,"%",66,5,29,37.5,8
"Kelly Oubre Jr.","SG/SFSGSF","WAS","vs NOP","9th",110.25,4700,12.8,44.5,22.6,0.83,19.3,9.1,27.2,31,26.38,26.38,"%",60,5.6,29,16.5,3.5
"Buddy Hield","SG/SFSGSF","SAC","@ PHI","15th",99,4600,9.6,46.3,21.7,0.97,25.3,10.5,22.4,27,25.33,25.33,"%",52,5.5,28,39.25,8.5
