"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06"
"Allen Crabbe_BKN",NA,NA,0,NA,NA,19.75,16.5,NA,NA
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75,23.75,NA
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5,27.5,NA,24.75
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA,35.25
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0,0,NA,NA
"Trevor Booker_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahlil Okafor_BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0
"Marco Belinelli_ATL",NA,NA,NA,32,NA,18.5,13.5,NA,21.75
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA
"Seth Curry_DAL",NA,NA,0,NA,NA,0,0,NA,0
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA,27.25
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA,28.75
"JR Smith_CLE",NA,24.25,NA,13.75,NA,33.25,13,NA,18.75
"Kyle O'Quinn_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA,26
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA,0
"Ish Smith_DET",NA,NA,0,NA,0,0,0,NA,0
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA,13.5,17,NA
"Tristan Thompson_CLE",NA,0,NA,0,NA,0,0,NA,0
"Tyler Cavanaugh_ATL",NA,NA,NA,4.25,NA,16.75,11.5,NA,25.5
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75,22,NA,NA,18.5
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5,22,NA,23.75
"Markelle Fultz_PHI",NA,NA,0,0,NA,0,0,NA,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15
"Richaun Holmes_PHI",NA,NA,0,17.75,NA,0,0,NA,NA
"Stanley Johnson_DET",NA,NA,12.75,NA,10,16,34,NA,20.25
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA,8,21.75,NA
"Joe Harris_BKN",NA,NA,19.5,NA,NA,21.75,17.5,NA,NA
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24,14,NA,23.25
"Luke Babbitt_ATL",NA,NA,NA,12,NA,26,8.5,NA,6
"DeAndre' Bembry_ATL",NA,NA,NA,0,NA,0,0,NA,0
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5,18.5,NA,8
"Michael Beasley_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Doug McDermott_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Garrett Temple_SAC",25.75,21.5,NA,NA,28.25,24,NA,NA,12.5
"Jakarr Sampson_SAC",0,0,NA,NA,0,0,NA,NA,0
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75,0,25.75,NA
"Dwight Powell_DAL",NA,NA,30.75,NA,NA,22,26.25,NA,10.25
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA,17.25
"Malik Beasley_DEN",NA,8.5,NA,0,NA,0,7.25,NA,14.75
"Anthony Tolliver_DET",NA,NA,16.25,NA,16.75,0.75,10.25,NA,7
"Nik Stauskas_BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA,0
"Frank Ntilikina_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA,3.5
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA,25.75
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14,11.75,NA,32.75
"Amir Johnson_PHI",NA,NA,12.5,25,NA,24.5,8,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25
"Juancho Hernangomez_DEN",NA,0,NA,0,NA,0,0,NA,0
"Tyler Zeller_BKN",NA,NA,26.25,NA,NA,16.25,19.25,NA,NA
"Miles Plumlee_ATL",NA,NA,NA,0,NA,22.25,11.75,NA,13
"Iman Shumpert_CLE",NA,0,NA,0,NA,0,0,NA,0
"Mike Muscala_ATL",NA,NA,NA,0,NA,0,0,NA,0
"Guillermo Hernangomez_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Devin Harris_DAL",NA,NA,21.5,NA,NA,25.75,25.25,NA,10.5
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA,16.25
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA,7
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA,14.5,12.75,NA,NA
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA,0
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0
"Jarrett Allen_BKN",NA,NA,15.5,NA,NA,23,22.75,NA,NA
"Malcolm Delaney_ATL",NA,NA,NA,0,NA,0,7,NA,0
"Damyean Dotson_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Ivica Zubac_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5,2.75,NA,NA,0
"Dragan Bender_PHO",NA,8,10.5,NA,NA,11.75,14.25,1.25,NA
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5,0.5,NA
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25
"Joakim Noah_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Ron Baker_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA,0
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5,0.25,NA,NA,15.75
"Luke Kennard_DET",NA,NA,27.5,NA,10.5,14.75,3.5,NA,9
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5,0,NA
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA,4.75,12,NA
"Isaiah Whitehead_BKN",NA,NA,9.25,NA,NA,5.5,0,NA,NA
"Isaiah Taylor_ATL",NA,NA,NA,0.75,NA,20.5,12.5,NA,9.75
"Lance Thomas_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Alan Williams_PHO",NA,0,0,NA,NA,0,0,0,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5,14.5,NA,NA
"Langston Galloway_DET",NA,NA,18.5,NA,1.5,9.5,4.5,NA,0
"Quincy Acy_BKN",NA,NA,13.75,NA,NA,5,9.75,NA,NA
"Ramon Sessions_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Salah Mejri_DAL",NA,NA,2.5,NA,NA,8,11.75,NA,2.75
"Reggie Bullock_DET",NA,NA,0,NA,0,0,0,NA,0
"Dwight Buycks_DET",NA,NA,0,NA,0,0,0,NA,0
"Boban Marjanovic_DET",NA,NA,4.75,NA,7.25,7.5,0,NA,0
"Eric Moreland_DET",NA,NA,19.5,NA,0.75,2.25,6.75,NA,8.25
"Jon Leuer_DET",NA,NA,0,NA,0,0,0,NA,0
"Luis Montero_DET",NA,NA,0,NA,0,0,0,NA,0
"Henry Ellenson_DET",NA,NA,8,NA,0,0,0,NA,0
"Tyler Lydon_DEN",NA,0,NA,0,NA,0,0,NA,0
"Monte Morris_DEN",NA,0,NA,0,NA,0,0,NA,0
"Darrell Arthur_DEN",NA,0,NA,0,NA,0,0,NA,0
"Richard Jefferson_DEN",NA,0,NA,5,NA,7.75,0,NA,0
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA,0
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0,0,NA
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0,0,NA
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25,0,NA
"Mike Young_WAS",NA,0,0,NA,0,NA,0,0,NA
"Timofey Mozgov_BKN",NA,NA,0,NA,NA,0,0,NA,NA
"Jeremy Lin_BKN",NA,NA,0,NA,NA,0,0,NA,NA
"Jacob Wiley_BKN",NA,NA,0,NA,NA,0,0,NA,NA
"Yakuba Ouattara_BKN",NA,NA,0,NA,NA,0,0,NA,NA
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA,0
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA,0
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA,0
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA,0
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5,13,NA,3.5
"Josh Magette_ATL",NA,NA,NA,0,NA,0,0,NA,0
"Tyler Dorsey_ATL",NA,NA,NA,0,NA,0,7.5,NA,0
"Luke Kornet_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Isaiah Hicks_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Thomas Bryant_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Tyler Ennis_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Josh Hart_LAL",10.75,NA,9.25,NA,NA,23.25,NA,NA,NA
"Alex Caruso_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Luol Deng_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Andrew Bogut_LAL",0,NA,6,NA,NA,0,NA,NA,NA
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA,0,NA,NA,NA
"Vander Blue_LAL",0,NA,0,NA,NA,0,NA,NA,NA
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA,0
