"Place_lo","Place_hi","Payout"
"1","1","7500"
"2","2","5000"
"3","3","4000"
"4","4","3000"
"5","5","2000"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","350"
"16","20","250"
"21","30","200"
"31","40","150"
"41","50","100"
"51","75","75"
"76","100","60"
"101","125","50"
"126","150","40"
"151","200","30"
"201","250","25"
"251","350","20"
"351","450","15"
"451","700","12"
"701","1200","10"
"1201","1950","9"
"1951","2950","8"
"2951","4950","7"
"4951","8200","6"
"8201","13075","5"
