"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13"
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25,12.75,NA
"Salah Mejri_DAL",NA,NA,2.5,NA,NA,8,11.75,NA,2.75,5.75,NA
"Josh McRoberts_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA
"JaVale McGee_GS",10,NA,0,NA,0,NA,15,NA,9.25,NA,NA
"Jeff Withey_DAL",NA,NA,0,NA,NA,6,0,NA,0,0,NA
"Dorian Finney-Smith_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA
"Nerlens Noel_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA
"Damian Jones_GS",0,NA,0,NA,0,NA,0,NA,0,NA,NA
"Johnathan Motley_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA
"Antonius Cleveland_DAL",NA,NA,0,NA,NA,6.25,0,NA,0,3.5,NA
"Kevon Looney_GS",1,NA,11,NA,2,NA,1.25,NA,5.5,NA,NA
"Chris Boucher_GS",0,NA,0,NA,0,NA,0,NA,0,NA,NA
"Luol Deng_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA
"Andrew Bogut_LAL",0,NA,6,NA,NA,0,NA,NA,NA,0,NA
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA,0,NA,NA,NA,0.75,NA
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA
"Vander Blue_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA
"Alex Caruso_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA
"Josh Hart_LAL",10.75,NA,9.25,NA,NA,23.25,NA,NA,NA,3.75,NA
"Tyler Ennis_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA,0,12,NA
"Thomas Bryant_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA,0,4.5,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5,0,NA,NA,9,0,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA,0,0,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA
"Malachi Richardson_SAC",0,4,NA,NA,0,0,NA,NA,0,0,NA
"Georgios Papagiannis_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA
"Harry Giles_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA
