"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Zaza Pachulia",3300,"DAL@GS 12/14/2017 10:30PM ET",14.6,"GS"
"PG","Quinn Cook",3300,"DAL@GS 12/14/2017 10:30PM ET",8.042,"GS"
"PG","Jose Calderon",3300,"LAL@CLE 12/14/2017 08:00PM ET",8.868,"CLE"
"C","Kosta Koufos",3300,"SAC@MIN 12/14/2017 08:00PM ET",15.694,"SAC"
"SG/SF","Justin Jackson",3300,"SAC@MIN 12/14/2017 08:00PM ET",9.986,"SAC"
"PF/C","Channing Frye",3200,"LAL@CLE 12/14/2017 08:00PM ET",9.798,"CLE"
"C","Salah Mejri",3100,"DAL@GS 12/14/2017 10:30PM ET",11.826,"DAL"
"PF/C","Josh McRoberts",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL"
"C","JaVale McGee",3000,"DAL@GS 12/14/2017 10:30PM ET",8.844,"GS"
"C","Jeff Withey",3000,"DAL@GS 12/14/2017 10:30PM ET",3.781,"DAL"
"SF","Dorian Finney-Smith",3000,"DAL@GS 12/14/2017 10:30PM ET",5.875,"DAL"
"PF","Nerlens Noel",3000,"DAL@GS 12/14/2017 10:30PM ET",12.132,"DAL"
"C","Damian Jones",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS"
"PF/C","Johnathan Motley",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL"
"SG","Antonius Cleveland",3000,"DAL@GS 12/14/2017 10:30PM ET",5.156,"DAL"
"SF/PF","Kevon Looney",3000,"DAL@GS 12/14/2017 10:30PM ET",8.512,"GS"
"PF","Chris Boucher",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS"
"SF/PF","Luol Deng",3000,"LAL@CLE 12/14/2017 08:00PM ET",5,"LAL"
"C","Andrew Bogut",3000,"LAL@CLE 12/14/2017 08:00PM ET",7.533,"LAL"
"SG/SF","Corey Brewer",3000,"LAL@CLE 12/14/2017 08:00PM ET",6.712,"LAL"
"SG/SF","John Holland",3000,"LAL@CLE 12/14/2017 08:00PM ET",1.833,"CLE"
"PG/SG","Vander Blue",3000,"LAL@CLE 12/14/2017 08:00PM ET",0.938,"LAL"
"PG/SG","Alex Caruso",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.75,"LAL"
"PG","London Perrantes",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE"
"PG/SG","Josh Hart",3000,"LAL@CLE 12/14/2017 08:00PM ET",8.095,"LAL"
"PG/SG","Tyler Ennis",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.396,"LAL"
"SG/SF","Cedi Osman",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.958,"CLE"
"PF/C","Thomas Bryant",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"LAL"
"PF/C","Ante Zizic",3000,"LAL@CLE 12/14/2017 08:00PM ET",3.775,"CLE"
"SG/SF","Vince Carter",3000,"SAC@MIN 12/14/2017 08:00PM ET",7.426,"SAC"
"PG/SG","Aaron Brooks",3000,"SAC@MIN 12/14/2017 08:00PM ET",3.958,"MIN"
"C","Cole Aldrich",3000,"SAC@MIN 12/14/2017 08:00PM ET",1.15,"MIN"
"PF","Jack Cooley",3000,"SAC@MIN 12/14/2017 08:00PM ET",4.75,"SAC"
"SG/SF","Anthony Brown",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"SAC@MIN 12/14/2017 08:00PM ET",0.917,"MIN"
"C","Justin Patton",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN"
"SG/SF","Malachi Richardson",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.979,"SAC"
"C","Georgios Papagiannis",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.5,"SAC"
"PF/C","Harry Giles",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"SAC"
