Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
PF/C,Mason Plumlee,4100,MIN@DEN 12/20/2017 09:00PM ET,18.608,DEN,MIN,0.0,24.3,40.5,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Manu Ginobili,4000,SA@POR 12/20/2017 10:00PM ET,16.106,SA,POR,0.0,15.3,21.25,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Evan Turner,3800,SA@POR 12/20/2017 10:00PM ET,17.65,POR,SA,0.0,19.3,18.25,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Ed Davis,3800,SA@POR 12/20/2017 10:00PM ET,15.775,POR,SA,0.0,15.8,23.75,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Kenneth Faried,3800,MIN@DEN 12/20/2017 09:00PM ET,15.59,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG,Emmanuel Mudiay,3800,MIN@DEN 12/20/2017 09:00PM ET,18.405,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG,Jamal Crawford,3700,MIN@DEN 12/20/2017 09:00PM ET,15.04,MIN,DEN,0.0,14.7,32.75,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Torrey Craig,3600,MIN@DEN 12/20/2017 09:00PM ET,14.75,DEN,MIN,0.0,21.9,20.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG/SG,Shabazz Napier,3500,SA@POR 12/20/2017 10:00PM ET,14.04,POR,SA,0.0,14.4,20.25,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Gorgui Dieng,3500,MIN@DEN 12/20/2017 09:00PM ET,15.464,MIN,DEN,0.0,15.4,21.75,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG,Brandon Paul,3400,SA@POR 12/20/2017 10:00PM ET,8.466,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Davis Bertans,3400,SA@POR 12/20/2017 10:00PM ET,9.596,SA,POR,0.0,10.4,2.75,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Maurice Harkless,3400,SA@POR 12/20/2017 10:00PM ET,12.85,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG/SG,Bryn Forbes,3400,SA@POR 12/20/2017 10:00PM ET,11.45,SA,POR,0.0,15.7,6.5,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Noah Vonleh,3400,SA@POR 12/20/2017 10:00PM ET,14.761,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Zach Collins,3400,SA@POR 12/20/2017 10:00PM ET,8.232,POR,SA,0.0,14.1,6.5,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Nemanja Bjelica,3400,MIN@DEN 12/20/2017 09:00PM ET,13.514,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Meyers Leonard,3300,SA@POR 12/20/2017 10:00PM ET,11.091,POR,SA,0.0,0.0,4.75,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Pat Connaughton,3300,SA@POR 12/20/2017 10:00PM ET,11.283,POR,SA,0.0,7.7,5.25,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Shabazz Muhammad,3300,MIN@DEN 12/20/2017 09:00PM ET,7.25,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG/SG,Tyus Jones,3300,MIN@DEN 12/20/2017 09:00PM ET,12.476,MIN,DEN,0.0,10.2,9.25,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Juancho Hernangomez,3300,MIN@DEN 12/20/2017 09:00PM ET,8.833,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF,Caleb Swanigan,3200,SA@POR 12/20/2017 10:00PM ET,7.607,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG,Malik Beasley,3200,MIN@DEN 12/20/2017 09:00PM ET,7.385,DEN,MIN,0.0,11.6,4.5,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,CJ Wilcox,3000,SA@POR 12/20/2017 10:00PM ET,0.0,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Darrun Hilliard,3000,SA@POR 12/20/2017 10:00PM ET,3.3,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Jake Layman,3000,SA@POR 12/20/2017 10:00PM ET,3.692,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF,Matt Costello,3000,SA@POR 12/20/2017 10:00PM ET,12.25,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF/C,Joffrey Lauvergne,3000,SA@POR 12/20/2017 10:00PM ET,9.779,SA,POR,0.0,0.0,9.25,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG,Derrick White,3000,SA@POR 12/20/2017 10:00PM ET,6.65,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG/SG,Wade Baldwin IV,3000,SA@POR 12/20/2017 10:00PM ET,0.0,POR,SA,0.0,0.0,0.0,POR,SA,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Richard Jefferson,3000,MIN@DEN 12/20/2017 09:00PM ET,3.219,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG/SG,Aaron Brooks,3000,MIN@DEN 12/20/2017 09:00PM ET,4.25,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF,Darrell Arthur,3000,MIN@DEN 12/20/2017 09:00PM ET,3.938,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
C,Cole Aldrich,3000,MIN@DEN 12/20/2017 09:00PM ET,1.625,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Anthony Brown,3000,MIN@DEN 12/20/2017 09:00PM ET,0.0,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SG/SF,Marcus Georges-Hunt,3000,MIN@DEN 12/20/2017 09:00PM ET,1.667,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PG,Monte Morris,3000,MIN@DEN 12/20/2017 09:00PM ET,1.5,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
C,Justin Patton,3000,MIN@DEN 12/20/2017 09:00PM ET,0.0,MIN,DEN,0.0,0.0,0.0,DEN,MIN,False,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
PF,Tyler Lydon,3000,MIN@DEN 12/20/2017 09:00PM ET,0.0,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA $1.5K Quarter Jukebox [Just $0.25!] (Turbo)
SF/PF,Kevin Durant,11600,MEM@GS 12/20/2017 10:30PM ET,49.47,GS,MEM,0.0,55.1,38.0,GS,MEM,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Russell Westbrook,11400,UTA@OKC 12/20/2017 08:00PM ET,54.725,OKC,UTA,0.0,55.2,56.0,OKC,UTA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,James Harden,11000,LAL@HOU 12/20/2017 08:00PM ET,56.586,HOU,LAL,0.0,58.7,71.25,HOU,LAL,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Chris Paul,9800,LAL@HOU 12/20/2017 08:00PM ET,44.433,HOU,LAL,0.0,52.9,20.75,HOU,LAL,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Nikola Vucevic,9400,ORL@CHI 12/20/2017 08:00PM ET,40.169,ORL,CHI,0.0,44.6,38.5,CHI,ORL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Stephen Curry,9300,MEM@GS 12/20/2017 10:30PM ET,46.924,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Victor Oladipo,9200,IND@ATL 12/20/2017 07:30PM ET,43.167,IND,ATL,0.0,46.6,34.75,ATL,IND,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Andre Drummond,9100,DET@DAL 12/20/2017 08:30PM ET,43.308,DET,DAL,0.0,43.1,31.25,DAL,DET,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Karl-Anthony Towns,9000,MIN@DEN 12/20/2017 09:00PM ET,43.355,MIN,DEN,0.0,47.3,48.5,DEN,MIN,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG,Jimmy Butler,8800,MIN@DEN 12/20/2017 09:00PM ET,38.5,MIN,DEN,0.0,40.8,36.5,DEN,MIN,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Damian Lillard,8500,SA@POR 12/20/2017 10:00PM ET,44.583,POR,SA,0.0,41.6,30.5,POR,SA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,DeMar DeRozan,8300,TOR@CHA 12/20/2017 07:00PM ET,38.946,TOR,CHA,0.0,39.4,41.5,CHA,TOR,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Kyle Lowry,8200,TOR@CHA 12/20/2017 07:00PM ET,38.143,TOR,CHA,0.0,40.1,26.75,CHA,TOR,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Nikola Jokic,8100,MIN@DEN 12/20/2017 09:00PM ET,39.239,DEN,MIN,0.0,42.9,35.5,DEN,MIN,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Kyrie Irving,8000,MIA@BOS 12/20/2017 07:30PM ET,38.661,BOS,MIA,0.0,38.8,49.5,BOS,MIA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,LaMarcus Aldridge,7800,SA@POR 12/20/2017 10:00PM ET,39.133,SA,POR,0.0,33.8,37.0,POR,SA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Devin Booker,7800,PHO@LAC 12/20/2017 10:30PM ET,38.3,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Marc Gasol,7700,MEM@GS 12/20/2017 10:30PM ET,39.742,MEM,GS,0.0,37.6,43.25,GS,MEM,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Dwight Howard,7600,TOR@CHA 12/20/2017 07:00PM ET,36.408,CHA,TOR,0.0,38.4,26.75,CHA,TOR,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Lou Williams,7600,PHO@LAC 12/20/2017 10:30PM ET,32.58,LAC,PHO,0.0,40.1,0.0,LAC,PHO,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Aaron Gordon,7500,ORL@CHI 12/20/2017 08:00PM ET,35.904,ORL,CHI,0.0,0.0,0.0,CHI,ORL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Draymond Green,7500,MEM@GS 12/20/2017 10:30PM ET,35.94,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Blake Griffin,7500,PHO@LAC 12/20/2017 10:30PM ET,43.763,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,DeAndre Jordan,7500,PHO@LAC 12/20/2017 10:30PM ET,34.69,LAC,PHO,0.0,39.1,39.5,LAC,PHO,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF,Paul George,7400,UTA@OKC 12/20/2017 08:00PM ET,38.089,OKC,UTA,0.0,35.9,35.0,OKC,UTA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Clint Capela,7400,LAL@HOU 12/20/2017 08:00PM ET,35.134,HOU,LAL,0.0,0.0,0.0,HOU,LAL,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Dennis Schroder,7300,IND@ATL 12/20/2017 07:30PM ET,35.089,ATL,IND,0.0,37.0,27.25,ATL,IND,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Al Horford,7300,MIA@BOS 12/20/2017 07:30PM ET,35.767,BOS,MIA,0.0,34.3,18.5,BOS,MIA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Kris Dunn,7200,ORL@CHI 12/20/2017 08:00PM ET,30.55,CHI,ORL,0.0,36.1,40.0,CHI,ORL,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG,Klay Thompson,7200,MEM@GS 12/20/2017 10:30PM ET,33.4,GS,MEM,0.0,34.9,43.0,GS,MEM,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Kemba Walker,7100,TOR@CHA 12/20/2017 07:00PM ET,37.58,CHA,TOR,0.0,35.7,28.5,CHA,TOR,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Hassan Whiteside,7000,MIA@BOS 12/20/2017 07:30PM ET,36.95,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Tyreke Evans,7000,MEM@GS 12/20/2017 10:30PM ET,33.526,MEM,GS,0.0,35.3,30.0,GS,MEM,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Jonathon Simmons,6900,ORL@CHI 12/20/2017 08:00PM ET,24.653,ORL,CHI,0.0,31.8,16.5,CHI,ORL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,D'Angelo Russell,6800,SAC@BKN 12/20/2017 07:30PM ET,36.458,BKN,SAC,0.0,0.0,0.0,BKN,SAC,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Spencer Dinwiddie,6700,SAC@BKN 12/20/2017 07:30PM ET,28.25,BKN,SAC,0.0,33.1,28.25,BKN,SAC,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Harrison Barnes,6700,DET@DAL 12/20/2017 08:30PM ET,32.04,DAL,DET,0.0,31.8,39.25,DAL,DET,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Lonzo Ball,6700,LAL@HOU 12/20/2017 08:00PM ET,33.259,LAL,HOU,0.0,35.7,37.75,HOU,LAL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Myles Turner,6600,IND@ATL 12/20/2017 07:30PM ET,30.677,IND,ATL,0.0,31.5,38.0,ATL,IND,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Donovan Mitchell,6600,UTA@OKC 12/20/2017 08:00PM ET,30.169,UTA,OKC,0.0,0.0,0.0,OKC,UTA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Paul Millsap,6600,MIN@DEN 12/20/2017 09:00PM ET,31.828,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Kent Bazemore,6500,IND@ATL 12/20/2017 07:30PM ET,28.717,ATL,IND,0.0,28.8,26.25,ATL,IND,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Rudy Gobert,6500,UTA@OKC 12/20/2017 08:00PM ET,30.611,UTA,OKC,0.0,0.0,0.0,OKC,UTA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Brandon Ingram,6500,LAL@HOU 12/20/2017 08:00PM ET,30.714,LAL,HOU,0.0,33.7,33.0,HOU,LAL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Taurean Prince,6400,IND@ATL 12/20/2017 07:30PM ET,26.825,ATL,IND,0.0,26.3,21.5,ATL,IND,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Nikola Mirotic,6400,ORL@CHI 12/20/2017 08:00PM ET,34.083,CHI,ORL,0.0,30.0,33.0,CHI,ORL,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,CJ McCollum,6400,SA@POR 12/20/2017 10:00PM ET,33.405,POR,SA,0.0,32.1,30.25,POR,SA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Jusuf Nurkic,6400,SA@POR 12/20/2017 10:00PM ET,30.509,POR,SA,0.0,30.5,23.5,POR,SA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Mike Conley,6300,MEM@GS 12/20/2017 10:30PM ET,28.771,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
C,Steven Adams,6300,UTA@OKC 12/20/2017 08:00PM ET,30.04,OKC,UTA,0.0,27.0,26.25,OKC,UTA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Tobias Harris,6300,DET@DAL 12/20/2017 08:30PM ET,29.608,DET,DAL,0.0,28.6,19.5,DAL,DET,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG,Gary Harris,6300,MIN@DEN 12/20/2017 09:00PM ET,29.357,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Thaddeus Young,6200,IND@ATL 12/20/2017 07:30PM ET,28.194,IND,ATL,0.0,29.1,20.0,ATL,IND,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,James Johnson,6200,MIA@BOS 12/20/2017 07:30PM ET,26.455,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Dion Waiters,6200,MIA@BOS 12/20/2017 07:30PM ET,25.509,MIA,BOS,0.0,30.1,23.75,BOS,MIA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Zach Randolph,6200,SAC@BKN 12/20/2017 07:30PM ET,29.24,SAC,BKN,0.0,29.5,36.5,BKN,SAC,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Will Barton,6200,MIN@DEN 12/20/2017 09:00PM ET,30.784,DEN,MIN,0.0,30.4,24.25,DEN,MIN,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,TJ Warren,6200,PHO@LAC 12/20/2017 10:30PM ET,30.094,PHO,LAC,0.0,31.1,45.5,LAC,PHO,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Goran Dragic,6100,MIA@BOS 12/20/2017 07:30PM ET,29.862,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Rondae Hollis-Jefferson,6100,SAC@BKN 12/20/2017 07:30PM ET,27.663,BKN,SAC,0.0,32.2,31.5,BKN,SAC,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Jeff Teague,6100,MIN@DEN 12/20/2017 09:00PM ET,31.083,MIN,DEN,0.0,30.9,36.5,DEN,MIN,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Kawhi Leonard,6000,SA@POR 12/20/2017 10:00PM ET,21.833,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Andrew Wiggins,6000,MIN@DEN 12/20/2017 09:00PM ET,28.903,MIN,DEN,0.0,28.3,22.25,DEN,MIN,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Josh Richardson,5900,MIA@BOS 12/20/2017 07:30PM ET,22.117,MIA,BOS,0.0,28.2,35.5,BOS,MIA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Serge Ibaka,5900,TOR@CHA 12/20/2017 07:00PM ET,25.91,TOR,CHA,0.0,26.6,37.75,CHA,TOR,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG,Kentavious Caldwell-Pope,5900,LAL@HOU 12/20/2017 08:00PM ET,28.29,LAL,HOU,0.0,0.0,0.0,HOU,LAL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Taj Gibson,5900,MIN@DEN 12/20/2017 09:00PM ET,26.798,MIN,DEN,0.0,27.9,22.25,DEN,MIN,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Evan Fournier,5800,ORL@CHI 12/20/2017 08:00PM ET,29.808,ORL,CHI,0.0,0.0,0.0,CHI,ORL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Carmelo Anthony,5800,UTA@OKC 12/20/2017 08:00PM ET,30.802,OKC,UTA,0.0,28.4,30.25,OKC,UTA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Kyle Kuzma,5800,LAL@HOU 12/20/2017 08:00PM ET,28.75,LAL,HOU,0.0,28.7,58.25,HOU,LAL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Nicolas Batum,5700,TOR@CHA 12/20/2017 07:00PM ET,25.5,CHA,TOR,0.0,30.0,9.5,CHA,TOR,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Jamal Murray,5700,MIN@DEN 12/20/2017 09:00PM ET,24.35,DEN,MIN,0.0,30.9,45.0,DEN,MIN,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Danilo Gallinari,5700,PHO@LAC 12/20/2017 10:30PM ET,24.591,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Austin Rivers,5700,PHO@LAC 12/20/2017 10:30PM ET,25.611,LAC,PHO,0.0,30.7,35.5,LAC,PHO,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Darren Collison,5600,IND@ATL 12/20/2017 07:30PM ET,28.233,IND,ATL,0.0,26.9,13.75,ATL,IND,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SF/PF,Jayson Tatum,5600,MIA@BOS 12/20/2017 07:30PM ET,26.811,BOS,MIA,0.0,25.6,24.25,BOS,MIA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Elfrid Payton,5600,ORL@CHI 12/20/2017 08:00PM ET,27.148,ORL,CHI,0.0,29.6,35.5,CHI,ORL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Caris LeVert,5600,SAC@BKN 12/20/2017 07:30PM ET,24.25,BKN,SAC,0.0,25.3,26.5,BKN,SAC,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Rodney Hood,5600,UTA@OKC 12/20/2017 08:00PM ET,26.5,UTA,OKC,0.0,28.4,18.5,OKC,UTA,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,JJ Barea,5600,DET@DAL 12/20/2017 08:30PM ET,25.282,DAL,DET,0.0,24.7,0.0,DAL,DET,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG,Reggie Jackson,5600,DET@DAL 12/20/2017 08:30PM ET,27.392,DET,DAL,0.0,25.5,16.75,DAL,DET,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PG/SG,Jordan Clarkson,5600,LAL@HOU 12/20/2017 08:00PM ET,23.438,LAL,HOU,0.0,24.6,9.75,HOU,LAL,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Alex Len,5600,PHO@LAC 12/20/2017 10:30PM ET,25.407,PHO,LAC,0.0,27.9,24.25,LAC,PHO,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
PF/C,Domantas Sabonis,5500,IND@ATL 12/20/2017 07:30PM ET,26.336,IND,ATL,0.0,22.6,15.5,ATL,IND,False,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
SG/SF,Jaylen Brown,5400,MIA@BOS 12/20/2017 07:30PM ET,26.54,BOS,MIA,0.0,25.4,29.0,BOS,MIA,True,2017-12-20,$0.25entry_NBA Holiday Classic SUPERSat [100x]
