Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
SF/PF,Chandler Parsons,3900,MEM@GS 12/20/2017 10:30PM ET,18.076,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,Troy Daniels,3900,PHO@LAC 12/20/2017 10:30PM ET,11.453,PHO,LAC,0.0,19.5,13.75,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Josh Jackson,3900,PHO@LAC 12/20/2017 10:30PM ET,17.172,PHO,LAC,0.0,19.4,26.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG,Mario Chalmers,3800,MEM@GS 12/20/2017 10:30PM ET,18.371,MEM,GS,0.0,18.5,26.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SF/PF,Sam Dekker,3800,PHO@LAC 12/20/2017 10:30PM ET,8.92,LAC,PHO,0.0,14.8,13.75,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG,Jawun Evans,3800,PHO@LAC 12/20/2017 10:30PM ET,11.432,LAC,PHO,0.0,8.1,6.5,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Dillon Brooks,3700,MEM@GS 12/20/2017 10:30PM ET,15.85,MEM,GS,0.0,17.6,12.5,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SF/PF,Jamil Wilson,3700,PHO@LAC 12/20/2017 10:30PM ET,11.659,LAC,PHO,0.0,17.5,21.5,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Marquese Chriss,3700,PHO@LAC 12/20/2017 10:30PM ET,16.406,PHO,LAC,0.0,15.3,25.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Shaun Livingston,3600,MEM@GS 12/20/2017 10:30PM ET,11.038,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Montrezl Harrell,3600,PHO@LAC 12/20/2017 10:30PM ET,12.935,LAC,PHO,0.0,15.6,19.5,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,David West,3500,MEM@GS 12/20/2017 10:30PM ET,16.875,GS,MEM,0.0,17.4,19.5,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Jarell Martin,3400,MEM@GS 12/20/2017 10:30PM ET,10.973,MEM,GS,0.0,8.7,18.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SF/PF,Kevon Looney,3400,MEM@GS 12/20/2017 10:30PM ET,8.663,GS,MEM,0.0,12.1,9.75,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SF,Patrick McCaw,3400,MEM@GS 12/20/2017 10:30PM ET,9.18,GS,MEM,0.0,15.9,24.5,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SF/PF,Dragan Bender,3400,PHO@LAC 12/20/2017 10:30PM ET,12.914,PHO,LAC,0.0,17.0,10.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,Zaza Pachulia,3300,MEM@GS 12/20/2017 10:30PM ET,14.6,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,Nick Young,3300,MEM@GS 12/20/2017 10:30PM ET,10.821,GS,MEM,0.0,15.6,18.5,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,James Ennis III,3300,MEM@GS 12/20/2017 10:30PM ET,14.25,MEM,GS,0.0,13.3,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Ben McLemore,3300,MEM@GS 12/20/2017 10:30PM ET,12.263,MEM,GS,0.0,9.3,15.75,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,CJ Williams,3300,PHO@LAC 12/20/2017 10:30PM ET,8.656,LAC,PHO,0.0,13.9,16.75,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,JaVale McGee,3200,MEM@GS 12/20/2017 10:30PM ET,8.769,GS,MEM,0.0,14.1,13.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF,Jared Dudley,3200,PHO@LAC 12/20/2017 10:30PM ET,11.5,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG,Quinn Cook,3100,MEM@GS 12/20/2017 10:30PM ET,6.781,GS,MEM,0.0,15.3,13.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Brandan Wright,3000,MEM@GS 12/20/2017 10:30PM ET,13.234,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,Damian Jones,3000,MEM@GS 12/20/2017 10:30PM ET,0.0,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF,Vince Hunter,3000,MEM@GS 12/20/2017 10:30PM ET,3.0,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Wayne Selden,3000,MEM@GS 12/20/2017 10:30PM ET,8.25,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Ivan Rabb,3000,MEM@GS 12/20/2017 10:30PM ET,0.75,MEM,GS,0.0,0.0,3.25,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Deyonta Davis,3000,MEM@GS 12/20/2017 10:30PM ET,10.574,MEM,GS,0.0,10.7,3.5,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF,Chris Boucher,3000,MEM@GS 12/20/2017 10:30PM ET,0.0,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,Kobi Simmons,3000,MEM@GS 12/20/2017 10:30PM ET,3.25,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Patrick Beverley,3000,PHO@LAC 12/20/2017 10:30PM ET,25.977,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
