Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val,Date
Jeff Teague,PG,MIN,vs PHX,27th,115.0,6500,16.5,53.0,31.1,0.93,19.9,11.0,33.6,33.99,32.15,32.15,%,67,4.9,34.0,38.75,6.0,2017-12-16
T.J. Warren,SF/PFSFPF,PHX,@ MIN,12th,103.0,6400,13.9,56.9,30.2,0.98,26.2,15.9,30.9,36.7,32.3,32.3,%,59,5.0,31.0,25.75,4.0,2017-12-16
Jusuf Nurkic,C,POR,@ CHA,12th,101.25,6400,10.0,51.9,30.7,1.12,29.2,13.4,27.4,27.33,27.96,27.96,%,61,4.4,25.0,21.25,3.3,2017-12-16
Taj Gibson,PF/CPFC,MIN,vs PHX,30th,115.0,6200,15.0,47.3,26.8,0.82,14.5,8.2,32.7,32.61,28.86,28.86,%,66,4.7,40.0,37.5,6.0,2017-12-16
Goran Dragic,PG,MIA,vs LAC,5th,106.25,6200,14.7,42.1,30.2,0.97,26.3,13.8,31.0,30.0,26.46,26.46,%,74,4.3,30.0,19.5,3.1,2017-12-16
Andrew Wiggins,SF/PFSFPF,MIN,vs PHX,18th,115.0,6100,15.7,45.0,29.4,0.81,24.0,15.8,36.3,36.93,28.25,28.25,%,72,4.6,36.0,23.25,3.8,2017-12-16
James Johnson,SF/PFSFPF,MIA,vs LAC,16th,106.25,6000,15.6,52.0,27.1,0.97,20.1,8.6,27.8,34.2,31.19,31.19,%,62,5.2,5.0,7.75,1.3,2017-12-16
Rudy Gay,SF/PFSFPF,SAS,vs DAL,10th,101.75,5900,17.0,44.9,25.0,1.09,25.4,9.7,22.9,30.0,28.92,28.92,%,68,4.9,27.0,16.5,2.8,2017-12-16
Juan Jose Barea,PG/SGPGSG,DAL,@ SAS,6th,95.75,5700,17.6,42.1,25.4,1.15,26.9,10.2,22.1,26.04,28.1,28.1,%,72,4.9,25.0,23.5,4.1,2017-12-16
Nicolas Batum,SG/SFSGSF,CHA,vs POR,4th,104.25,5700,11.9,44.6,24.5,0.82,17.9,9.6,29.9,32.0,25.89,25.89,%,62,4.5,38.0,38.0,6.7,2017-12-16
Jayson Tatum,SF/PFSFPF,BOS,@ MEM,11th,99.25,5700,13.3,40.1,26.2,0.88,18.0,9.0,29.8,30.79,24.76,24.76,%,71,4.3,34.0,40.75,7.1,2017-12-16
Courtney Lee,SG/SFSGSF,NYK,vs OKC,10th,99.0,5700,15.8,46.8,25.0,0.79,17.1,10.5,31.8,35.04,29.08,29.08,%,65,5.1,31.0,34.25,6.0,2017-12-16
Jaylen Brown,SG/SFSGSF,BOS,@ MEM,11th,99.25,5600,14.3,41.0,27.0,0.88,21.5,11.5,30.8,32.51,25.75,25.75,%,72,4.6,33.0,21.25,3.8,2017-12-16
Pau Gasol,PF/CPFC,SAS,vs DAL,13th,101.75,5500,9.3,42.8,27.7,1.13,20.1,8.3,24.5,22.0,23.67,23.67,%,65,4.3,14.0,2.75,0.5,2017-12-16
Dion Waiters,SG/SFSGSF,MIA,vs LAC,26th,106.25,5400,12.0,45.8,25.0,0.82,25.9,14.2,30.5,30.0,26.49,26.49,%,61,4.9,30.0,28.0,5.2,2017-12-16
Greg Monroe,PF/CPFC,PHX,@ MIN,29th,103.0,5300,7.6,50.5,23.1,1.13,20.8,7.5,20.4,21.46,25.97,25.97,%,47,4.9,0.0,0.0,,2017-12-16
Rodney Hood,SG/SFSGSF,UTA,@ CLE,24th,100.75,5300,15.1,45.3,26.1,0.94,28.2,14.6,27.8,29.0,28.04,28.04,%,67,5.3,26.0,19.75,3.7,2017-12-16
Marcus Smart,SG/SFSGSF,BOS,@ MEM,7th,99.25,5100,10.1,38.6,24.3,0.81,19.8,9.4,29.9,32.04,22.3,22.3,%,67,4.4,30.0,22.0,4.3,2017-12-16
Dwyane Wade,PG/SGPGSG,CLE,vs UTA,1st,109.75,5100,7.7,45.2,24.5,1.06,25.1,9.7,23.1,23.4,23.75,23.75,%,56,4.7,19.0,22.5,4.4,2017-12-16
Danny Green,SG/SFSGSF,SAS,vs DAL,16th,101.75,5000,1.6,36.6,21.4,0.78,17.1,8.6,27.3,23.0,16.61,16.61,%,53,3.3,0.0,0.0,,2017-12-16
Jeremy Lamb,SG/SFSGSF,CHA,vs POR,4th,104.25,5000,8.5,42.1,26.8,1.01,24.4,11.9,26.6,23.0,22.89,22.89,%,64,4.6,23.0,20.0,4.0,2017-12-16
Al-Farouq Aminu,SF/PFSFPF,POR,@ CHA,25th,101.25,5000,15.0,47.7,24.8,0.84,13.6,7.7,29.4,32.0,29.02,29.02,%,62,5.8,22.0,9.25,1.9,2017-12-16
Ricky Rubio,PG,UTA,@ CLE,26th,100.75,5000,13.0,47.9,26.8,0.94,23.4,10.1,28.4,31.0,27.96,27.96,%,63,5.6,25.0,18.5,3.7,2017-12-16
Kelly Olynyk,PF/CPFC,MIA,vs LAC,26th,106.25,4900,16.2,46.0,20.6,1.0,20.6,6.4,20.6,27.7,28.95,28.95,%,59,5.9,34.0,33.25,6.8,2017-12-16
Yogi Ferrell,PG/SGPGSG,DAL,@ SAS,6th,95.75,4800,7.7,33.0,18.3,0.66,16.8,7.9,27.7,32.5,18.53,18.53,%,61,3.9,38.0,43.75,9.1,2017-12-16
Trevor Ariza,SG/SFSGSF,HOU,vs MIL,13th,115.75,4800,18.2,39.8,24.4,0.72,13.4,9.2,34.0,35.1,27.45,27.45,%,75,5.7,41.0,24.25,5.1,2017-12-16
Joe Ingles,SG/SFSGSF,UTA,@ CLE,21st,100.75,4800,16.3,40.6,24.8,0.84,16.0,8.3,29.6,30.5,26.69,26.69,%,72,5.6,33.0,31.0,6.5,2017-12-16
Wesley Matthews,SG/SFSGSF,DAL,@ SAS,2nd,95.75,4700,6.3,41.2,23.1,0.68,17.5,10.9,33.9,33.04,21.28,21.28,%,57,4.5,38.0,22.0,4.7,2017-12-16
Milos Teodosic,PG/SGPGSG,LAC,@ MIA,8th,100.25,4700,14.4,40.2,19.0,1.0,21.9,8.3,19.0,27.0,25.46,25.46,%,61,5.4,27.0,28.5,6.1,2017-12-16
Eric Gordon,SG,HOU,vs MIL,28th,115.75,4700,12.9,43.0,27.0,0.88,26.1,14.3,30.7,29.9,25.83,25.83,%,68,5.5,29.0,18.75,4.0,2017-12-16
Dirk Nowitzki,PF/CPFC,DAL,@ SAS,4th,95.75,4600,11.4,37.2,23.1,0.94,20.4,9.6,24.6,25.71,22.44,22.44,%,68,4.9,24.0,27.5,6.0,2017-12-16
Alex Len,PF/CPFC,PHX,@ MIN,29th,103.0,4600,0.0,31.2,23.9,1.12,17.1,5.9,21.4,10.0,12.35,12.35,%,61,2.7,28.0,50.25,10.9,2017-12-16
Michael Kidd-Gilchrist,SF,CHA,vs POR,14th,104.25,4600,6.9,41.0,20.1,0.76,16.1,8.5,26.4,28.36,21.5,21.5,%,52,4.7,28.0,21.0,4.6,2017-12-16
Alec Burks,PG/SGPGSG,UTA,@ CLE,24th,100.75,4600,3.4,44.1,18.8,0.96,23.4,8.3,19.5,20.0,20.86,20.86,%,38,4.5,10.0,8.75,1.9,2017-12-16
Patrick Mills,PG,SAS,vs DAL,20th,101.75,4500,9.7,35.0,19.8,0.8,19.0,8.3,24.8,22.47,20.56,20.56,%,63,4.6,22.0,13.0,2.9,2017-12-16
Josh Richardson,SG/SFSGSF,MIA,vs LAC,26th,106.25,4500,9.5,39.9,20.5,0.64,16.9,9.2,31.9,32.6,22.49,22.49,%,58,5.0,36.0,44.75,9.9,2017-12-16
John Henson,C,MIL,@ HOU,2nd,105.75,4500,6.8,40.2,21.7,0.94,15.6,5.7,23.1,25.32,21.12,21.12,%,56,4.7,31.0,17.5,3.9,2017-12-16
Malcolm Brogdon,PG/SGPGSG,MIL,@ HOU,21st,105.75,4500,9.8,39.7,23.7,0.8,20.3,10.9,29.7,29.29,22.61,22.61,%,64,5.0,36.0,34.5,7.7,2017-12-16
Marvin Williams,SF/PFSFPF,CHA,vs POR,3rd,104.25,4500,6.6,34.9,19.4,0.74,13.7,7.0,26.3,29.38,18.72,18.72,%,58,4.2,25.0,15.5,3.4,2017-12-16
JaMychal Green,SF/PFSFPF,MEM,vs BOS,8th,93.25,4500,8.6,37.7,21.0,0.76,18.7,8.2,27.8,31.32,21.05,21.05,%,60,4.7,28.0,15.5,3.4,2017-12-16
Jarrett Jack,PG,NYK,vs OKC,1st,99.0,4500,7.8,33.5,19.9,0.78,14.7,6.3,25.5,24.71,18.83,18.83,%,63,4.2,34.0,37.5,8.3,2017-12-16
Dejounte Murray,PG,SAS,vs DAL,20th,101.75,4400,7.7,50.9,17.3,0.96,18.9,6.1,18.1,27.0,26.24,26.24,%,29,6.0,24.0,28.5,6.5,2017-12-16
Tyson Chandler,C,PHX,@ MIN,29th,103.0,4400,12.6,41.8,22.9,0.89,10.9,4.6,25.6,26.8,25.11,25.11,%,64,5.7,20.0,13.5,3.1,2017-12-16
Tyler Johnson,PG/SGPGSG,MIA,vs LAC,26th,106.25,4400,12.2,40.0,20.9,0.78,19.0,9.0,26.9,26.6,24.1,24.1,%,62,5.5,24.0,13.5,3.1,2017-12-16
Andrew Harrison,PG/SGPGSG,MEM,vs BOS,15th,93.25,4400,12.1,40.9,14.7,0.8,20.1,5.3,18.4,27.21,24.46,24.46,%,44,5.6,14.0,9.0,2.0,2017-12-16
