Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val,Date
Dwight Powell,PF/CPFC,DAL,@ SAS,4th,95.75,3700,4.8,31.7,16.4,0.94,17.4,4.9,17.5,18.36,16.32,16.32,%,53,4.4,18.0,13.25,3.6,2017-12-16
Sam Dekker,SF/PFSFPF,LAC,@ MIA,23rd,100.25,3700,9.9,31.0,8.6,0.73,18.8,4.3,11.8,24.2,18.97,18.97,%,30,5.1,18.0,7.75,2.1,2017-12-16
P.J. Tucker,SF/PFSFPF,HOU,vs MIL,13th,115.75,3700,10.7,33.2,17.6,0.67,11.1,5.0,26.2,28.5,20.32,20.32,%,64,5.5,37.0,30.0,8.1,2017-12-16
Dillon Brooks,SG/SFSGSF,MEM,vs BOS,6th,93.25,3700,0.0,27.1,15.8,0.58,13.8,6.4,27.4,22.9,10.24,10.24,%,47,2.8,34.0,18.75,5.1,2017-12-16
Kyle Korver,SG/SFSGSF,CLE,vs UTA,1st,109.75,3700,1.6,29.1,17.3,0.79,16.8,7.3,22.0,20.71,13.4,13.4,%,55,3.6,25.0,18.0,4.9,2017-12-16
Jose Calderon,PG,CLE,vs UTA,10th,109.75,3600,0.0,31.6,10.7,0.63,10.0,3.2,17.1,20.36,12.91,12.91,%,13,3.6,22.0,14.5,4.0,2017-12-16
Maxi Kleber,PF,DAL,@ SAS,4th,95.75,3600,3.0,31.6,11.8,0.67,12.9,4.0,17.6,27.96,15.27,15.27,%,31,4.2,34.0,32.25,9.0,2017-12-16
Devin Harris,PG/SGPGSG,DAL,@ SAS,6th,95.75,3600,6.4,30.9,16.8,0.91,23.8,6.8,18.5,20.43,16.88,16.88,%,58,4.7,17.0,4.75,1.3,2017-12-16
Jamal Crawford,SG,MIN,vs PHX,25th,115.0,3600,5.0,30.8,14.7,0.86,26.0,7.9,17.1,17.89,16.08,16.08,%,50,4.5,17.0,12.0,3.3,2017-12-16
Montrezl Harrell,PF/CPFC,LAC,@ MIA,1st,100.25,3600,4.9,26.8,12.3,1.13,21.4,3.9,10.9,15.26,14.27,14.27,%,49,4.0,15.0,21.5,6.0,2017-12-16
Thon Maker,PF/CPFC,MIL,@ HOU,2nd,105.75,3600,1.9,23.4,12.5,0.68,13.5,4.0,18.4,19.37,11.12,11.12,%,51,3.1,16.0,9.5,2.6,2017-12-16
Zach Collins,PF/CPFC,POR,@ CHA,17th,101.25,3600,0.0,28.6,6.9,0.72,26.8,3.3,9.6,18.0,11.86,11.86,%,0,3.3,14.0,15.5,4.3,2017-12-16
Alex Abrines,SG/SFSGSF,OKC,@ NYK,9th,103.0,3600,0.0,23.8,9.7,0.55,14.4,4.5,17.5,17.2,9.55,9.55,%,26,2.7,8.0,3.25,0.9,2017-12-16
Tristan Thompson,PF/CPFC,CLE,vs UTA,1st,109.75,3600,0.0,17.6,12.3,0.64,8.2,2.8,19.2,9.2,5.0,5.0,%,49,1.4,7.0,10.5,2.9,2017-12-16
Jae Crowder,SF/PFSFPF,CLE,vs UTA,4th,109.75,3600,2.9,29.0,15.9,0.63,16.2,7.3,25.1,22.5,14.06,14.06,%,53,3.9,20.0,17.25,4.8,2017-12-16
Thabo Sefolosha,SG/SFSGSF,UTA,@ CLE,21st,100.75,3600,2.4,31.3,17.6,0.87,15.5,5.7,20.3,16.0,14.8,14.8,%,53,4.1,18.0,21.25,5.9,2017-12-16
Joe Johnson,SG/SFSGSF,UTA,@ CLE,21st,100.75,3600,4.2,24.2,12.4,0.68,20.4,6.1,18.3,17.0,12.75,12.75,%,54,3.5,29.0,13.75,3.8,2017-12-16
Tyus Jones,PG/SGPGSG,MIN,vs PHX,27th,115.0,3500,0.0,34.1,12.4,0.75,10.9,3.1,16.6,14.27,13.53,13.53,%,17,3.9,13.0,18.5,5.3,2017-12-16
Shabazz Napier,PG/SGPGSG,POR,@ CHA,17th,101.25,3500,0.0,34.1,14.5,0.89,17.4,5.4,16.3,17.0,14.31,14.31,%,32,4.1,18.0,13.0,3.7,2017-12-16
Noah Vonleh,PF/CPFC,POR,@ CHA,17th,101.25,3500,0.0,23.7,15.2,0.8,10.6,3.5,19.1,6.3,5.43,5.43,%,40,1.6,9.0,5.5,1.6,2017-12-16
Daniel Theis,PF/CPFC,BOS,@ MEM,9th,99.25,3500,0.0,15.0,12.1,1.0,20.1,3.4,12.1,0.0,0.0,0.0,%,38,0.0,14.0,14.75,4.2,2017-12-16
Jerami Grant,SF/PFSFPF,OKC,@ NYK,19th,103.0,3500,7.1,32.6,16.8,0.8,15.9,5.7,20.9,23.0,18.01,18.01,%,57,5.1,21.0,17.5,5.0,2017-12-16
Jonas Jerebko,SF/PFSFPF,UTA,@ CLE,23rd,100.75,3500,10.3,41.9,14.2,0.85,14.9,5.0,16.8,26.5,23.82,23.82,%,36,6.8,15.0,13.75,3.9,2017-12-16
Pat Connaughton,SG/SFSGSF,POR,@ CHA,18th,101.25,3400,1.3,26.6,11.7,0.61,14.3,5.1,19.3,20.0,12.16,12.16,%,38,3.6,16.0,8.0,2.4,2017-12-16
Maurice Harkless,SF/PFSFPF,POR,@ CHA,25th,101.25,3400,0.0,17.7,12.9,0.59,11.6,4.7,21.8,8.0,4.7,4.7,%,50,1.4,0.0,0.0,,2017-12-16
Shane Larkin,PG,BOS,@ MEM,7th,99.25,3400,0.0,23.7,8.3,0.79,16.8,3.6,10.5,10.64,7.88,7.88,%,5,2.3,12.0,3.5,1.0,2017-12-16
Semi Ojeleye,SG/SFSGSF,BOS,@ MEM,11th,99.25,3400,2.6,18.4,6.5,0.46,10.3,2.6,14.0,20.64,9.33,9.33,%,31,2.7,4.0,0.0,,2017-12-16
Ben McLemore,SG/SFSGSF,MEM,vs BOS,6th,93.25,3400,2.2,24.5,12.8,0.7,20.0,6.4,18.4,18.01,11.76,11.76,%,50,3.5,5.0,2.0,0.6,2017-12-16
James Ennis,SG/SFSGSF,MEM,vs BOS,6th,93.25,3400,0.5,27.1,14.7,0.6,12.4,4.9,24.4,22.54,11.92,11.92,%,48,3.5,12.0,2.5,0.7,2017-12-16
Damyean Dotson,SG/SFSGSF,NYK,vs OKC,9th,99.0,3400,0.0,18.3,6.1,0.65,15.9,2.9,9.4,6.0,3.89,3.89,%,0,1.1,0.0,0.0,,2017-12-16
Patrick Patterson,PF/CPFC,OKC,@ NYK,27th,103.0,3400,3.9,19.4,7.5,0.56,10.7,2.7,13.4,16.93,10.58,10.58,%,41,3.1,24.0,28.25,8.3,2017-12-16
Dragan Bender,SF/PFSFPF,PHX,@ MIN,6th,103.0,3400,2.2,24.8,12.5,0.63,12.3,4.7,19.8,22.0,11.86,11.86,%,48,3.5,29.0,27.0,7.9,2017-12-16
Michael Carter-Williams,PG,CHA,vs POR,4th,104.25,3400,0.0,25.5,13.6,0.82,17.4,4.5,16.5,14.45,10.77,10.77,%,46,3.2,16.0,11.75,3.5,2017-12-16
Malik Monk,PG/SGPGSG,CHA,vs POR,4th,104.25,3400,0.0,23.8,11.4,0.75,20.6,6.8,15.1,6.48,4.42,4.42,%,15,1.3,0.0,0.0,,2017-12-16
DeAndre Liggins,PG/SFPGSF,MIL,@ HOU,21st,105.75,3300,3.9,23.1,7.4,0.49,10.6,2.4,15.1,24.3,12.13,12.13,%,26,3.7,16.0,11.5,3.5,2017-12-16
Nene Hilario,C,HOU,vs MIL,5th,115.75,3300,0.0,13.0,13.5,0.99,19.5,4.1,13.7,0.0,0.0,0.0,%,52,0.0,19.0,26.5,8.0,2017-12-16
Ron Baker,PG/SGPGSG,NYK,vs OKC,10th,99.0,3300,0.6,20.6,12.1,0.76,10.8,2.3,15.9,12.29,9.17,9.17,%,53,2.8,17.0,19.75,6.0,2017-12-16
Jawun Evans,PG,LAC,@ MIA,8th,100.25,3200,1.0,30.2,11.3,0.78,21.6,5.2,14.4,18.51,13.49,13.49,%,26,4.2,25.0,12.0,3.8,2017-12-16
Jarell Martin,PF/CPFC,MEM,vs BOS,8th,93.25,3200,0.0,17.3,10.5,0.66,17.0,4.3,15.9,6.93,3.9,3.9,%,36,1.2,19.0,23.0,7.2,2017-12-16
Lance Thomas,SF/PFSFPF,NYK,vs OKC,9th,99.0,3200,4.7,21.3,8.6,0.52,13.0,3.6,16.6,24.61,11.79,11.79,%,45,3.7,25.0,13.0,4.1,2017-12-16
Channing Frye,PF/CPFC,CLE,vs UTA,13th,109.75,3200,0.3,22.6,9.9,0.77,17.0,3.7,12.8,13.57,9.88,9.88,%,36,3.1,5.0,6.5,2.0,2017-12-16
Sindarius Thornwell,SG,LAC,@ MIA,20th,100.25,3100,0.3,19.7,8.5,0.54,14.7,3.4,15.7,17.99,8.6,8.6,%,35,2.8,13.0,4.25,1.4,2017-12-16
Gary Payton II,SG,MIL,@ HOU,21st,105.75,3100,2.5,22.8,6.3,0.66,14.8,3.0,9.6,17.0,11.22,11.22,%,8,3.6,5.0,9.5,3.1,2017-12-16
Raymond Felton,PG/SGPGSG,OKC,@ NYK,22nd,103.0,3100,5.1,25.4,14.1,0.86,19.0,6.4,16.4,16.78,13.79,13.79,%,59,4.4,15.0,14.75,4.8,2017-12-16
Antonius Cleveland,SG,DAL,@ SAS,2nd,95.75,3000,0.0,13.0,4.9,0.6,15.0,1.6,8.1,9.79,5.42,5.42,%,22,1.8,1.0,0.0,,2017-12-16
Josh Huestis,SF/PFSFPF,OKC,@ NYK,19th,103.0,3000,4.0,18.8,6.9,0.61,15.7,2.6,11.3,16.0,10.34,10.34,%,39,3.4,13.0,2.25,0.8,2017-12-16
Joffrey Lauvergne,PF/CPFC,SAS,vs DAL,26th,101.75,3000,0.0,18.3,10.2,0.95,18.0,3.8,10.7,5.1,4.92,4.92,%,35,1.6,13.0,10.5,3.5,2017-12-16
Zhou Qi,PF/CPFC,HOU,vs MIL,27th,115.75,3000,0.0,12.0,4.2,0.84,19.5,1.8,5.0,5.0,4.48,4.48,%,11,1.5,0.0,0.0,,2017-12-16
Rashad Vaughn,PG/SFPGSF,MIL,@ HOU,21st,105.75,3000,1.0,29.3,8.0,0.7,15.9,3.5,11.5,19.0,13.15,13.15,%,0,4.4,7.0,8.0,2.7,2017-12-16
Tarik Black,PF/CPFC,HOU,vs MIL,5th,115.75,3000,0.4,28.7,7.9,1.01,17.5,2.2,7.8,16.0,12.53,12.53,%,0,4.2,12.0,6.75,2.3,2017-12-16
Cedi Osman,SG/SFSGSF,CLE,vs UTA,4th,109.75,3000,0.0,15.7,5.3,0.72,14.5,1.9,7.4,9.0,6.25,6.25,%,11,2.1,22.0,17.5,5.8,2017-12-16
Royce O'Neale,SF,UTA,@ CLE,21st,100.75,3000,0.0,17.4,7.8,0.73,15.9,2.6,10.7,0.0,0.0,0.0,%,0,0.0,11.0,19.5,6.5,2017-12-16
Ekpe Udoh,PF/CPFC,UTA,@ CLE,23rd,100.75,3000,2.4,22.0,11.2,0.78,9.1,2.1,14.4,13.3,10.76,10.76,%,50,3.6,32.0,40.25,13.4,2017-12-16
Jake Layman,SF/PFSFPF,POR,@ CHA,25th,101.25,3000,0.0,9.9,3.7,0.61,14.7,2.2,6.1,5.0,3.24,3.24,%,9,1.1,0.0,0.0,,2017-12-16
Marcus Georges-Hunt,SG/SFSGSF,MIN,vs PHX,18th,115.0,3000,3.2,15.0,2.7,0.63,16.8,1.0,4.3,13.7,8.25,8.25,%,0,2.8,5.0,4.0,1.3,2017-12-16
Johnny O'Bryant,PF/CPFC,CHA,vs POR,3rd,104.25,3000,0.0,20.4,8.6,1.06,32.3,4.5,8.1,5.78,5.18,5.18,%,11,1.7,8.0,12.5,4.2,2017-12-16
Treveon Graham,SG/SFSGSF,CHA,vs POR,4th,104.25,3000,0.0,17.1,10.9,0.65,13.7,3.9,16.7,9.7,6.33,6.33,%,50,2.1,4.0,3.0,1.0,2017-12-16
Danuel House,SG/SFSGSF,PHX,@ MIN,12th,103.0,3000,0.0,2.0,3.8,0.25,13.0,3.0,15.0,0.0,0.0,0.0,%,0,0.0,14.0,10.0,3.3,2017-12-16
Isaiah Canaan,PG/SGPGSG,PHX,@ MIN,19th,103.0,3000,0.0,0.0,1.3,0.43,15.3,1.0,3.0,0.0,0.0,0.0,%,0,0.0,26.0,30.25,10.1,2017-12-16
Kobi Simmons,SG,MEM,vs BOS,15th,93.25,3000,0.0,0.0,2.0,0.4,9.5,1.0,5.0,0.0,0.0,0.0,%,0,0.0,14.0,4.5,1.5,2017-12-16
Guerschon Yabusele,PF/CPFC,BOS,@ MEM,9th,99.25,3000,1.4,10.0,4.9,1.04,24.0,1.7,4.7,5.14,5.08,5.08,%,49,1.7,0.0,0.0,,2017-12-16
Jordan Mickey,PF/CPFC,MIA,vs LAC,16th,106.25,3000,0.0,20.0,9.1,1.12,17.3,2.6,8.1,7.2,7.45,7.45,%,31,2.5,27.0,27.0,9.0,2017-12-16
Deyonta Davis,PF/CPFC,MEM,vs BOS,8th,93.25,3000,1.7,24.2,10.6,0.93,15.5,2.9,11.4,12.6,11.33,11.33,%,39,3.8,12.0,9.5,3.2,2017-12-16
Jamil Wilson,SF/PFSFPF,LAC,@ MIA,23rd,100.25,3000,5.6,27.0,9.8,0.7,16.7,4.3,14.1,22.04,14.77,14.77,%,38,4.9,23.0,17.5,5.8,2017-12-16
C.J. Williams,SG,LAC,@ MIA,20th,100.25,3000,6.3,22.5,8.3,0.63,14.5,3.4,13.1,21.6,13.24,13.24,%,44,4.4,28.0,13.5,4.5,2017-12-16
Salah Mejri,C,DAL,@ SAS,11th,95.75,3000,0.0,29.4,11.8,1.06,9.7,1.7,11.1,11.2,11.04,11.04,%,22,3.7,3.0,7.75,2.6,2017-12-16
Nick Collison,PF/CPFC,OKC,@ NYK,27th,103.0,3000,0.0,5.3,4.3,1.02,14.6,0.8,4.2,0.0,0.0,0.0,%,38,0.0,9.0,4.25,1.4,2017-12-16
Sterling Brown,SG,MIL,@ HOU,21st,105.75,3000,1.3,8.0,5.8,0.94,20.8,2.6,6.2,5.0,4.16,4.16,%,67,1.4,13.0,12.5,4.2,2017-12-16
Dakari Johnson,C,OKC,@ NYK,4th,103.0,3000,6.6,25.8,5.8,0.89,19.8,1.9,6.5,18.0,14.8,14.8,%,5,4.9,13.0,10.25,3.4,2017-12-16
LeBron James,SF/PFSFPF,CLE,@ MIL,8th,108.0,11600,38.9,84.2,58.1,1.57,30.8,18.7,37.0,36.0,58.32,58.32,%,78,5.0,34.0,60.25,5.2,2017-12-19
Giannis Antetokounmpo,SF/PFSFPF,MIL,vs CLE,21st,107.0,11400,44.3,69.1,55.9,1.49,34.0,20.1,37.4,37.0,54.95,54.95,%,87,4.8,40.0,60.5,5.3,2017-12-19
DeMarcus Cousins,PF/CPFC,NOP,@ WAS,14th,108.25,10700,34.6,78.4,55.0,1.57,34.6,19.1,35.0,37.0,53.35,53.35,%,77,5.0,35.0,49.25,4.6,2017-12-19
Anthony Davis,PF/CPFC,NOP,@ WAS,21st,108.25,10100,29.9,84.3,48.7,1.39,27.0,16.2,35.0,38.0,53.2,53.2,%,68,5.3,36.0,51.25,5.1,2017-12-19
Ben Simmons,PG/SFPGSF,PHI,vs SAC,25th,107.0,9500,27.9,63.7,45.6,1.26,24.0,14.5,36.2,36.0,43.24,43.24,%,78,4.6,32.0,47.0,4.9,2017-12-19
John Wall,PG,WAS,vs NOP,23rd,110.25,8800,30.2,62.3,41.2,1.24,28.3,15.9,33.3,36.0,43.96,43.96,%,78,5.0,33.0,43.5,4.9,2017-12-19
Kevin Love,PF/CPFC,CLE,@ MIL,7th,108.0,7800,19.5,58.8,38.3,1.32,27.6,13.5,29.0,30.0,36.33,36.33,%,71,4.7,29.0,44.5,5.7,2017-12-19
Bradley Beal,SG,WAS,vs NOP,30th,110.25,7700,26.6,66.1,37.5,1.07,29.6,19.0,34.9,39.0,43.49,43.49,%,70,5.6,36.0,44.25,5.7,2017-12-19
Khris Middleton,SG/SFSGSF,MIL,vs CLE,23rd,107.0,7300,19.2,62.5,36.4,1.0,24.7,15.8,36.5,36.0,37.76,37.76,%,66,5.2,39.0,37.0,5.1,2017-12-19
Jrue Holiday,PG/SGPGSG,NOP,@ WAS,17th,108.25,7100,21.0,60.1,35.1,0.96,22.2,14.9,36.6,36.0,37.8,37.8,%,68,5.3,35.0,33.0,4.6,2017-12-19
Eric Bledsoe,PG/SGPGSG,MIL,vs CLE,21st,107.0,6700,21.1,54.3,32.2,1.05,27.7,14.0,30.8,32.0,35.3,35.3,%,71,5.3,31.0,38.75,5.8,2017-12-19
Zach Randolph,PF/CPFC,SAC,@ PHI,24th,99.0,6400,13.5,56.5,29.2,1.15,27.0,12.6,25.4,27.0,31.94,31.94,%,58,5.0,28.0,34.25,5.4,2017-12-19
Robert Covington,SF/PFSFPF,PHI,vs SAC,1st,107.0,6200,14.4,49.6,31.7,0.98,18.7,11.7,32.2,34.0,29.48,29.48,%,68,4.8,32.0,28.75,4.6,2017-12-19
Dario Saric,PF/CPFC,PHI,vs SAC,25th,107.0,6100,16.1,51.7,26.4,0.89,18.9,11.2,29.5,33.0,31.32,31.32,%,61,5.1,30.0,27.75,4.5,2017-12-19
Rajon Rondo,PG,NOP,@ WAS,17th,108.25,6000,12.3,58.5,27.3,1.08,16.2,6.8,25.3,30.0,32.07,32.07,%,52,5.3,13.0,6.0,1.0,2017-12-19
J.J. Redick,SG/SFSGSF,PHI,vs SAC,9th,107.0,5400,14.7,43.3,27.4,0.81,19.9,13.3,33.7,34.0,27.0,27.0,%,70,5.0,20.0,12.5,2.3,2017-12-19
Willie Cauley-Stein,PF/CPFC,SAC,@ PHI,11th,99.0,5200,11.3,47.4,23.9,0.98,21.1,8.7,24.4,28.0,26.77,26.77,%,57,5.1,29.0,21.5,4.1,2017-12-19
Malcolm Brogdon,PG/SGPGSG,MIL,vs CLE,23rd,107.0,4800,7.7,37.8,24.1,0.81,20.2,10.9,29.9,27.0,20.6,20.6,%,64,4.3,30.0,24.75,5.2,2017-12-19
Dwyane Wade,PG/SGPGSG,CLE,@ MIL,28th,108.0,4800,13.0,49.8,24.4,1.06,25.5,9.8,23.0,23.0,28.77,28.77,%,57,6.0,26.0,27.0,5.6,2017-12-19
Marcin Gortat,C,WAS,vs NOP,21st,110.25,4700,10.6,40.7,25.2,0.91,15.2,7.1,27.8,24.0,23.5,23.5,%,66,5.0,29.0,37.5,8.0,2017-12-19
Kelly Oubre Jr.,SG/SFSGSF,WAS,vs NOP,9th,110.25,4700,12.8,44.5,22.6,0.83,19.3,9.1,27.2,31.0,26.38,26.38,%,60,5.6,29.0,16.5,3.5,2017-12-19
Buddy Hield,SG/SFSGSF,SAC,@ PHI,15th,99.0,4600,9.6,46.3,21.7,0.97,25.3,10.5,22.4,27.0,25.33,25.33,%,52,5.5,28.0,39.25,8.5,2017-12-19
E'Twaun Moore,SG/SFSGSF,NOP,@ WAS,2nd,108.25,4600,6.8,37.7,22.3,0.69,15.7,10.2,32.1,31.0,20.06,20.06,%,60,4.4,32.0,22.5,4.9,2017-12-19
Markieff Morris,SF/PFSFPF,WAS,vs NOP,29th,110.25,4600,7.7,39.6,19.0,0.84,21.9,8.9,22.7,25.0,21.33,21.33,%,52,4.6,20.0,17.5,3.8,2017-12-19
John Henson,C,MIL,vs CLE,23rd,107.0,4500,10.8,43.7,21.5,0.92,15.4,5.6,23.4,26.0,24.91,24.91,%,56,5.5,28.0,31.0,6.9,2017-12-19
Mike Scott,PF,WAS,vs NOP,29th,110.25,4500,14.2,46.4,16.4,0.89,19.5,6.7,18.5,27.0,27.97,27.97,%,44,6.2,23.0,31.0,6.9,2017-12-19
Richaun Holmes,PF/CPFC,PHI,vs SAC,25th,107.0,4400,5.1,39.1,16.7,1.07,16.8,5.7,15.6,18.0,19.64,19.64,%,42,4.5,26.0,18.0,4.1,2017-12-19
De'Aaron Fox,PG,SAC,@ PHI,19th,99.0,4300,6.0,33.5,20.3,0.81,23.4,9.7,25.0,25.0,17.75,17.75,%,61,4.1,11.0,4.25,1.0,2017-12-19
Jeff Green,SF/PFSFPF,CLE,@ MIL,8th,108.0,4300,4.3,34.8,19.3,0.9,21.1,7.8,21.5,20.0,17.38,17.38,%,55,4.0,25.0,21.5,5.0,2017-12-19
Bogdan Bogdanovic,SG/SFSGSF,SAC,@ PHI,15th,99.0,4300,15.6,35.8,19.2,0.79,20.1,8.4,24.2,30.0,24.24,24.24,%,70,5.6,18.0,8.75,2.0,2017-12-19
Trevor Booker,PF/CPFC,PHI,vs SAC,25th,107.0,4200,0.0,32.9,22.7,1.08,20.6,8.0,21.0,12.0,13.25,13.25,%,57,3.2,15.0,20.5,4.9,2017-12-19
T.J. McConnell,PG,PHI,vs SAC,16th,107.0,4100,3.7,41.9,20.6,0.87,13.6,5.5,23.6,25.0,20.03,20.03,%,47,4.9,21.0,13.0,3.2,2017-12-19
J.R. Smith,SG/SFSGSF,CLE,@ MIL,28th,108.0,4000,12.1,36.5,18.1,0.6,13.3,7.6,30.2,33.0,22.51,22.51,%,61,5.6,17.0,5.0,1.3,2017-12-19
Frank Mason III,PG/SGPGSG,SAC,@ PHI,19th,99.0,3900,10.4,34.2,15.8,0.86,25.6,7.0,18.3,23.0,20.61,20.61,%,57,5.3,22.0,24.5,6.3,2017-12-19
Tony Snell,SG/SFSGSF,MIL,vs CLE,21st,107.0,3700,2.7,25.7,16.1,0.52,10.2,6.0,31.2,25.0,12.55,12.55,%,59,3.4,23.0,16.0,4.3,2017-12-19
Jose Calderon,PG,CLE,@ MIL,3rd,108.0,3700,0.0,30.2,11.2,0.64,10.2,3.3,17.5,20.0,12.16,12.16,%,19,3.3,23.0,19.5,5.3,2017-12-19
Amir Johnson,PF/CPFC,PHI,vs SAC,25th,107.0,3700,7.1,38.3,14.8,1.01,13.7,3.5,14.7,20.0,20.5,20.5,%,40,5.5,18.0,19.25,5.2,2017-12-19
Kyle Korver,SG/SFSGSF,CLE,@ MIL,28th,108.0,3600,5.0,31.5,17.4,0.79,16.8,7.3,22.1,20.0,16.38,16.38,%,56,4.6,23.0,7.5,2.1,2017-12-19
Garrett Temple,PG/SGPGSG,SAC,@ PHI,15th,99.0,3600,0.0,25.5,16.0,0.67,16.5,7.2,23.9,16.0,9.87,9.87,%,51,2.7,32.0,27.0,7.5,2017-12-19
Tristan Thompson,PF/CPFC,CLE,@ MIL,26th,108.0,3500,3.3,24.8,11.3,0.64,8.5,2.6,17.7,18.0,12.49,12.49,%,45,3.6,18.0,19.75,5.6,2017-12-19
Jae Crowder,SF/PFSFPF,CLE,@ MIL,8th,108.0,3500,2.8,28.3,15.7,0.63,15.9,7.2,24.9,22.0,13.75,13.75,%,54,3.9,36.0,22.0,6.3,2017-12-19
Dante Cunningham,SF/PFSFPF,NOP,@ WAS,17th,108.25,3500,6.5,28.5,13.9,0.62,10.9,5.0,22.6,22.0,15.93,15.93,%,55,4.6,17.0,3.25,0.9,2017-12-19
Tim Frazier,PG,WAS,vs NOP,23rd,110.25,3500,0.0,13.0,13.4,0.81,13.8,3.4,16.6,0.0,0.0,0.0,%,51,0.0,5.0,5.0,1.4,2017-12-19
Tomas Satoransky,PG/SGPGSG,WAS,vs NOP,30th,110.25,3500,8.2,38.7,13.3,0.79,15.5,4.0,16.9,23.0,21.25,21.25,%,34,6.1,21.0,21.75,6.2,2017-12-19
Thon Maker,PF/CPFC,MIL,vs CLE,23rd,107.0,3400,3.6,24.8,12.4,0.68,13.2,3.9,18.3,19.0,12.65,12.65,%,51,3.7,14.0,15.75,4.6,2017-12-19
Kosta Koufos,C,SAC,@ PHI,11th,99.0,3400,2.3,30.9,16.3,0.91,14.0,4.2,18.0,16.0,14.56,14.56,%,50,4.3,11.0,13.0,3.8,2017-12-19
Jerryd Bayless,PG/SGPGSG,PHI,vs SAC,16th,107.0,3400,1.1,23.5,16.4,0.65,15.4,7.3,25.4,17.0,10.71,10.71,%,61,3.2,26.0,22.25,6.5,2017-12-19
Ian Mahinmi,C,WAS,vs NOP,21st,110.25,3400,3.3,24.4,10.8,0.74,14.2,2.7,14.5,17.0,12.38,12.38,%,44,3.6,16.0,14.25,4.2,2017-12-19
Jameer Nelson,PG/SGPGSG,NOP,@ WAS,17th,108.25,3400,5.4,30.1,17.3,0.71,12.2,5.2,24.5,22.0,15.95,15.95,%,59,4.7,15.0,8.75,2.6,2017-12-19
Darius Miller,SF,NOP,@ WAS,17th,108.25,3400,4.2,32.4,13.2,0.66,15.3,5.5,20.1,24.0,16.3,16.3,%,39,4.8,25.0,4.75,1.4,2017-12-19
DeAndre Liggins,SG/SFSGSF,MIL,vs CLE,23rd,107.0,3300,0.0,16.7,7.6,0.5,10.4,2.4,15.1,12.0,5.82,5.82,%,29,1.8,16.0,4.75,1.4,2017-12-19
Channing Frye,PF/CPFC,CLE,@ MIL,7th,108.0,3200,0.0,17.9,9.7,0.78,17.1,3.6,12.4,9.0,5.54,5.54,%,36,1.7,0.0,0.0,,2017-12-19
Matthew Dellavedova,PG/SGPGSG,MIL,vs CLE,21st,107.0,3200,4.3,19.9,13.0,0.66,17.2,5.1,19.7,16.0,10.99,10.99,%,66,3.4,10.0,8.5,2.7,2017-12-19
Skal Labissiere,PF/CPFC,SAC,@ PHI,24th,99.0,3200,0.9,26.6,14.8,0.93,24.7,6.6,16.0,13.0,11.88,11.88,%,50,3.7,4.0,5.5,1.7,2017-12-19
Jodie Meeks,SG,WAS,vs NOP,30th,110.25,3100,2.9,26.9,11.0,0.67,19.2,5.8,16.3,18.0,13.18,13.18,%,38,4.3,17.0,6.5,2.1,2017-12-19
Vince Carter,SG/SFSGSF,SAC,@ PHI,15th,99.0,3100,0.0,15.4,8.3,0.62,14.5,3.5,13.4,7.0,4.27,4.27,%,33,1.4,14.0,14.25,4.6,2017-12-19
Jason Terry,PG/SGPGSG,MIL,vs CLE,21st,107.0,3000,0.0,11.9,6.1,0.52,11.6,2.1,11.7,6.0,3.3,3.3,%,30,1.1,0.0,0.0,,2017-12-19
Sterling Brown,SG,MIL,vs CLE,23rd,107.0,3000,0.0,6.1,6.9,0.95,20.2,2.8,7.3,0.0,0.0,0.0,%,56,0.0,5.0,5.25,1.8,2017-12-19
Malachi Richardson,SG/SFSGSF,SAC,@ PHI,15th,99.0,3000,0.0,10.5,6.7,0.62,16.0,3.3,10.8,3.0,1.84,1.84,%,35,0.6,19.0,9.5,3.2,2017-12-19
Justin Jackson,SG/SFSGSF,SAC,@ PHI,28th,99.0,3000,6.7,27.1,9.7,0.54,16.8,6.2,18.1,25.0,15.43,15.43,%,40,5.1,20.0,11.0,3.7,2017-12-19
Timothe Luwawu-Cabarrot,SG/SFSGSF,PHI,vs SAC,9th,107.0,3000,0.0,16.8,10.9,0.68,19.7,5.7,16.0,11.0,6.79,6.79,%,54,2.3,16.0,6.75,2.3,2017-12-19
Cheick Diallo,PF,NOP,@ WAS,21st,108.25,3000,0.0,9.7,6.4,0.81,14.6,2.5,7.9,0.0,0.0,0.0,%,25,0.0,3.0,5.75,1.9,2017-12-19
Charles Cooke,SG,NOP,@ WAS,2nd,108.25,3000,0.0,2.5,2.8,1.4,42.5,2.0,2.0,0.0,0.0,0.0,%,0,0.0,3.0,4.5,1.5,2017-12-19
Omer Asik,C,NOP,@ WAS,14th,108.25,3000,0.0,8.0,4.9,0.58,7.2,1.4,8.4,0.0,0.0,0.0,%,19,0.0,3.0,5.75,1.9,2017-12-19
Ian Clark,PG/SGPGSG,NOP,@ WAS,2nd,108.25,3000,0.0,14.2,9.4,0.65,18.3,4.7,14.5,0.0,0.0,0.0,%,25,0.0,17.0,5.75,1.9,2017-12-19
