Player,Roster.Position,X.Drafted,FPTS,Date,Contest,ContestType,Roster Position,%Drafted
Kevin Durant,SF,84.10%,38.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
DeAndre Jordan,C,56.01%,39.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyreke Evans,SG,52.14%,30.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Alex Len,F,46.76%,24.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Omri Casspi,F,46.68%,22.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Klay Thompson,G,46.34%,43.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Austin Rivers,SG,45.67%,35.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
T.J. Warren,SF,40.71%,45.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Lou Williams,SG,40.71%,21.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Isaiah Canaan,PG,38.02%,18.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Marc Gasol,C,35.41%,43.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Milos Teodosic,PG,34.31%,24.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jordan Bell,PF,33.05%,18.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
JaMychal Green,SF,25.99%,14.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Greg Monroe,PF,22.37%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
David West,PF,15.14%,19.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Patrick McCaw,PG,14.63%,24.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyson Chandler,UTIL,14.05%,10.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jamil Wilson,PF,12.87%,21.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Josh Jackson,UTIL,12.45%,26.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Troy Daniels,G,11.77%,13.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Andrew Harrison,G,9.84%,13.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Mario Chalmers,UTIL,7.99%,26.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyler Ulis,G,6.81%,6.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Dillon Brooks,F,6.81%,12.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Nick Young,G,6.56%,18.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Montrezl Harrell,UTIL,5.55%,19.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Mike James,PG,5.21%,12.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Dragan Bender,UTIL,4.04%,10.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Sam Dekker,F,2.78%,13.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
C.J. Williams,SG,2.44%,16.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jawun Evans,UTIL,2.19%,6.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Marquese Chriss,UTIL,2.19%,25.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
James Ennis III,F,1.51%,9.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Andre Iguodala,SG,1.35%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
JaVale McGee,C,0.84%,13.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Quinn Cook,PG,0.59%,13.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Deyonta Davis,F,0.50%,3.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Draymond Green,PF,0.50%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Ben McLemore,G,0.42%,15.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Zaza Pachulia,C,0.34%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jarell Martin,UTIL,0.34%,18.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Danilo Gallinari,F,0.17%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jared Dudley,UTIL,0.17%,2.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Sindarius Thornwell,G,0.17%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Willie Reed,UTIL,0.08%,16.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Kevon Looney,UTIL,0.08%,9.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Josh Hart,G,28.98%,27.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Chris Paul,PG,26.19%,20.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
James Harden,SG,24.54%,71.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Julius Randle,UTIL,22.43%,6.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kevin Durant,SF,18.91%,38.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Victor Oladipo,SG,18.87%,34.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kyle Kuzma,PF,18.18%,58.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nikola Mirotic,PF,18.00%,33.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nikola Vucevic,UTIL,17.24%,38.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jordan Mickey,F,16.55%,19.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Mario Hezonja,G,16.34%,15.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
DeAndre Jordan,C,15.97%,39.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Brandon Ingram,SG,14.93%,33.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Isaiah Canaan,PG,14.02%,18.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
P.J. Tucker,SF,13.85%,27.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kris Dunn,G,12.85%,40.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Justin Holiday,SF,12.35%,22.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Trevor Ariza,SF,11.77%,48.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tyler Johnson,SG,11.59%,35.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nicolas Batum,F,10.89%,9.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jonathon Simmons,SF,10.85%,16.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nene Hilario,C,9.82%,14.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Alex Len,C,9.70%,24.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Zach Randolph,F,9.55%,36.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Russell Westbrook,PG,9.53%,56.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Lou Williams,SG,9.45%,21.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Omri Casspi,F,8.50%,22.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Karl-Anthony Towns,C,8.47%,48.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Lonzo Ball,G,8.19%,37.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Josh Richardson,SF,8.18%,35.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Rodney Hood,SF,7.67%,18.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
DeMar DeRozan,UTIL,7.62%,41.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Al Horford,C,7.55%,18.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Buddy Hield,G,7.36%,6.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Eric Gordon,SG,7.25%,32.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Lauri Markkanen,PF,7.13%,17.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Ricky Rubio,PG,6.80%,8.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tyreke Evans,G,6.64%,30.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dwight Howard,C,6.53%,26.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andre Drummond,UTIL,6.32%,31.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Reggie Bullock,G,6.15%,5.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
LaMarcus Aldridge,F,6.08%,37.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
T.J. Warren,PF,6.07%,45.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Damian Lillard,UTIL,6.02%,30.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Spencer Dinwiddie,SG,5.76%,28.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Ryan Anderson,F,5.49%,11.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Rondae Hollis-Jefferson,UTIL,5.39%,31.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Greg Monroe,C,5.28%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dejounte Murray,UTIL,5.15%,17.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jeff Teague,G,5.10%,36.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marc Gasol,C,4.96%,43.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Austin Rivers,PG,4.93%,35.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Carmelo Anthony,SF,4.79%,30.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Elfrid Payton,G,4.77%,35.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jimmy Butler,SG,4.69%,36.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bobby Portis,UTIL,4.68%,23.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kyrie Irving,PG,4.65%,49.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bam Adebayo,PF,4.60%,11.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jamal Murray,SG,4.54%,45.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Klay Thompson,SG,4.19%,43.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kent Bazemore,SF,4.18%,26.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Harrison Barnes,PF,4.16%,39.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Milos Teodosic,G,4.04%,24.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Torrey Craig,G,4.01%,20.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jayson Tatum,PF,3.82%,24.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Will Barton,G,3.73%,24.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jordan Bell,C,3.71%,18.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nikola Jokic,C,3.66%,35.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kemba Walker,PG,3.60%,28.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Willie Cauley-Stein,C,3.54%,26.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Frank Kaminsky,PF,3.53%,11.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Frank Mason III,UTIL,3.49%,12.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Maxi Kleber,PF,3.46%,8.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Alec Burks,PG,3.41%,32.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kelly Olynyk,F,3.36%,48.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Myles Turner,C,3.23%,38.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Derrick Favors,C,3.16%,11.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Mason Plumlee,PF,3.13%,40.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Lance Stephenson,UTIL,2.95%,30.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
CJ McCollum,G,2.94%,30.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Taj Gibson,PF,2.87%,22.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dennis Schroder,G,2.87%,27.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Trey Lyles,UTIL,2.82%,18.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kyle Lowry,PG,2.67%,26.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Paul George,SF,2.63%,35.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jonas Valanciunas,C,2.61%,18.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andrew Wiggins,PF,2.58%,22.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Domantas Sabonis,C,2.53%,15.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
David Nwaba,SG,2.45%,14.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Joe Ingles,F,2.32%,12.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Garrett Temple,SG,2.30%,9.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Taurean Prince,F,2.21%,21.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jordan Clarkson,PG,2.16%,9.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bojan Bogdanovic,SF,2.05%,23.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jeremy Lamb,G,2.01%,41.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
John Collins,UTIL,1.99%,29.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dion Waiters,F,1.95%,23.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
George Hill,PG,1.91%,37.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Caris LeVert,G,1.84%,26.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Robin Lopez,UTIL,1.79%,24.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
DeMarre Carroll,F,1.76%,29.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bogdan Bogdanovic,UTIL,1.76%,20.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Michael Kidd-Gilchrist,F,1.76%,22.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Allen Crabbe,UTIL,1.76%,21.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jaylen Brown,F,1.74%,29.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Thaddeus Young,SF,1.68%,20.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Ersan Ilyasova,SF,1.67%,17.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dirk Nowitzki,C,1.66%,21.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tobias Harris,PF,1.64%,19.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Larry Nance Jr.,SF,1.60%,32.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
JaMychal Green,F,1.60%,14.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Al-Farouq Aminu,UTIL,1.60%,29.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Patrick McCaw,G,1.51%,24.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jamil Wilson,SF,1.50%,21.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Wayne Ellington,SG,1.46%,18.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
David West,UTIL,1.45%,19.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jusuf Nurkic,C,1.44%,23.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Rudy Gay,SF,1.37%,10.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Darren Collison,G,1.35%,13.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Wilson Chandler,PF,1.23%,28.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Ekpe Udoh,UTIL,1.17%,12.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Yogi Ferrell,SG,1.12%,25.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tyson Chandler,C,1.06%,10.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Wesley Matthews,G,1.05%,14.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Pau Gasol,UTIL,1.04%,52.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andre Roberson,F,0.99%,16.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Clint Capela,C,0.96%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dennis Smith Jr.,PG,0.96%,28.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Denzel Valentine,G,0.96%,40.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Thabo Sefolosha,F,0.89%,22.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Stanley Johnson,UTIL,0.85%,21.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andrew Harrison,UTIL,0.82%,13.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Josh Jackson,UTIL,0.81%,26.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tyler Zeller,UTIL,0.81%,10.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Serge Ibaka,F,0.75%,37.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Evan Turner,SF,0.75%,18.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marcus Smart,SG,0.74%,29.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Reggie Jackson,UTIL,0.73%,16.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Joe Johnson,F,0.71%,6.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Norman Powell,SF,0.65%,14.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Montrezl Harrell,C,0.61%,19.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Mario Chalmers,UTIL,0.58%,26.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
J.J. Barea,SG,0.56%,27.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andre Iguodala,F,0.55%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Patty Mills,UTIL,0.54%,12.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jerian Grant,G,0.52%,25.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marco Belinelli,G,0.51%,18.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Troy Daniels,G,0.47%,13.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Steven Adams,UTIL,0.45%,26.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marvin Williams,PF,0.43%,14.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jonas Jerebko,F,0.43%,13.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dwight Powell,F,0.42%,9.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Manu Ginobili,G,0.41%,21.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kosta Koufos,UTIL,0.39%,26.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kenneth Faried,PF,0.38%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
OG Anunoby,F,0.38%,32.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nick Young,UTIL,0.33%,18.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tarik Black,PF,0.32%,6.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jonathan Isaac,UTIL,0.29%,5.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Tyler Ulis,G,0.29%,6.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dillon Brooks,F,0.29%,12.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jahlil Okafor,C,0.28%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Sam Dekker,F,0.26%,13.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
D.J. Augustin,UTIL,0.26%,21.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Raymond Felton,G,0.26%,17.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Terry Rozier,SG,0.25%,9.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Mike James,UTIL,0.24%,12.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Aron Baynes,C,0.24%,8.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Al Jefferson,UTIL,0.24%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Dragan Bender,SF,0.23%,10.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Joe Harris,UTIL,0.23%,22.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jamal Crawford,G,0.23%,32.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
James Ennis III,F,0.23%,9.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Gary Harris,SG,0.22%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Vince Carter,UTIL,0.22%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Isaiah Whitehead,UTIL,0.22%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bismack Biyombo,UTIL,0.20%,3.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Wes Iwundu,SF,0.20%,7.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Cory Joseph,UTIL,0.20%,18.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jawun Evans,G,0.20%,6.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Jerami Grant,SF,0.19%,18.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Eric Moreland,F,0.19%,2.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Ish Smith,G,0.19%,24.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Shelvin Mack,G,0.19%,12.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marreese Speights,PF,0.19%,0.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Pascal Siakam,PF,0.18%,27.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Miles Plumlee,C,0.17%,23.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Devin Harris,UTIL,0.17%,14.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Bryn Forbes,SG,0.16%,6.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Quincy Acy,C,0.16%,12.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Andrew Bogut,C,0.15%,6.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Gorgui Dieng,C,0.15%,21.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
JaVale McGee,C,0.14%,13.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Langston Galloway,G,0.14%,10.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Nik Stauskas,G,0.14%,3.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Marquese Chriss,F,0.13%,25.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Anthony Tolliver,F,0.13%,25.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Kyle Anderson,F,0.13%,23.0,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Justin Jackson,SF,0.12%,9.25,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
