"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,957073073,"Dreadeye411 (5/6)",0,364.75,"PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James PG José Calderón G Josh Hart SG George Hill C Karl-Anthony Towns",NA,"LeBron James","SF","58.16%",68.5
2,956954560,"MrSteve83",0,358.75,"G Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF LeBron James PG José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Kevin Love","C","41.73%",54.75
2,957484820,"KINGOFTROY21 (4/8)",0,358.75,"SG Devin Harris PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James PG José Calderón G Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Jordan Bell","C","40.83%",30.5
4,957518600,"yun.seungdo",0,357.5,"SF Kevin Durant UTIL Omri Casspi PF Jordan Bell G José Calderón F Kyle Kuzma SG Brandon Ingram PG Lonzo Ball C Karl-Anthony Towns",NA,"Kevin Durant","SF","36.33%",65.25
5,957555796,"mlindner7",0,356.25,"G Klay Thompson SF Omri Casspi PF Jordan Bell UTIL José Calderón F Kevin Love PG Lonzo Ball SG Jimmy Butler C Karl-Anthony Towns",NA,"Jimmy Butler","SG","32.37%",51.25
6,957169964,"biondyjr02 (2/4)",0,353.75,"F Omri Casspi SF Harrison Barnes UTIL Jordan Bell G José Calderón PF Kevin Love PG Lonzo Ball SG Jimmy Butler C Karl-Anthony Towns",NA,"Klay Thompson","G","31.93%",31.75
7,957061804,"mfaybik",0,353.25,"SF Omri Casspi F Jordan Bell G José Calderón PF Kevin Love PG Lonzo Ball UTIL Zach Randolph SG Jimmy Butler C Karl-Anthony Towns",NA,"Jordan Clarkson","PG","31.89%",17.75
8,957106414,"MikeLowery24 (17/20)",0,353,"G Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell SG Kyle Korver PF LeBron James PG José Calderón C Karl-Anthony Towns",NA,"Wesley Matthews","G","30.83%",13.5
8,957191466,"TexasPike (6/15)",0,353,"G Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell SG Kyle Korver PF LeBron James PG José Calderón C Karl-Anthony Towns",NA,"Karl-Anthony Towns","UTIL","28.75%",69.5
10,957337302,"KSetness",0,352.75,"SG Devin Harris PF Kevin Durant UTIL Omri Casspi F Jordan Bell SF LeBron James G José Calderón PG Frank Mason III C Karl-Anthony Towns",NA,"Yogi Ferrell","PG","27.49%",18.75
11,956986309,"KungFoo19 (2/4)",0,350.75,"SF Kevin Durant F Omri Casspi SG Yogi Ferrell G José Calderón PF Kevin Love PG Lonzo Ball UTIL Kosta Koufos C Karl-Anthony Towns",NA,"J.J. Barea","PG","25.20%",25.5
12,957029835,"keyur13",0,349,"UTIL Dirk Nowitzki SF Kevin Durant F Jordan Bell G José Calderón PF Kevin Love SG Brandon Ingram PG Frank Mason III C Karl-Anthony Towns",NA,"Omri Casspi","F","23.97%",39.75
13,957477121,"jchewett (7/11)",0,348.75,"G Devin Harris SF Kevin Durant UTIL Omri Casspi F Jordan Bell PG José Calderón PF Zach Randolph SG Jimmy Butler C Karl-Anthony Towns",NA,"Kyle Kuzma","UTIL","22.19%",28.75
13,957487230,"jchewett (9/11)",0,348.75,"G Devin Harris PF Kevin Durant SF Omri Casspi F Jordan Bell PG José Calderón UTIL Zach Randolph SG Jimmy Butler C Karl-Anthony Towns",NA,"Andre Iguodala","F","20.01%",20.75
15,957167181,"levels2this",0,346,"PF David West F Kevin Durant G Klay Thompson SF Omri Casspi UTIL Jordan Bell PG José Calderón SG Jimmy Butler C Karl-Anthony Towns",NA,"Lonzo Ball","G","19.17%",43.5
15,957665505,"Starboyxxx (6/6)",0,346,"PF David West SF Kevin Durant G Klay Thompson UTIL Omri Casspi F Jordan Bell PG José Calderón SG Jimmy Butler C Karl-Anthony Towns",NA,"Harrison Barnes","PF","18.96%",29.25
17,957306516,"TheMadDoctorJ (3/16)",0,345.5,"SG Devin Harris F Omri Casspi SF LeBron James PG José Calderón PF Zach Randolph UTIL Kosta Koufos G Jimmy Butler C Karl-Anthony Towns",NA,"Taj Gibson","F","18.90%",22.5
18,957200185,"TexasPike (9/15)",0,345,"UTIL David West G Devin Harris SF Kevin Durant F Omri Casspi PF LeBron James PG José Calderón SG Frank Mason III C Karl-Anthony Towns",NA,"Brandon Ingram","G","18.26%",45
19,957273728,"DipsetTaliban2.0 (1/2)",0,344.5,"SG Andre Iguodala PF Kevin Durant UTIL Omri Casspi F Jordan Bell SF LeBron James PG José Calderón G Vince Carter C Karl-Anthony Towns",NA,"Jeff Teague","PG","17.98%",24.5
20,957032345,"MikeLowery24 (5/20)",0,344.25,"PG J.J. Barea F Omri Casspi PF Jordan Bell SF LeBron James UTIL José Calderón SG George Hill G Jimmy Butler C Karl-Anthony Towns",NA,"George Hill","SG","17.87%",24
20,957140283,"wanders64",0,344.25,"SG J.J. Barea F Omri Casspi PF Jordan Bell SF LeBron James G José Calderón PG George Hill UTIL Jimmy Butler C Karl-Anthony Towns",NA,"Zach Randolph","F","17.49%",28.75
20,957424456,"Bleedthedream180 (1/3)",0,344.25,"SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF Kevin Love SG Brandon Ingram G George Hill PG Frank Mason III C Karl-Anthony Towns",NA,"Willie Cauley-Stein","F","15.93%",17.25
20,957424468,"Bleedthedream180 (2/3)",0,344.25,"SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF Kevin Love SG Brandon Ingram G George Hill PG Frank Mason III C Karl-Anthony Towns",NA,"Julius Randle","C","15.37%",23.5
20,957424549,"Bleedthedream180 (3/3)",0,344.25,"SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF Kevin Love SG Brandon Ingram G George Hill PG Frank Mason III C Karl-Anthony Towns",NA,"Dirk Nowitzki","UTIL","12.14%",33.25
25,957182654,"nuttyp",0,343.75,"F Omri Casspi G Yogi Ferrell PF Jordan Bell SF LeBron James PG José Calderón C Kevin Love UTIL Brandon Ingram SG Jimmy Butler",NA,"Bogdan Bogdanovic","F","11.55%",21.5
26,956920782,"stovearm (2/4)",0,343,"SG Klay Thompson PF Omri Casspi SF LeBron James G J.R. Smith PG José Calderón F Kevin Love UTIL Kosta Koufos C Karl-Anthony Towns",NA,"Andrew Wiggins","PF","11.51%",24.25
26,957086198,"MikeLowery24 (14/20)",0,343,"SF Omri Casspi F Jordan Bell PF LeBron James UTIL J.R. Smith G José Calderón C Kevin Love PG Lonzo Ball SG Jimmy Butler",NA,"J.R. Smith","SG","11.10%",19.5
26,957094185,"MikeLowery24 (15/20)",0,343,"F Omri Casspi C Jordan Bell SF LeBron James SG J.R. Smith PG José Calderón PF Kevin Love G Lonzo Ball UTIL Jimmy Butler",NA,"Brook Lopez","C","10.97%",13.75
29,957167259,"jcc3322 (2/7)",0,342.5,"UTIL Omri Casspi C Jordan Bell F LeBron James G José Calderón PF Kyle Kuzma SF Brandon Ingram PG Lonzo Ball SG Jimmy Butler",NA,"Kentavious Caldwell-Pope","SG","10.63%",0
30,957344149,"SixTenIzzo (2/2)",0,342,"G Klay Thompson F Omri Casspi SF Harrison Barnes PF Jordan Bell PG José Calderón UTIL Kevin Love SG Jimmy Butler C Karl-Anthony Towns",NA,"Kyle Korver","F","10.26%",15.75
31,956971727,"klej (2/2)",0,341.5,"SF Omri Casspi PG José Calderón F Kevin Love UTIL Julius Randle G Brandon Ingram PF Taj Gibson SG Jimmy Butler C Karl-Anthony Towns",NA,"Frank Mason III","PG","9.74%",15.5
31,956998880,"Lightsout242",0,341.5,"SG Andre Iguodala SF Omri Casspi PF Jordan Bell F LeBron James G Brandon Ingram PG Lonzo Ball UTIL George Hill C Karl-Anthony Towns",NA,"José Calderón","UTIL","9.61%",35.25
31,957308337,"CsHillman23 (10/12)",0,341.5,"G J.J. Barea UTIL Omri Casspi F Jordan Bell SF LeBron James PG José Calderón PF Kevin Love SG Jordan Clarkson C Karl-Anthony Towns",NA,"David West","C","9.19%",22.75
34,957193818,"elmeromeropistolero (2/4)",0,340.25,"SG Devin Harris PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James G José Calderón C Kevin Love PG Jordan Clarkson",NA,"Buddy Hield","G","8.18%",14.25
34,957412868,"gochiefs75 (1/3)",0,340.25,"SG Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF LeBron James PG José Calderón C Kevin Love G Jordan Clarkson",NA,"Larry Nance Jr.","SF","7.45%",29.5
36,957306525,"TheMadDoctorJ (12/16)",0,339.75,"SG Devin Harris UTIL Andre Iguodala PF Kevin Durant F Omri Casspi C Jordan Bell SF LeBron James PG José Calderón G Jimmy Butler",NA,"Maxi Kleber","UTIL","6.83%",10.75
36,957372629,"Drichie6",0,339.75,"PG Shaun Livingston SG Klay Thompson UTIL Omri Casspi F Jordan Bell SF LeBron James G José Calderón PF Kevin Love C Karl-Anthony Towns",NA,"Jeff Green","SF","6.53%",16.25
38,957060707,"mgabes (16/20)",0,339.5,"PG J.J. Barea SF Omri Casspi UTIL Jordan Bell F LeBron James G Josh Hart SG Brandon Ingram PF Zach Randolph C Karl-Anthony Towns",NA,"Dwight Powell","F","5.96%",15.5
38,957199955,"adamminten (3/4)",0,339.5,"SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF LeBron James G José Calderón C Kevin Love PG George Hill SG Bogdan Bogdanovic",NA,"De'Aaron Fox","UTIL","5.77%",4
40,956995779,"hankfarley",0,339,"F Kevin Durant SF Omri Casspi SG Yogi Ferrell PF Jordan Bell PG José Calderón C Kevin Love G Lonzo Ball UTIL Jimmy Butler",NA,"Dwyane Wade","UTIL","5.48%",21
40,957280890,"biondyjr02 (4/4)",0,339,"SF Omri Casspi F Dwight Powell UTIL Jordan Bell PF LeBron James PG José Calderón C Kevin Love G Lonzo Ball SG Jimmy Butler",NA,"Jae Crowder","F","4.58%",14
42,957148155,"gabeg310",0,338.75,"G Andre Iguodala PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James PG José Calderón C Kevin Love SG George Hill",NA,"Devin Harris","UTIL","3.95%",28.5
42,957494653,"weinhur",0,338.75,"SF Kevin Durant F Omri Casspi G J.R. Smith PG José Calderón PF Larry Nance Jr. UTIL Kyle Kuzma SG Jimmy Butler C Karl-Anthony Towns",NA,"Shaun Livingston","G","3.68%",9.75
42,957564460,"ClifDog17 (1/3)",0,338.75,"G Andre Iguodala PF Kevin Durant F Omri Casspi C Jordan Bell SF LeBron James PG José Calderón UTIL Kevin Love SG George Hill",NA,"Gorgui Dieng","C","2.11%",27
45,957005389,"james2417 (1/2)",0,338.5,"F Kevin Durant PF Omri Casspi C Jordan Bell SF LeBron James PG José Calderón G George Hill UTIL Kosta Koufos SG Jimmy Butler",NA,"Kosta Koufos","UTIL","1.94%",24
46,957110369,"DegenerateDummy (1/3)",0,338.25,"G Devin Harris SF Omri Casspi F LeBron James PF Kevin Love SG Brandon Ingram PG George Hill C Karl-Anthony Towns UTIL Tyus Jones",NA,"Jamal Crawford","UTIL","1.73%",8.5
47,956895545,"MikeLowery24 (1/20)",0,338,"PF Kevin Durant SF Omri Casspi UTIL Jordan Bell PG José Calderón G Jordan Clarkson F Kyle Kuzma SG Jimmy Butler C Karl-Anthony Towns",NA,"JaVale McGee","UTIL","1.64%",2
47,957071625,"wesmcdonie (5/5)",0,338,"SF Kevin Durant F Omri Casspi PF Jordan Bell G José Calderón PG Jordan Clarkson UTIL Kyle Kuzma SG Jimmy Butler C Karl-Anthony Towns",NA,"Patrick McCaw","PG","1.57%",7.5
49,957007507,"Mackey2015 (2/6)",0,337.5,"F Jordan Bell UTIL José Calderón PF Kevin Love SF Kyle Kuzma PG Lonzo Ball G George Hill SG Jimmy Butler C Karl-Anthony Towns",NA,"Tristan Thompson","C","1.20%",0
49,957087782,"woodybeamen1022",0,337.5,"UTIL Dirk Nowitzki PG Shaun Livingston F Omri Casspi PF LeBron James G José Calderón C Kevin Love SF Brandon Ingram SG Jimmy Butler",NA,"Garrett Temple","G","1.08%",11.75
49,957705515,"cawthon1540 (1/2)",0,337.5,"PF Kevin Durant F Omri Casspi C Jordan Bell SF LeBron James G J.R. Smith PG José Calderón UTIL Kevin Love SG George Hill",NA,"Channing Frye","UTIL","0.95%",3.25
52,957288227,"pocketmoney (18/20)",0,337.25,"F Omri Casspi UTIL Jordan Bell PF Kevin Love PG Jordan Clarkson SF Kyle Kuzma SG Brandon Ingram G Jimmy Butler C Karl-Anthony Towns",NA,"Josh Hart","PG","0.94%",32
53,957653148,"znhpj (3/6)",0,337,"UTIL Dirk Nowitzki F Jordan Bell PF Kevin Love SF Kyle Kuzma SG Brandon Ingram PG George Hill G Jimmy Butler C Karl-Anthony Towns",NA,"Skal Labissiere","F","0.90%",10.75
53,957678193,"znhpj (6/6)",0,337,"UTIL Dirk Nowitzki F Jordan Bell PF Kevin Love SF Kyle Kuzma SG Brandon Ingram PG George Hill G Jimmy Butler C Karl-Anthony Towns",NA,"Justin Jackson","G","0.38%",7
55,956905854,"Tenaciousakat1",0,336.75,"F Omri Casspi G Yogi Ferrell UTIL Jordan Bell PF Kevin Love SF Kyle Kuzma PG Lonzo Ball SG Jimmy Butler C Karl-Anthony Towns",NA,"Tyus Jones","G","0.29%",8.25
56,957027210,"Little24 (2/2)",0,336.5,"F Dirk Nowitzki G Devin Harris SF Kevin Durant C Jordan Bell PF LeBron James PG José Calderón UTIL Kosta Koufos SG Jimmy Butler",NA,"Quinn Cook","PG","0.26%",6
56,957487356,"jchewett (10/11)",0,336.5,"SF Kevin Durant F Jordan Bell PG José Calderón G Josh Hart PF Zach Randolph UTIL George Hill SG Jimmy Butler C Karl-Anthony Towns",NA,"Salah Mejri","UTIL","0.26%",0
56,957569615,"A504Refugee",0,336.5,"G Devin Harris F Kevin Durant UTIL Omri Casspi SG Kyle Korver PF LeBron James PG José Calderón SF Jae Crowder C Karl-Anthony Towns",NA,"Jakarr Sampson","UTIL","0.23%",0
59,957430236,"zanelane (2/20)",0,336.25,"F Dirk Nowitzki PG J.J. Barea G Klay Thompson SF Omri Casspi PF Jordan Bell UTIL Kevin Love SG Jimmy Butler C Karl-Anthony Towns",NA,"Corey Brewer","F","0.22%",7.5
60,956931933,"superp1ckle",0,336,"G Andre Iguodala F Omri Casspi SG Yogi Ferrell SF LeBron James PG José Calderón PF Kevin Love UTIL Kyle Kuzma C Karl-Anthony Towns",NA,"Vince Carter","SG","0.21%",15
60,957034154,"jchewett (3/11)",0,336,"UTIL David West G Devin Harris PF Kevin Durant F Jordan Bell SG Kyle Korver SF LeBron James PG José Calderón C Karl-Anthony Towns",NA,"Draymond Green","C","0.12%",0
60,957135023,"The6ps",0,336,"SG Andre Iguodala F Omri Casspi G Yogi Ferrell SF LeBron James PG José Calderón PF Kevin Love UTIL Kyle Kuzma C Karl-Anthony Towns",NA,"Kevon Looney","UTIL","0.11%",2.25
63,957621279,"stacyjames87 (3/3)",0,335.75,"SF Omri Casspi F Jordan Bell C Kevin Love PG Lonzo Ball SG George Hill PF Taj Gibson G Jimmy Butler UTIL Karl-Anthony Towns",NA,"Cedi Osman","G","0.09%",6
64,957372325,"AGMoney23 (9/20)",0,335.5,"UTIL Omri Casspi SF Harrison Barnes PF Jordan Bell F Kevin Love SG Brandon Ingram G Jimmy Butler PG Frank Mason III C Karl-Anthony Towns",NA,"Georgios Papagiannis","UTIL","0.05%",0
64,957466664,"MannyFr3sh718",0,335.5,"UTIL Kevin Durant F Omri Casspi PF Jordan Bell SF J.R. Smith G José Calderón PG Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"Antonius Cleveland","G","0.05%",3.25
66,957137287,"Anth719 (1/2)",0,335.25,"UTIL Andre Iguodala SF Kevin Durant SG Klay Thompson F Omri Casspi G José Calderón PF Larry Nance Jr. PG Lonzo Ball C Karl-Anthony Towns",NA,"Stephen Curry","PG","0.04%",0
66,957481416,"Jadarose (3/3)",0,335.25,"G J.J. Barea UTIL Jordan Bell PG José Calderón PF Kevin Love F Julius Randle SF Brandon Ingram SG Jimmy Butler C Karl-Anthony Towns",NA,"Malachi Richardson","SG","0.04%",2.75
66,957629814,"jalync20 (4/4)",0,335.25,"F David West SG Devin Harris SF Kevin Durant PF LeBron James PG José Calderón UTIL Kosta Koufos G Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Dennis Smith Jr.","UTIL","0.03%",0
69,957394001,"MisterJ5 (12/20)",0,335,"F Omri Casspi UTIL Jordan Bell PF Kevin Love PG Lonzo Ball SG Jimmy Butler SF Andrew Wiggins G Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Aaron Brooks","PG","0.03%",7.75
69,957660399,"znhpj (5/6)",0,335,"F Omri Casspi UTIL Jordan Bell PF Kevin Love PG Lonzo Ball G Jimmy Butler SF Andrew Wiggins SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Tyler Ennis","G","0.03%",0
71,956913959,"Jonkatz12345",0,334.75,"UTIL Devin Harris SF Kevin Durant G José Calderón PF Kevin Love F Jae Crowder PG Lonzo Ball SG George Hill C Karl-Anthony Towns",NA,"Luol Deng","F","0.03%",0
71,957200601,"adamminten (4/4)",0,334.75,"UTIL David West SF Kevin Durant F Omri Casspi C Jordan Bell PF LeBron James PG José Calderón SG Jimmy Butler G Bogdan Bogdanovic",NA,"Isaiah Thomas","G","0.02%",0
71,957288212,"pocketmoney (3/20)",0,334.75,"G Devin Harris SG J.J. Barea F Omri Casspi UTIL Jordan Bell SF LeBron James PF Kevin Love PG Jordan Clarkson C Karl-Anthony Towns",NA,"Andrew Bogut","C","0.02%",0
