"Place_lo","Place_hi","Payout"
"1","1","750"
"2","2","300"
"3","3","200"
"4","4","150"
"5","5","100"
"6","7","75"
"8","10","60"
"11","15","50"
"16","23","40"
"24","35","30"
"36","50","20"
"51","75","10"
"76","135","7.5"
"136","285","5"
"286","533","2.5"
"534","1068","2"
"1069","2268","1.5"
