"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Kevin Durant","SF/PFSFPF","GSW","vs MEM","13th",106.75,11600,31.5,70.8,49.5,1.45,31.2,19,34.2,36,48.35,48.35,"%",77,4.2,33,38,3.3
"Russell Westbrook","PG","OKC","vs UTA","8th",102.75,11400,35.6,77.2,54.7,1.52,34.2,20.8,36,36,53.46,53.46,"%",78,4.7,27,56,4.9
"James Harden","PG/SGPGSG","HOU","vs LAL","14th",120.5,11000,38.4,79,56.7,1.61,36.4,20.9,35.3,35,55.79,55.79,"%",80,5.1,43,71.25,6.5
"Chris Paul","PG/SGPGSG","HOU","vs LAL","28th",120.5,9800,39.6,76.3,44.4,1.43,22.8,12.5,31,35,55.34,55.34,"%",76,5.6,25,20.75,2.1
"Nikola Vucevic","C","ORL","@ CHI","19th",102.75,9400,26.9,75.5,40.2,1.33,25.1,14.9,30.2,33,47.72,47.72,"%",65,5.1,31,38.5,4.1
"Victor Oladipo","PG/SGPGSG","IND","@ ATL","24th",109.25,9200,33.6,75,43.2,1.27,31.2,18.6,34.1,38,51.34,51.34,"%",73,5.6,31,34.75,3.8
"Andre Drummond","C","DET","@ DAL","12th",98,9100,24.8,64,43.3,1.33,20.9,10.1,32.5,33,41.58,41.58,"%",74,4.6,21,31.25,3.4
"Karl-Anthony Towns","C","MIN","@ DEN","19th",107.5,9000,32.9,74.5,43.4,1.23,23.9,14.5,35.3,39,50.7,50.7,"%",73,5.6,37,48.5,5.4
"Jimmy Butler","SG","MIN","@ DEN","10th",107.5,8800,23.8,61.2,38.5,1.05,23.4,15.6,36.8,37,39.85,39.85,"%",72,4.5,34,36.5,4.1
"Damian Lillard","PG","POR","vs SAS","6th",100.25,8500,25.6,58.7,44.6,1.22,30.8,19.4,36.5,37,39.78,39.78,"%",79,4.7,34,30.5,3.6
"DeMar DeRozan","SG/SFSGSF","TOR","@ CHA","20th",107.25,8300,27.5,61.6,38.9,1.15,30.5,17.5,33.8,35,42.14,42.14,"%",75,5.1,29,41.5,5
"Kyle Lowry","PG","TOR","@ CHA","14th",107.25,8200,24.5,67.3,38.1,1.17,21.7,12,32.5,35,42.84,42.84,"%",68,5.2,24,26.75,3.3
"Nikola Jokic","C","DEN","vs MIN","30th",108.5,8100,21.3,70.5,39.2,1.39,22.5,11.4,28.3,28,42.36,42.36,"%",64,5.2,36,35.5,4.4
"Kyrie Irving","PG","BOS","vs MIA","10th",104.5,8000,21.4,59.6,38.7,1.23,32.7,18.1,31.5,33,37.79,37.79,"%",72,4.7,37,49.5,6.2
