"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LaMarcus Aldridge","PF/CPFC","SAS","@ POR","2nd",98.25,7800,13.8,46.4,39.1,1.19,29.2,17.5,32.9,30,27.78,27.78,"%",76,3.6,35,37,4.7
"Marc Gasol","C","MEM","@ GSW","6th",97.75,7700,17.9,53.6,39.7,1.15,28.5,15.5,34.4,34,33.18,33.18,"%",74,4.3,35,43.25,5.6
"Louis Williams","PG/SGPGSG","LAC","vs PHX","25th",110.25,7600,20.9,63.6,32.6,1.07,28.6,14.8,30.4,35,39.24,39.24,"%",63,5.2,28,21.75,2.9
"Dwight Howard","C","CHA","vs TOR","10th",105.25,7600,21.1,63.6,36.4,1.23,26.1,11,29.7,32,39.3,39.3,"%",67,5.2,26,26.75,3.5
"DeAndre Jordan","C","LAC","vs PHX","23rd",110.25,7500,25.9,63.7,34.7,1.08,14.3,7.3,32.1,34,42.09,42.09,"%",69,5.6,30,39.5,5.3
"Paul George","SF","OKC","vs UTA","6th",102.75,7400,15.6,59.5,38.1,1.04,25.6,17,36.7,36,34.38,34.38,"%",67,4.6,30,35,4.7
"Al Horford","PF/CPFC","BOS","vs MIA","18th",104.5,7300,22,50,35.8,1.1,18.9,10.7,32.4,33,33.99,33.99,"%",78,4.7,26,18.5,2.5
"Dennis Schroder","PG","ATL","vs IND","13th",104.25,7300,25.2,52,35.1,1.11,30,17.4,31.5,34,36.65,36.65,"%",78,5,31,27.25,3.7
"Klay Thompson","SG","GSW","vs MEM","12th",106.75,7200,24.7,48.2,33.4,1,24.5,16.5,33.5,36,34.74,34.74,"%",80,4.8,37,43,6
"Kris Dunn","PG/SGPGSG","CHI","vs ORL","29th",107.75,7200,26.1,63.1,30.6,1.09,25.9,12.6,28,34,41.96,41.96,"%",66,5.8,24,40,5.6
"Kemba Walker","PG","CHA","vs TOR","7th",105.25,7100,18.9,54.3,37.6,1.08,26.8,17.1,34.7,34,34.07,34.07,"%",73,4.8,27,28.5,4
"Tyreke Evans","PG/SGPGSG","MEM","@ GSW","17th",97.75,7000,19,59,33.5,1.13,27.8,14.4,29.7,33,36.14,36.14,"%",66,5.2,32,30,4.3
"Jonathon Simmons","SG/SFSGSF","ORL","@ CHI","28th",102.75,6900,16.9,51,24.6,0.88,25.2,12.1,28.1,35,31.5,31.5,"%",60,4.6,33,16.5,2.4
"Harrison Barnes","SF/PFSFPF","DAL","vs DET","26th",99,6700,22.1,47.1,32,0.93,25,15.4,34.5,36,32.83,32.83,"%",78,4.9,31,39.25,5.9
"Lonzo Ball","PG","LAL","@ HOU","2nd",105.5,6700,12.2,59.6,33.3,1.01,17.4,10.8,33,37,32.52,32.52,"%",59,4.9,38,37.75,5.6
"Spencer Dinwiddie","PG/SGPGSG","BKN","vs SAC","15th",105.5,6700,19.2,58.9,29.2,1.11,20.8,10.5,26.2,31,36.21,36.21,"%",61,5.4,31,28.25,4.2
"Myles Turner","C","IND","@ ATL","20th",109.25,6600,16.1,50.2,30.7,1.04,20.9,11.1,29.6,30,30.72,30.72,"%",68,4.7,29,38,5.8
"Kent Bazemore","SG/SFSGSF","ATL","vs IND","5th",104.25,6500,14,49.4,28.7,1.01,22.6,10.5,28.3,31,29.14,29.14,"%",65,4.5,26,26.25,4
"Brandon Ingram","SG/SFSGSF","LAL","@ HOU","21st",105.5,6500,26,61.7,30.7,0.9,22.3,13.3,34.1,38,41.31,41.31,"%",67,6.4,40,33,5.1
"Nikola Mirotic","PF/CPFC","CHI","vs ORL","22nd",107.75,6400,17,59.4,34.1,1.32,27.6,13.5,25.8,26,35.15,35.15,"%",65,5.5,21,33,5.2
"C.J. McCollum","PG/SGPGSG","POR","vs SAS","2nd",100.25,6400,19,43.9,33.4,0.92,25.6,17.5,36.2,37,29.67,29.67,"%",79,4.6,38,30.25,4.7
"Taurean Prince","SG/SFSGSF","ATL","vs IND","5th",104.25,6400,11.6,44.6,26.9,0.88,20.3,11.1,30.7,32,25.76,25.76,"%",65,4,27,21.5,3.4
"Jusuf Nurkic","C","POR","vs SAS","13th",100.25,6400,13.7,54.6,30.5,1.12,28.9,13.3,27.3,29,31.23,31.23,"%",62,4.9,25,23.5,3.7
"Tobias Harris","SF/PFSFPF","DET","@ DAL","11th",98,6300,14.5,46.9,29.6,0.92,22.6,14.6,32.2,33,28.35,28.35,"%",69,4.5,28,19.5,3.1
"Gary Harris","SG","DEN","vs MIN","5th",108.5,6300,17.9,46.2,29.4,0.87,19.8,13,33.7,34,30.02,30.02,"%",72,4.8,NA,NA,NA
"Steven Adams","C","OKC","vs UTA","2nd",102.75,6300,10.6,42.1,30,0.93,16.5,9.2,32.1,32,24.13,24.13,"%",70,3.8,25,26.25,4.2
"Thaddeus Young","SF/PFSFPF","IND","@ ATL","20th",109.25,6200,19.9,47.1,28.2,0.85,17.7,11.5,33.2,34,31.55,31.55,"%",72,5.1,29,20,3.2
"Dion Waiters","SG/SFSGSF","MIA","@ BOS","6th",95.5,6200,12.2,45.4,25.5,0.83,25.8,14.2,30.6,36,26.39,26.39,"%",63,4.3,36,23.75,3.8
"T.J. Warren","SF/PFSFPF","PHX","@ LAC","3rd",105.25,6200,8.2,50,30.1,0.97,26.3,15.8,31,32,26.11,26.11,"%",60,4.2,33,45.5,7.3
"Will Barton","SG/SFSGSF","DEN","vs MIN","12th",108.5,6200,8.5,48.9,30.8,1,21.8,12.4,30.8,27,25.79,25.79,"%",63,4.2,33,24.25,3.9
"Zach Randolph","PF/CPFC","SAC","@ BKN","16th",100.5,6200,15.3,57.5,29.4,1.15,27.4,12.9,25.5,27,33.37,33.37,"%",59,5.4,26,36.5,5.9
"Jeff Teague","PG","MIN","@ DEN","26th",107.5,6100,16,51.9,31.1,0.92,19.8,11.1,33.7,35,31.4,31.4,"%",67,5.1,32,36.5,6
"Rondae Hollis-Jefferson","SF/PFSFPF","BKN","vs SAC","8th",105.5,6100,15.6,52.2,27.7,1.01,22.1,10.4,27.3,32,31.3,31.3,"%",62,5.1,36,31.5,5.2
"Andrew Wiggins","SF/PFSFPF","MIN","@ DEN","7th",107.5,6000,10.7,39.7,28.9,0.8,23.9,15.7,36.2,36,23.11,23.11,"%",71,3.9,34,22.25,3.7
"Serge Ibaka","PF/CPFC","TOR","@ CHA","17th",107.25,5900,16.4,42.8,25.9,0.95,20.3,10.6,27.2,29,27.72,27.72,"%",71,4.7,27,37.75,6.4
"Taj Gibson","PF/CPFC","MIN","@ DEN","19th",107.5,5900,16.2,48.7,26.8,0.81,14.5,8.4,33,35,30.14,30.14,"%",65,5.1,30,22.25,3.8
"Josh Richardson","SG/SFSGSF","MIA","@ BOS","6th",95.5,5900,11.2,47.5,22.1,0.68,17.5,9.8,32.3,39,26.72,26.72,"%",53,4.5,37,35.5,6
"Carmelo Anthony","SF/PFSFPF","OKC","vs UTA","6th",102.75,5800,15.5,43.2,30.8,0.94,24.9,15.9,32.7,34,27.37,27.37,"%",74,4.7,25,30.25,5.2
"Kyle Kuzma","SF/PFSFPF","LAL","@ HOU","21st",105.5,5800,22.3,53.8,28.8,0.96,22.1,13,30.1,32,35.78,35.78,"%",69,6.2,39,58.25,10
"Jamal Murray","PG/SGPGSG","DEN","vs MIN","5th",108.5,5700,6.8,49,24.4,0.9,24.1,12.2,27.1,28,24.84,24.84,"%",51,4.4,37,45,7.9
"Austin Rivers","PG/SGPGSG","LAC","vs PHX","25th",110.25,5700,17.9,49.5,25.6,0.79,22.1,13.2,32.5,36,31.43,31.43,"%",65,5.5,29,35.5,6.2
"Nicolas Batum","SG/SFSGSF","CHA","vs TOR","13th",105.25,5700,14.6,47.2,25.5,0.84,17.7,9.9,30.4,34,28.56,28.56,"%",63,5,25,9.5,1.7
"Reggie Jackson","PG","DET","@ DAL","20th",98,5600,14.3,42.5,27.4,1.02,26.8,12.5,26.9,27,26.35,26.35,"%",71,4.7,20,16.75,3
"Elfrid Payton","PG","ORL","@ CHI","25th",102.75,5600,15.3,50.5,27.1,0.97,20.3,9.3,27.8,30,30.42,30.42,"%",63,5.4,30,35.5,6.3
"Rodney Hood","SG/SFSGSF","UTA","@ OKC","11th",94.75,5600,20.6,52.1,26.5,0.95,27.8,14.5,27.8,33,34.09,34.09,"%",66,6.1,27,18.5,3.3
"Darren Collison","PG","IND","@ ATL","24th",109.25,5600,15.8,53,28.2,0.93,17.4,9.4,30.2,31,31.71,31.71,"%",62,5.7,22,13.75,2.5
"Caris LeVert","SG/SFSGSF","BKN","vs SAC","8th",105.5,5600,14.3,44.6,24.3,0.93,21.6,9.7,26,28,27.27,27.27,"%",64,4.9,26,26.5,4.7
"Jayson Tatum","SF/PFSFPF","BOS","vs MIA","23rd",104.5,5600,16.8,44.4,26.8,0.89,18,9.1,30,31,28.61,28.61,"%",71,5.1,28,24.25,4.3
"Juan Jose Barea","PG/SGPGSG","DAL","vs DET","11th",99,5600,16.5,40.3,25.3,1.13,27,10.2,22.3,23,26.66,26.66,"%",73,4.8,18,27.25,4.9
"Alex Len","PF/CPFC","PHX","@ LAC","27th",105.25,5600,22.2,59.6,25.4,1.16,17.4,6.1,21.9,27,38.21,38.21,"%",58,6.8,17,24.25,4.3
"Jordan Clarkson","PG/SGPGSG","LAL","@ HOU","22nd",105.5,5600,10.9,44.9,23.4,1.06,28.3,11.9,22,25,25.48,25.48,"%",58,4.6,18,9.75,1.7
"Domantas Sabonis","PF/CPFC","IND","@ ATL","20th",109.25,5500,12.6,42.9,26.3,1.11,23.1,8.6,23.8,23,25.58,25.58,"%",67,4.7,21,15.5,2.8
"Willie Cauley-Stein","PF/CPFC","SAC","@ BKN","28th",100.5,5400,14.6,50.1,23.8,0.97,21.1,8.7,24.6,28,29.82,29.82,"%",57,5.5,30,26.25,4.9
"Julius Randle","PF/CPFC","LAL","@ HOU","3rd",105.5,5400,18.2,43.3,25,1.12,24.1,8.8,22.4,32,28.96,28.96,"%",71,5.4,8,6.25,1.2
"Kelly Olynyk","PF/CPFC","MIA","@ BOS","8th",95.5,5400,14.8,44.7,21.1,0.99,20.4,6.6,21.3,31,27.62,27.62,"%",60,5.1,37,48.75,9
"Jonas Valanciunas","C","TOR","@ CHA","11th",107.25,5400,7.9,46.8,23.7,1.14,21.7,7.7,20.8,23,24.59,24.59,"%",53,4.6,15,18.75,3.5
"Rudy Gay","SF/PFSFPF","SAS","@ POR","15th",98.25,5400,13.2,41.5,24.3,1.05,24.9,9.5,23.1,27,25.33,25.33,"%",67,4.7,15,10.75,2
"Jaylen Brown","SG/SFSGSF","BOS","vs MIA","23rd",104.5,5400,16.2,42.5,26.6,0.87,21.4,11.3,30.7,32,27.49,27.49,"%",72,5.1,31,29,5.4
"Derrick Favors","PF/CPFC","UTA","@ OKC","11th",94.75,5300,16.4,55.1,25.7,0.96,19.7,9.1,26.8,30,32.97,32.97,"%",57,6.2,22,11.5,2.2
"Pau Gasol","PF/CPFC","SAS","@ POR","7th",98.25,5300,3,39,27,1.13,20,8.1,24,18,18.43,18.43,"%",62,3.5,33,52.75,10
"John Collins","PF/CPFC","ATL","vs IND","27th",104.25,5300,14.3,45.6,24.3,1.09,21.4,8,22.2,24,27.72,27.72,"%",63,5.2,26,29.25,5.5
"Yogi Ferrell","PG/SGPGSG","DAL","vs DET","11th",99,5200,3.6,33.1,19.4,0.68,17,8.3,28.5,24,16.22,16.22,"%",57,3.1,31,25.25,4.9
"Milos Teodosic","PG/SGPGSG","LAC","vs PHX","27th",110.25,5200,19.5,43.8,20.7,0.95,22.2,9,21.7,28,29.93,29.93,"%",66,5.8,27,24.25,4.7
"Kyle Anderson","PG/SFPGSF","SAS","@ POR","15th",98.25,5200,1.4,28.2,24.5,0.91,15.1,6.8,27,15,12.89,12.89,"%",69,2.5,24,23,4.4
"Justin Holiday","SG/SFSGSF","CHI","vs ORL","19th",107.75,5200,12.6,40.8,27.2,0.81,20,12.8,33.4,30,24.66,24.66,"%",70,4.7,28,22.5,4.3
"Marcus Smart","SG/SFSGSF","BOS","vs MIA","10th",104.5,5100,10.4,38.1,24.4,0.82,19.9,9.2,29.9,31,22.26,22.26,"%",68,4.4,36,29,5.7
"Ricky Rubio","PG","UTA","@ OKC","1st",94.75,5100,13.6,47.7,26.6,0.93,23.2,10.1,28.6,35,28.25,28.25,"%",63,5.5,25,8.5,1.7
"Lauri Markkanen","PF","CHI","vs ORL","22nd",107.75,5100,15.5,43.2,29.8,1,22.5,12.9,29.9,27,27.35,27.35,"%",73,5.4,19,17.25,3.4
"Ersan Ilyasova","SF/PFSFPF","ATL","vs IND","27th",104.25,5100,16.7,51,20.3,0.89,17.7,8.2,22.9,30,31.38,31.38,"%",52,6.2,26,17.75,3.5
"Dennis Smith Jr.","PG/SGPGSG","DAL","vs DET","11th",99,5000,12.5,43,27,0.98,30,14.5,27.5,26,25.56,25.56,"%",68,5.1,21,28.75,5.8
"Danny Green","SG/SFSGSF","SAS","@ POR","9th",98.25,5000,4.4,39.4,21.4,0.78,17.1,8.6,27.3,25,19.4,19.4,"%",53,3.9,24,16.5,3.3
"Joe Ingles","SG/SFSGSF","UTA","@ OKC","10th",94.75,5000,16.2,40,25,0.83,16,8.5,30,33,26.37,26.37,"%",73,5.3,22,12,2.4
"Bobby Portis","PF","CHI","vs ORL","22nd",107.75,4900,10.3,42.5,25.6,1.2,25.4,10.3,21.4,20,24.1,24.1,"%",64,4.9,14,23.75,4.8
"Tyler Johnson","PG/SGPGSG","MIA","@ BOS","6th",95.5,4900,16.6,44.2,20.9,0.77,19.1,9.2,27.3,38,28.42,28.42,"%",62,5.8,36,35.25,7.2
"Larry Nance Jr.","SF/PFSFPF","LAL","@ HOU","21st",105.5,4900,12.6,44.1,23.3,1.02,15.5,6.5,22.8,25,26.1,26.1,"%",61,5.3,22,32.25,6.6
"Eric Gordon","SG","HOU","vs LAL","14th",120.5,4900,11.4,42.2,27.2,0.88,26.1,14.3,30.8,32,24.61,24.61,"%",68,5,35,32,6.5
"DeMarre Carroll","SF/PFSFPF","BKN","vs SAC","2nd",105.5,4900,13.3,40.7,27,0.94,19.7,10.3,28.7,31,25.05,25.05,"%",71,5.1,24,29.75,6.1
"George Hill","PG/SGPGSG","SAC","@ BKN","30th",100.5,4800,17,46.6,19.8,0.77,16.9,7.7,25.7,30,29.7,29.7,"%",57,6.2,34,37.25,7.8
"Trevor Ariza","SG/SFSGSF","HOU","vs LAL","19th",120.5,4800,18.5,39.3,24.5,0.71,13.5,9.2,34.5,38,27.44,27.44,"%",76,5.7,44,48.75,10.2
"Trey Lyles","SF/PFSFPF","DEN","vs MIN","7th",108.5,4800,6.6,47.2,15.8,1.03,20.5,5.5,15.4,25,23.98,23.98,"%",27,5,24,18.25,3.8
"Jeremy Lamb","SG/SFSGSF","CHA","vs TOR","13th",105.25,4700,9.4,42.1,26.5,1,24.1,11.7,26.6,23,23.41,23.41,"%",65,5,28,41.25,8.8
"Jordan Bell","PF/CPFC","GSW","vs MEM","9th",106.75,4700,13.1,44.3,13.5,1.14,13.7,3,11.8,24,26.5,26.5,"%",34,5.6,26,18,3.8
"Mario Hezonja","SG","ORL","@ CHI","28th",102.75,4700,10.4,52.1,10.4,0.82,16.8,4,12.7,30,28.26,28.26,"%",0,6,24,15,3.2
"Omri Casspi","SF/PFSFPF","GSW","vs MEM","13th",106.75,4700,7.9,43.1,15.8,1.03,15.5,4.3,15.3,25,23,23,"%",36,4.9,25,22,4.7
"Buddy Hield","SG/SFSGSF","SAC","@ BKN","27th",100.5,4700,11.3,49.2,22.4,0.99,25.6,10.8,22.6,27,27.54,27.54,"%",52,5.9,16,6,1.3
"Wesley Matthews","SG/SFSGSF","DAL","vs DET","4th",99,4700,8,41.9,23.2,0.68,17.4,10.9,34.1,33,22.54,22.54,"%",58,4.8,27,14.5,3.1
"Robin Lopez","C","CHI","vs ORL","21st",107.75,4700,12,36.5,24.6,0.83,20.6,11.3,29.6,27,22.49,22.49,"%",72,4.8,26,24.25,5.2
"Michael Kidd-Gilchrist","SF","CHA","vs TOR","4th",105.25,4600,4.8,39.1,20.8,0.78,16.3,8.7,26.7,28,19.52,19.52,"%",53,4.2,21,22.5,4.9
"Bam Adebayo","PF/CPFC","MIA","@ BOS","8th",95.5,4600,12,46.5,15.4,0.87,14.1,3.9,17.7,31,26.78,26.78,"%",36,5.8,20,11.75,2.6
"Wilson Chandler","SF/PFSFPF","DEN","vs MIN","12th",108.5,4600,8.1,36.9,20.7,0.7,15.1,8.3,29.6,29,20.42,20.42,"%",60,4.4,37,28.5,6.2
"Al-Farouq Aminu","SF/PFSFPF","POR","vs SAS","24th",100.25,4600,11.6,44.8,23.8,0.81,14.1,7.9,29.3,32,25.82,25.82,"%",60,5.6,35,29.5,6.4
"Isaiah Canaan","PG/SGPGSG","PHX","@ LAC","5th",105.25,4500,1.1,55.4,22.8,1.25,20,5.3,18.3,21,24.34,24.34,"%",32,5.4,22,18.5,4.1
"JaMychal Green","SF/PFSFPF","MEM","@ GSW","12th",97.75,4500,10.3,38.9,20.7,0.74,18.6,8.1,27.8,31,22.54,22.54,"%",61,5,24,14.5,3.2
"Dirk Nowitzki","PF/CPFC","DAL","vs DET","14th",99,4500,14.1,39.6,23,0.94,20.4,9.5,24.5,25,25.03,25.03,"%",68,5.6,25,21.5,4.8
"Bogdan Bogdanovic","SG/SFSGSF","SAC","@ BKN","27th",100.5,4500,16.6,37.7,18.8,0.78,20.1,8.3,24,29,25.61,25.61,"%",68,5.7,33,20.25,4.5
"Allen Crabbe","SG/SFSGSF","BKN","vs SAC","8th",105.5,4400,9.5,39.3,21.6,0.79,18.5,10.2,27.5,31,22.26,22.26,"%",60,5.1,32,21.25,4.8
"Bojan Bogdanovic","SG/SFSGSF","IND","@ ATL","24th",109.25,4400,7.9,38.4,21.8,0.71,18.2,10.6,30.9,31,20.93,20.93,"%",60,4.8,33,23.75,5.4
"Terry Rozier","PG/SGPGSG","BOS","vs MIA","10th",104.5,4300,5.4,36.9,19.8,0.88,19.4,8.4,22.6,23,18.93,18.93,"%",55,4.4,17,9.25,2.2
"Tyson Chandler","C","PHX","@ LAC","27th",105.25,4300,8.1,36.8,22.4,0.89,11,4.3,25.1,20,20.4,20.4,"%",63,4.7,22,10,2.3
"Marvin Williams","SF/PFSFPF","CHA","vs TOR","5th",105.25,4300,6.1,33.7,19.3,0.74,14,7,26,27,17.93,17.93,"%",59,4.2,20,14,3.3
"Lance Stephenson","SG/SFSGSF","IND","@ ATL","24th",109.25,4300,10.2,38.1,19.8,0.91,19.5,7.4,21.7,24,22.13,22.13,"%",60,5.1,26,30,7
"Andre Iguodala","SG/SFSGSF","GSW","vs MEM","12th",106.75,4300,13.1,31.9,18.6,0.7,11.3,5.1,26.5,30,21.15,21.15,"%",71,4.9,NA,NA,NA
"Alec Burks","PG/SGPGSG","UTA","@ OKC","11th",94.75,4300,9.6,49.6,18.3,0.96,24,8.2,19.1,25,26.7,26.7,"%",38,6.2,24,32.75,7.6
"Ekpe Udoh","PF/CPFC","UTA","@ OKC","11th",94.75,4300,0,26.8,12.4,0.8,9.1,2.3,15.5,14,11.48,11.48,"%",38,2.7,18,12.5,2.9
"David Nwaba","PG/SGPGSG","CHI","vs ORL","19th",107.75,4300,12,41.3,20.1,0.85,13.5,5.4,23.6,28,24.58,24.58,"%",58,5.7,19,14.5,3.4
"Denzel Valentine","SG/SFSGSF","CHI","vs ORL","19th",107.75,4200,5.9,38.4,21.8,0.79,16.6,9,27.7,26,19.86,19.86,"%",57,4.7,28,40.5,9.6
"Patrick Mills","PG","SAS","@ POR","4th",98.25,4200,7,32,19.5,0.79,18.6,8.2,24.6,23,17.69,17.69,"%",63,4.2,23,12.75,3
"Ryan Anderson","PF/CPFC","HOU","vs LAL","18th",120.5,4200,9.5,43,21.2,0.77,15.7,8.4,27.7,30,23.82,23.82,"%",55,5.7,25,11.5,2.7
"Dejounte Murray","PG","SAS","@ POR","4th",98.25,4100,3.1,45.4,17.8,0.97,19.2,6.4,18.3,24,21.19,21.19,"%",32,5.2,27,17.75,4.3
"Mason Plumlee","PF/CPFC","DEN","vs MIN","7th",108.5,4100,8.2,36.6,18.6,0.99,18.2,5,18.8,23,20.36,20.36,"%",56,5,28,40.5,9.9
"Andrew Harrison","PG/SGPGSG","MEM","@ GSW","12th",97.75,4100,7.5,35.9,14.5,0.8,20,5.3,18.2,23,19.67,19.67,"%",44,4.8,24,13.5,3.3
"Frank Mason III","PG/SGPGSG","SAC","@ BKN","30th",100.5,4000,14.4,38.4,16.2,0.88,25.3,7,18.4,23,24.7,24.7,"%",58,6.2,16,12.75,3.2
"Mike James","PG","PHX","@ LAC","5th",105.25,4000,0,28.9,21.5,1.04,26.1,9.8,20.7,10,10.22,10.22,"%",56,2.6,11,12.5,3.1
"Frank Kaminsky","PF/CPFC","CHA","vs TOR","10th",105.25,4000,7.8,42.4,19.2,0.86,20.8,9.3,22.3,25,22.63,22.63,"%",48,5.7,23,11.25,2.8
"Maxi Kleber","PF","DAL","vs DET","14th",99,4000,5.4,37.9,13.3,0.71,13.1,4.5,18.7,26,19.34,19.34,"%",30,4.8,19,8.5,2.1
"Tyler Ulis","PG","PHX","@ LAC","5th",105.25,4000,4.2,33.7,18,0.77,19.8,7.8,23.3,24,16.87,16.87,"%",53,4.2,17,6,1.5
"Manu Ginobili","SG/SFSGSF","SAS","@ POR","9th",98.25,4000,2.5,30.7,16.1,0.8,22.6,7.1,20.2,19,14.61,14.61,"%",50,3.7,25,21.25,5.3
"Wayne Ellington","SG/SFSGSF","MIA","@ BOS","6th",95.5,4000,9.8,43.3,16,0.77,17.3,7,20.9,32,24.16,24.16,"%",40,6,31,18.5,4.6
"Stanley Johnson","SG/SFSGSF","DET","@ DAL","11th",98,4000,5,33.4,16.9,0.62,13.5,7,27.3,28,17.14,17.14,"%",52,4.3,28,21.5,5.4
"Troy Daniels","SG","PHX","@ LAC","26th",105.25,3900,9.2,40.8,11.5,0.69,17.6,6,16.6,28,22.74,22.74,"%",21,5.8,21,13.75,3.5
"Cory Joseph","PG","IND","@ ATL","24th",109.25,3900,5.3,33.3,17.8,0.73,15.2,6.7,24.3,25,17.3,17.3,"%",55,4.4,28,18.25,4.7
"Pascal Siakam","PF","TOR","@ CHA","17th",107.25,3900,3.8,29.7,17.3,0.88,16.1,6.1,19.6,18,14.87,14.87,"%",57,3.8,17,27.5,7.1
"D.J. Augustin","PG/SGPGSG","ORL","@ CHI","25th",102.75,3900,5.7,35.6,17.3,0.85,18.7,5.9,20.3,21,18.5,18.5,"%",51,4.7,28,21.5,5.5
"Josh Jackson","SG/SFSGSF","PHX","@ LAC","3rd",105.25,3900,3.4,30.7,17.2,0.79,24,9,21.7,23,15.11,15.11,"%",55,3.9,30,26,6.7
"Jerian Grant","PG/SGPGSG","CHI","vs ORL","29th",107.75,3900,0.5,32.8,20.8,0.92,18.8,6.9,22.7,13,14.34,14.34,"%",56,3.7,23,25.5,6.5
"Langston Galloway","PG/SGPGSG","DET","@ DAL","20th",98,3900,7.1,33.8,12.1,0.88,20.7,5.7,13.8,19,18.56,18.56,"%",37,4.8,17,10,2.6
"Joe Harris","SG/SFSGSF","BKN","vs SAC","8th",105.5,3900,5.7,29.3,17.4,0.73,17.2,8.1,23.7,23,15.82,15.82,"%",61,4.1,25,22,5.6
"Aron Baynes","C","BOS","vs MIA","1st",104.5,3900,2.7,28.6,15.2,0.85,17,5,17.8,20,13.82,13.82,"%",51,3.5,16,8.25,2.1
"Ishmael Smith","PG","DET","@ DAL","20th",98,3900,8.3,30.7,18,0.93,23.3,8.5,19.4,21,17.93,17.93,"%",65,4.6,23,24.5,6.3
"Jakob Poeltl","PF/CPFC","TOR","@ CHA","11th",107.25,3800,4.7,35.3,15.6,0.96,17.7,4.6,16.3,23,17.85,17.85,"%",44,4.7,22,24,6.3
"Ed Davis","PF/CPFC","POR","vs SAS","4th",100.25,3800,4.7,27.7,15.8,0.93,13.6,3.7,17,19,14.52,14.52,"%",58,3.8,22,23.75,6.3
"P.J. Tucker","SF/PFSFPF","HOU","vs LAL","19th",120.5,3800,13.4,36.5,18,0.67,10.9,5,26.8,34,23.32,23.32,"%",63,6.1,35,27,7.1
"Evan Turner","SG/SFSGSF","POR","vs SAS","2nd",100.25,3800,7.3,32.8,17.7,0.68,16.7,7.3,26.2,32,18.24,18.24,"%",59,4.8,32,18.25,4.8
"Sam Dekker","SF/PFSFPF","LAC","vs PHX","17th",110.25,3800,4.9,26,8.9,0.72,17.9,4.2,12.3,19,13.91,13.91,"%",32,3.7,19,13.75,3.6
"Jawun Evans","PG","LAC","vs PHX","27th",110.25,3800,0,23.6,11.4,0.74,21.8,5.5,15.5,9,7.63,7.63,"%",30,2,13,6.5,1.7
"Joe Johnson","SG/SFSGSF","UTA","@ OKC","10th",94.75,3800,7.4,26.5,13.2,0.65,20.5,7.3,20.3,25,15.6,15.6,"%",59,4.1,18,6.25,1.6
