"Place_lo","Place_hi","Payout"
"1","1","200"
"2","2","150"
"3","3","100"
"4","4","90"
"5","5","80"
"6","6","70"
"7","7","60"
"8","8","50"
"9","10","40"
"11","15","30"
"16","20","20"
"21","25","15"
"26","30","10"
"31","40","8"
"41","55","6"
"56","100","5"
"101","200","4"
"201","400","3"
"401","700","2"
"701","1200","1.5"
