"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","600"
"3","3","400"
"4","4","200"
"5","6","150"
"7","9","100"
"10","13","75"
"14","18","60"
"19","25","50"
"26","35","40"
"36","50","30"
"51","70","20"
"71","100","15"
"101","145","12"
"146","225","10"
"226","375","8"
"376","710","6"
