"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","vs ATL","25th",113.75,11800,50.6,98.1,57.1,1.55,30.9,19,36.9,38.86,70.97,70.97,"%",76,6,35,64.75,5.5
"Joel Embiid","C","PHI","@ MIN","29th",104.5,10100,36.7,82.8,46.8,1.58,34.2,16.9,29.7,34,56.44,56.44,"%",72,5.6,39,58,5.7
"Ben Simmons","PG/SFPGSF","PHI","@ MIN","6th",104.5,9800,28.3,61.6,46.1,1.29,24.7,14.8,35.6,36.29,42.6,42.6,"%",79,4.3,40,21.25,2.2
"Andre Drummond","C","DET","vs DEN","23rd",108.25,9400,30.3,67.5,43.9,1.33,20.9,10.2,32.9,33.36,46.27,46.27,"%",76,4.9,26,23,2.4
"Karl-Anthony Towns","C","MIN","vs PHI","22nd",109.5,8700,24.8,62.7,41.8,1.21,24,14.3,34.5,38.07,41.04,41.04,"%",74,4.7,48,57,6.6
"Bradley Beal","SG","WAS","@ BKN","26th",108.5,8600,21.9,63.4,36.8,1.07,29.6,18.4,34.3,36.3,39.7,39.7,"%",68,4.6,36,39.5,4.6
"Kristaps Porzingis","PF/CPFC","NYK","vs LAL","20th",107,8500,25.5,73.2,40.7,1.28,36.1,19.7,31.7,33.95,45.93,45.93,"%",66,5.4,40,66.75,7.9
"LaMarcus Aldridge","PF/CPFC","SAS","@ DAL","25th",103,8300,27.6,60.9,39.6,1.2,29,17.3,32.9,35,41.9,41.9,"%",76,5,38,42.25,5.1
"Kevin Love","PF/CPFC","CLE","vs ATL","17th",113.75,8200,23.3,63.2,38.1,1.32,27.5,13.2,28.8,31.2,40.37,40.37,"%",70,4.9,28,37.5,4.6
"Jimmy Butler","SG","MIN","vs PHI","10th",109.5,8000,25,59.1,37.2,1.02,23,14.8,36.6,37.75,39.6,39.6,"%",74,5,45,53,6.6
"Dennis Schroder","PG","ATL","@ CLE","23rd",102.75,7600,25.7,51.7,35.2,1.11,30.6,17.8,31.6,33.67,36.83,36.83,"%",79,4.8,27,23.75,3.1
"Will Barton","SG/SFSGSF","DEN","@ DET","28th",102.25,7400,21.1,62.6,31.1,1.01,21.9,12.5,30.8,38.75,38.87,38.87,"%",62,5.3,34,30,4.1
"Kawhi Leonard","SF/PFSFPF","SAS","@ DAL","12th",103,7300,33,33,NA,NA,NA,NA,NA,25,33,33,"%",0,4.5,15,26.5,3.6
"Otto Porter","SF/PFSFPF","WAS","@ BKN","18th",108.5,7200,16.4,59.1,32.1,1,18.7,12.1,32.1,33.11,34.72,34.72,"%",62,4.8,29,21.75,3
"Zach Randolph","PF/CPFC","SAC","vs PHX","30th",107.75,7100,17.4,62,29,1.14,27,12.6,25.4,27.1,36.53,36.53,"%",56,5.1,27,34.75,4.9
"T.J. Warren","SF/PFSFPF","PHX","@ SAC","5th",103.75,6900,14.7,58.9,30.5,0.99,25.7,15.6,30.9,37,33.63,33.63,"%",59,4.9,38,27.75,4
"Gary Harris","SG","DEN","@ DET","8th",102.25,6700,20.6,44.5,27.8,0.84,19.3,12.3,33.1,36.21,30.85,30.85,"%",75,4.6,30,36.5,5.4
"Brandon Ingram","SG/SFSGSF","LAL","@ NYK","20th",105,6700,18.7,53.8,30,0.9,22.7,13.3,33.4,35.5,33.73,33.73,"%",67,5,41,22.75,3.4
"Lonzo Ball","PG","LAL","@ NYK","20th",105,6600,14.9,63.8,32.2,0.99,17.5,10.6,32.4,34,35.87,35.87,"%",57,5.4,39,43,6.5
"Tobias Harris","SF/PFSFPF","DET","vs DEN","7th",108.25,6600,14,46.1,30.7,0.93,22.3,14.9,32.9,34.25,27.74,27.74,"%",70,4.2,29,13.5,2
"Jeff Teague","PG","MIN","vs PHI","18th",109.5,6500,14.8,52,31.7,0.94,20,10.9,33.6,34.04,30.74,30.74,"%",66,4.7,37,23.75,3.7
"Enes Kanter","PF/CPFC","NYK","vs LAL","17th",107,6400,17.8,51.3,30.4,1.21,21.5,9.5,25.2,28,32.17,32.17,"%",68,5,26,28.75,4.5
"Harrison Barnes","SF/PFSFPF","DAL","vs SAS","24th",97,6300,27.9,53.1,32.4,0.94,24.9,15.2,34.6,36,38.7,38.7,"%",78,6.1,34,30.5,4.8
"Robert Covington","SF/PFSFPF","PHI","@ MIN","14th",104.5,6200,15.6,51.9,31.5,0.99,19,11.6,31.7,33,31.15,31.15,"%",67,5,0,0,NA
"Spencer Dinwiddie","PG/SGPGSG","BKN","vs WAS","14th",105.5,6100,17.1,54.5,28.5,1.1,20.4,10.3,25.8,31,33.11,33.11,"%",62,5.4,32,43,7
"Taj Gibson","PF/CPFC","MIN","vs PHI","22nd",109.5,6000,13.3,46.4,26.7,0.81,14.3,8.1,32.8,36.2,27.48,27.48,"%",65,4.6,39,32.5,5.4
"Andrew Wiggins","SF/PFSFPF","MIN","vs PHI","29th",109.5,6000,17.5,47.1,29.3,0.81,23.9,15.4,36.3,36.39,30.2,30.2,"%",71,5,40,37.75,6.3
"Reggie Jackson","PG","DET","vs DEN","21st",108.25,5900,17,45,28.4,1.04,26.5,12.6,27.2,28.39,28.96,28.96,"%",72,4.9,24,21.5,3.6
"Rondae Hollis-Jefferson","SF/PFSFPF","BKN","vs WAS","5th",105.5,5800,15,49.5,27.1,1,22.2,10.4,27,31.7,29.8,29.8,"%",64,5.1,27,36,6.2
"Rudy Gay","SF/PFSFPF","SAS","@ DAL","12th",103,5800,10.6,38.5,24.7,1.07,25.7,9.8,23,23,22.56,22.56,"%",68,3.9,26,35.75,6.2
"Dario Saric","PF/CPFC","PHI","@ MIN","6th",104.5,5700,11.2,46,25.2,0.89,18.9,10.7,28.2,30.04,26.1,26.1,"%",61,4.6,39,30.5,5.4
"Pau Gasol","PF/CPFC","SAS","@ DAL","13th",103,5700,15.1,46.3,28.9,1.17,20.7,8.6,24.8,25.48,28.46,28.46,"%",69,5,22,13.75,2.4
"Courtney Lee","SG/SFSGSF","NYK","vs LAL","15th",107,5700,16.4,46.4,24.5,0.78,16.8,10,31.3,34.28,29.28,29.28,"%",65,5.1,40,23.25,4.1
"Caris LeVert","SG/SFSGSF","BKN","vs WAS","5th",105.5,5600,16.4,44.6,24.2,0.94,21.6,9.8,25.7,29.3,28.45,28.45,"%",67,5.1,28,31.25,5.6
"Buddy Hield","SG/SFSGSF","SAC","vs PHX","23rd",107.75,5600,14.2,51.9,22.6,1,25.2,10.5,22.5,26.95,30.35,30.35,"%",52,5.4,25,17.5,3.1
"DeMarre Carroll","SF/PFSFPF","BKN","vs WAS","19th",105.5,5500,18.3,44.4,27.8,0.96,20,10.5,28.9,30.33,29.47,29.47,"%",73,5.4,28,29,5.3
"Kentavious Caldwell-Pope","SG","LAL","@ NYK","9th",105,5500,15.2,43.9,27.5,0.81,17.9,11.7,33.8,35,27.51,27.51,"%",70,5,38,41,7.5
"Jamal Murray","PG/SGPGSG","DEN","@ DET","8th",102.25,5500,7.5,45.2,22.6,0.86,23.9,11.8,26.3,27.57,23.63,23.63,"%",52,4.3,31,40.5,7.4
"Taurean Prince","SG/SFSGSF","ATL","@ CLE","16th",102.75,5400,14.1,44.3,26.1,0.85,20.1,11.1,30.7,32.59,27.02,27.02,"%",67,5,29,41.75,7.7
