"Place_lo","Place_hi","Payout"
"1","1","400"
"2","2","150"
"3","3","100"
"4","4","70"
"5","5","60"
"6","6","50"
"7","7","40"
"8","8","30"
"9","9","20"
"10",NA,"15"
"11","12","12"
"13","15","10"
"16","20","9"
"21","25","8"
"26","35","6"
"36","45","5"
"46","65","4"
"66","85","3.5"
"86","115","3"
"116","155","2.5"
"156","215","2"
"216","315","1.75"
"316","515","1.5"
"516","1015","1.25"
"1016","2015","1"
"2016","4015","0.75"
"4016","8527","0.5"
