"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","5000"
"5","5","3500"
"6","6","2500"
"7","8","1500"
"9","10","1000"
"11","15","700"
"16","20","500"
"21","30","350"
"31","45","250"
"46","70","150"
"71","100","100"
"101","150","70"
"151","250","50"
"251","450","30"
"451","1000","25"
"1001","2000","20"
"2001","4050","15"
"4051","9050","12"
