"LeBron James_CLE","Giannis Antetokounmpo_MIL","DeMarcus Cousins_NO","Anthony Davis_NO","Joel Embiid_PHI","Ben Simmons_PHI","John Wall_WAS","Kevin Love_CLE","Bradley Beal_WAS","Khris Middleton_MIL","Jrue Holiday_NO","Eric Bledsoe_MIL","Zach Randolph_SAC","Isaiah Thomas_CLE","Robert Covington_PHI","Dario Saric_PHI","Rajon Rondo_NO","Otto Porter_WAS","JJ Redick_PHI","Willie Cauley-Stein_SAC","Jabari Parker_MIL","Dwyane Wade_CLE","Malcolm Brogdon_MIL","Kelly Oubre_WAS","Marcin Gortat_WAS","Markieff Morris_WAS","E'Twaun Moore_NO","Buddy Hield_SAC","George Hill_SAC","Mike Scott_WAS","John Henson_MIL","Richaun Holmes_PHI","De'Aaron Fox_SAC","Bogdan Bogdanovic_SAC","Jeff Green_CLE","Trevor Booker_PHI","TJ McConnell_PHI","JR Smith_CLE","Frank Mason III_SAC","Markelle Fultz_PHI","Amir Johnson_PHI","Jose Calderon_CLE","Tony Snell_MIL","Garrett Temple_SAC","Kyle Korver_CLE","Tomas Satoransky_WAS","Tim Frazier_WAS","Dante Cunningham_NO","Iman Shumpert_CLE","Jae Crowder_CLE","Tristan Thompson_CLE","Darius Miller_NO","Jameer Nelson_NO","Ian Mahinmi_WAS","Jerryd Bayless_PHI","Kosta Koufos_SAC","Thon Maker_MIL","Derrick Rose_CLE","DeAndre Liggins_MIL","Jakarr Sampson_SAC","Skal Labissiere_SAC","Mirza Teletovic_MIL","Matthew Dellavedova_MIL","Channing Frye_CLE","Jodie Meeks_WAS","Tony Allen_NO","Vince Carter_SAC","Ian Clark_NO","Jason Smith_WAS","Sheldon Mac_WAS","Mike Young_WAS","Devin Robinson_WAS","Chris McCullough_WAS","Solomon Hill_NO","Alexis Ajinca_NO","Omer Asik_NO","Jalen Jones_NO","Charles Cooke_NO","Cheick Diallo_NO","Frank Jackson_NO","Timothe Luwawu-Cabarrot_PHI","Georgios Papagiannis_SAC","Harry Giles_SAC","Jack Cooley_SAC","Justin Jackson_SAC","Malachi Richardson_SAC","Furkan Korkmaz_PHI","Justin Anderson_PHI","James Michael McAdoo_PHI","Jacob Pullen_PHI","Gary Payton II_MIL","Rashad Vaughn_MIL","DJ Wilson_MIL","Sterling Brown_MIL","Joel Bolomboy_MIL","Jason Terry_MIL","John Holland_CLE","London Perrantes_CLE","Cedi Osman_CLE","Ante Zizic_CLE"
0,0,29.3104166666667,-99.2895833333333,0,0,0,0,0,0,74.8354166666667,0,0,0,0,0,-25.2604166666667,0,0,0,0,0,0,0,0,0,5.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1916666666667,0,0,0,-24.33125,1.18958333333333,0,0,0,0,0,0,0,0,0,0,0,0,6.7125,0,4.80416666666667,0,0,0,0,0,0,0,13.0916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-7.83184523809524,0,0,0,0,0,0,0,-19.4627976190476,0,29.5386904761905,0,0,0,0,0,0,0,0,0,0,-6.40327380952381,0,0,0,0,0,0,0,19.4166666666667,0,0,0,0,0,0,0,0,0,0,0,19.6279761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03422619047619,0,1.43005952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.9821428571429,2.00744047619048,10.7589285714286,-13.3184523809524,-1.50892857142857,9.77827380952381,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,132.455357142857,0,0,0,0,0,0,-71.4345238095238,0,0,0,0,0,0,0,19.733630952381,53.2693452380952,0,0,0,29.891369047619,45.1636904761905,0,0,0,0,-13.4657738095238,0,0,0,0,-7.65625,0,0,0,0,0,0,0,0,0,0,0,16.1383928571429,0,0,0,0,-48.2142857142857,0,0,0,0,0,-2.28422619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.66666666666667,-9.90476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-53.1,77.896875,0,0,0,0,0,0,0,0,317.925,-24.50625,0,0,-16.265625,0,0,0,0,0,0,0,0,0,0,0,0,-242.859375,0,0,0,0,-108.16875,0,0,0,110.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-45.51875,56.6125,0,0,0,0,0,0,0,0,-24.50625,30.85625,0,0,-23.984375,0,0,0,0,0,0,0,0,0,0,0,0,5.3125,0,0,0,0,1.275,0,0,0,10.89375,0,0,0,0,0,0,0,0,0,0,0,0,0,20.321875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19.0645833333333,-96.5354166666667,0,0,0,0,0,0,-25.2604166666667,0,0,0,0,0,120.485416666667,0,0,0,0,0,0,0,0,0,51.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6708333333333,0,0,0,7.11875,-27.5520833333333,0,0,0,0,0,0,0,0,0,0,0,0,-13.2,0,0.245833333333333,0,0,0,0,0,0,0,29.9083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16.5535714285714,0,-54.0476190476191,0,0,0,0,0,0,0,0,47.2261904761905,0,0,0,0,0,-20.4583333333333,45.1622023809524,36.1681547619048,0,0,0,14.2053571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8824404761905,10.6889880952381,0,0,0,0,0,0,13.6116071428571,0,0,0,0,0,0,0,0,0,0,-22.0178571428571,0,0,0,-13.1071428571429,0,0,0,-18.5491071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-85.96875,-114.03125,0,0,0,0,0,0,0,0,-16.265625,-23.984375,0,0,58.46875,0,0,0,0,0,0,0,0,0,0,0,0,53.609375,0,0,0,0,-7.3125,0,0,0,14.875,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-71.4345238095238,0,0,0,0,0,0,210.41369047619,0,0,0,0,0,0,0,-164.421130952381,14.7931547619048,0,0,0,16.0044642857143,3.53422619047619,0,0,0,0,-6.72172619047619,0,0,0,0,44.6875,0,0,0,0,0,0,0,0,0,0,0,-24.8571428571429,0,0,0,0,97.0580357142857,0,0,0,0,0,45.3779761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.375,2.23809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
