"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","10000"
"3","3","7000"
"4","4","5000"
"5","5","3000"
"6","6","2000"
"7","8","1500"
"9","10","1000"
"11","15","750"
"16","25","500"
"26","40","300"
"41","60","200"
"61","95","150"
"96","150","125"
"151","265","100"
"266","500","75"
"501","875","60"
"876","1515","50"
