"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Marcin Gortat",5200,"WAS@BKN 12/12/2017 07:30PM ET",25.471,"WAS","BKN",27.44,27.3,20.25
"C","Dewayne Dedmon",5200,"ATL@CLE 12/12/2017 07:00PM ET",25.038,"ATL","CLE",0,0,0
"SF/PF","Ersan Ilyasova",5200,"ATL@CLE 12/12/2017 07:00PM ET",20.133,"ATL","CLE",25.04,25.8,14.5
"PG/SG","Dennis Smith",5200,"SA@DAL 12/12/2017 08:30PM ET",26.967,"DAL","SA",0,0,0
"PG/SF","Kyle Anderson",5200,"SA@DAL 12/12/2017 08:30PM ET",24.489,"SA","DAL",0,0,0
"SF/PF","Markieff Morris",5100,"WAS@BKN 12/12/2017 07:30PM ET",19.395,"WAS","BKN",27.23,24.2,6.75
"PG/SG","JJ Barea",5100,"SA@DAL 12/12/2017 08:30PM ET",25.093,"DAL","SA",27.54,26.1,0
"PF/C","Greg Monroe",5000,"PHO@SAC 12/12/2017 10:00PM ET",22.219,"PHO","SAC",0,0,0
"PG/SG","Jordan Clarkson",4900,"LAL@NY 12/12/2017 07:00PM ET",24.28,"LAL","NY",25.69,23.5,24
"SG/SF","Danny Green",4900,"SA@DAL 12/12/2017 08:30PM ET",22.08,"SA","DAL",21.33,19.6,11.75
"PF/C","Julius Randle",4800,"LAL@NY 12/12/2017 07:00PM ET",24.85,"LAL","NY",24.34,25.8,21.5
"SG/SF","Kelly Oubre",4700,"WAS@BKN 12/12/2017 07:30PM ET",22.279,"WAS","BKN",19.57,18,26.25
"SF/PF","Larry Nance",4700,"LAL@NY 12/12/2017 07:00PM ET",23.679,"LAL","NY",18.12,20.4,17.75
"PG","De'Aaron Fox",4700,"PHO@SAC 12/12/2017 10:00PM ET",21.192,"SAC","PHO",22.87,23.3,12
"PF/C","Dirk Nowitzki",4600,"SA@DAL 12/12/2017 08:30PM ET",23.056,"DAL","SA",21.93,22.4,11.5
"PF/C","Mason Plumlee",4500,"DEN@DET 12/12/2017 07:00PM ET",17.115,"DEN","DET",21.6,19.4,32.25
"PG","Jarrett Jack",4500,"LAL@NY 12/12/2017 07:00PM ET",19.865,"NY","LAL",0,0,0
"PF/C","Alex Len",4500,"PHO@SAC 12/12/2017 10:00PM ET",23.489,"PHO","SAC",22.3,23,25
"C","Tyson Chandler",4500,"PHO@SAC 12/12/2017 10:00PM ET",22.763,"PHO","SAC",19.24,23.5,25
"SG/SF","Wesley Matthews",4500,"SA@DAL 12/12/2017 08:30PM ET",23.194,"DAL","SA",22.02,22.4,28.75
"PG","Emmanuel Mudiay",4400,"DEN@DET 12/12/2017 07:00PM ET",19.712,"DEN","DET",16.6,15.7,4.5
"SF/PF","Wilson Chandler",4400,"DEN@DET 12/12/2017 07:00PM ET",20,"DEN","DET",26.92,23,25
"SG/SF","Allen Crabbe",4400,"WAS@BKN 12/12/2017 07:30PM ET",21.682,"BKN","WAS",23.28,22.8,28.75
"PF","Mike Scott",4400,"WAS@BKN 12/12/2017 07:30PM ET",14.198,"WAS","BKN",16.4,14,15.75
"SF/PF","Jeff Green",4400,"ATL@CLE 12/12/2017 07:00PM ET",18.954,"CLE","ATL",22.3,20.6,21.75
"C","Brook Lopez",4400,"LAL@NY 12/12/2017 07:00PM ET",25.57,"LAL","NY",19.7,19.5,24.5
"SF/PF","Trey Lyles",4300,"DEN@DET 12/12/2017 07:00PM ET",13.262,"DEN","DET",18.12,19.1,26
"SG/SF","Josh Jackson",4300,"PHO@SAC 12/12/2017 10:00PM ET",17.42,"PHO","SAC",24.51,23.1,16.75
"PG","Mike James",4300,"PHO@SAC 12/12/2017 10:00PM ET",21.973,"PHO","SAC",25.96,21.3,25.75
"PG","TJ McConnell",4300,"PHI@MIN 12/12/2017 09:30PM ET",20.845,"PHI","MIN",15.46,16.2,18
"PF/C","Trevor Booker",4300,"PHI@MIN 12/12/2017 09:30PM ET",22.975,"PHI","MIN",9.38,10.5,31.75
"C","Jahlil Okafor",4200,"WAS@BKN 12/12/2017 07:30PM ET",12.625,"BKN","WAS",0.93,10.1,0
"PG","Tyler Ulis",4200,"PHO@SAC 12/12/2017 10:00PM ET",17.769,"PHO","SAC",21.66,23,19.75
"PG","Patty Mills",4200,"SA@DAL 12/12/2017 08:30PM ET",19.963,"SA","DAL",17.08,18.9,0
"SG","Marco Belinelli",4100,"ATL@CLE 12/12/2017 07:00PM ET",21.471,"ATL","CLE",19.4,19.6,12
"PF/C","Marquese Chriss",4100,"PHO@SAC 12/12/2017 10:00PM ET",17.277,"PHO","SAC",19.94,20.8,21.5
