"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG","Gary Harris",6300,"MIN@DEN 12/20/2017 09:00PM ET",29.357,"DEN","MIN",0,0,0
"SF/PF","Thaddeus Young",6200,"IND@ATL 12/20/2017 07:30PM ET",28.194,"IND","ATL",0,29.1,20
"SF/PF","James Johnson",6200,"MIA@BOS 12/20/2017 07:30PM ET",26.455,"MIA","BOS",0,0,0
"SG/SF","Dion Waiters",6200,"MIA@BOS 12/20/2017 07:30PM ET",25.509,"MIA","BOS",0,30.1,23.75
"PF/C","Zach Randolph",6200,"SAC@BKN 12/20/2017 07:30PM ET",29.24,"SAC","BKN",0,29.5,36.5
"SG/SF","Will Barton",6200,"MIN@DEN 12/20/2017 09:00PM ET",30.784,"DEN","MIN",0,30.4,24.25
"SF/PF","TJ Warren",6200,"PHO@LAC 12/20/2017 10:30PM ET",30.094,"PHO","LAC",0,31.1,45.5
"PG","Goran Dragic",6100,"MIA@BOS 12/20/2017 07:30PM ET",29.862,"MIA","BOS",0,0,0
"SF/PF","Rondae Hollis-Jefferson",6100,"SAC@BKN 12/20/2017 07:30PM ET",27.663,"BKN","SAC",0,32.2,31.5
"PG","Jeff Teague",6100,"MIN@DEN 12/20/2017 09:00PM ET",31.083,"MIN","DEN",0,30.9,36.5
"SF/PF","Kawhi Leonard",6000,"SA@POR 12/20/2017 10:00PM ET",21.833,"SA","POR",0,0,0
"SF/PF","Andrew Wiggins",6000,"MIN@DEN 12/20/2017 09:00PM ET",28.903,"MIN","DEN",0,28.3,22.25
"SG/SF","Josh Richardson",5900,"MIA@BOS 12/20/2017 07:30PM ET",22.117,"MIA","BOS",0,28.2,35.5
"PF/C","Serge Ibaka",5900,"TOR@CHA 12/20/2017 07:00PM ET",25.91,"TOR","CHA",0,26.6,37.75
"SG","Kentavious Caldwell-Pope",5900,"LAL@HOU 12/20/2017 08:00PM ET",28.29,"LAL","HOU",0,0,0
"PF/C","Taj Gibson",5900,"MIN@DEN 12/20/2017 09:00PM ET",26.798,"MIN","DEN",0,27.9,22.25
"SG/SF","Evan Fournier",5800,"ORL@CHI 12/20/2017 08:00PM ET",29.808,"ORL","CHI",0,0,0
"SF/PF","Carmelo Anthony",5800,"UTA@OKC 12/20/2017 08:00PM ET",30.802,"OKC","UTA",0,28.4,30.25
"SF/PF","Kyle Kuzma",5800,"LAL@HOU 12/20/2017 08:00PM ET",28.75,"LAL","HOU",0,28.7,58.25
"SG/SF","Nicolas Batum",5700,"TOR@CHA 12/20/2017 07:00PM ET",25.5,"CHA","TOR",0,30,9.5
"PG/SG","Jamal Murray",5700,"MIN@DEN 12/20/2017 09:00PM ET",24.35,"DEN","MIN",0,30.9,45
"SF/PF","Danilo Gallinari",5700,"PHO@LAC 12/20/2017 10:30PM ET",24.591,"LAC","PHO",0,0,0
"PG/SG","Austin Rivers",5700,"PHO@LAC 12/20/2017 10:30PM ET",25.611,"LAC","PHO",0,30.7,35.5
"PG","Darren Collison",5600,"IND@ATL 12/20/2017 07:30PM ET",28.233,"IND","ATL",0,26.9,13.75
"SF/PF","Jayson Tatum",5600,"MIA@BOS 12/20/2017 07:30PM ET",26.811,"BOS","MIA",0,25.6,24.25
"PG","Elfrid Payton",5600,"ORL@CHI 12/20/2017 08:00PM ET",27.148,"ORL","CHI",0,29.6,35.5
"SG/SF","Caris LeVert",5600,"SAC@BKN 12/20/2017 07:30PM ET",24.25,"BKN","SAC",0,25.3,26.5
"SG/SF","Rodney Hood",5600,"UTA@OKC 12/20/2017 08:00PM ET",26.5,"UTA","OKC",0,28.4,18.5
"PG/SG","JJ Barea",5600,"DET@DAL 12/20/2017 08:30PM ET",25.282,"DAL","DET",0,24.7,0
"PG","Reggie Jackson",5600,"DET@DAL 12/20/2017 08:30PM ET",27.392,"DET","DAL",0,25.5,16.75
"PG/SG","Jordan Clarkson",5600,"LAL@HOU 12/20/2017 08:00PM ET",23.438,"LAL","HOU",0,24.6,9.75
"PF/C","Alex Len",5600,"PHO@LAC 12/20/2017 10:30PM ET",25.407,"PHO","LAC",0,27.9,24.25
"PF/C","Domantas Sabonis",5500,"IND@ATL 12/20/2017 07:30PM ET",26.336,"IND","ATL",0,22.6,15.5
"SG/SF","Jaylen Brown",5400,"MIA@BOS 12/20/2017 07:30PM ET",26.54,"BOS","MIA",0,25.4,29
"PF/C","Kelly Olynyk",5400,"MIA@BOS 12/20/2017 07:30PM ET",21.142,"MIA","BOS",0,26.8,48.75
"PF/C","Willie Cauley-Stein",5400,"SAC@BKN 12/20/2017 07:30PM ET",23.865,"SAC","BKN",0,27.5,26.25
"SF/PF","Rudy Gay",5400,"SA@POR 12/20/2017 10:00PM ET",24.345,"SA","POR",0,25.7,10.75
"C","Jonas Valanciunas",5400,"TOR@CHA 12/20/2017 07:00PM ET",23.708,"TOR","CHA",0,24.8,18.75
"PF/C","Julius Randle",5400,"LAL@HOU 12/20/2017 08:00PM ET",25.018,"LAL","HOU",0,31.3,6.25
"PF/C","John Collins",5300,"IND@ATL 12/20/2017 07:30PM ET",24.302,"ATL","IND",0,24.8,29.25
"PF/C","Pau Gasol",5300,"SA@POR 12/20/2017 10:00PM ET",26.967,"SA","POR",0,20.2,52.75
"PF/C","Derrick Favors",5300,"UTA@OKC 12/20/2017 08:00PM ET",25.612,"UTA","OKC",0,27.1,11.5
"C","Dewayne Dedmon",5200,"IND@ATL 12/20/2017 07:30PM ET",25.038,"ATL","IND",0,0,0
"SG/SF","Justin Holiday",5200,"ORL@CHI 12/20/2017 08:00PM ET",27.241,"CHI","ORL",0,25.8,22.5
"PG/SF","Kyle Anderson",5200,"SA@POR 12/20/2017 10:00PM ET",24.489,"SA","POR",0,12.6,23
"PG/SG","Yogi Ferrell",5200,"DET@DAL 12/20/2017 08:30PM ET",19.355,"DAL","DET",0,16.5,25.25
"PG/SG","Milos Teodosic",5200,"PHO@LAC 12/20/2017 10:30PM ET",20.708,"LAC","PHO",0,27.9,24.25
"SF/PF","Ersan Ilyasova",5100,"IND@ATL 12/20/2017 07:30PM ET",20.303,"ATL","IND",0,25.9,17.75
"SG/SF","Marcus Smart",5100,"MIA@BOS 12/20/2017 07:30PM ET",24.363,"BOS","MIA",0,24.7,29
"PF","Lauri Markkanen",5100,"ORL@CHI 12/20/2017 08:00PM ET",29.75,"CHI","ORL",0,25.8,17.25
"PG","Ricky Rubio",5100,"UTA@OKC 12/20/2017 08:00PM ET",26.583,"UTA","OKC",0,30.3,8.5
"SG/SF","Danny Green",5000,"SA@POR 12/20/2017 10:00PM ET",21.361,"SA","POR",0,16.7,16.5
"SG/SF","Joe Ingles",5000,"UTA@OKC 12/20/2017 08:00PM ET",25.04,"UTA","OKC",0,25.4,12
"PG/SG","Avery Bradley",5000,"DET@DAL 12/20/2017 08:30PM ET",24.268,"DET","DAL",0,0,0
"PG/SG","Dennis Smith",5000,"DET@DAL 12/20/2017 08:30PM ET",26.967,"DAL","DET",0,24.1,28.75
"PG/SG","Tyler Johnson",4900,"MIA@BOS 12/20/2017 07:30PM ET",20.866,"MIA","BOS",0,28.7,35.25
"PF","Bobby Portis",4900,"ORL@CHI 12/20/2017 08:00PM ET",25.588,"CHI","ORL",0,21.2,23.75
"SF/PF","DeMarre Carroll",4900,"SAC@BKN 12/20/2017 07:30PM ET",27.029,"BKN","SAC",0,25.2,29.75
"SG","Eric Gordon",4900,"LAL@HOU 12/20/2017 08:00PM ET",27.204,"HOU","LAL",0,27.1,32
