"Place_lo","Place_hi","Payout"
"1","1","50"
"2","2","40"
"3","3","30"
"4","4","25"
"5","5","20"
"6","6","15"
"7","7","12"
"8","8","10"
"9","10","8"
"11","15","6"
"16","20","5"
"21","25","4.5"
"26","30","4"
"31","40","3.5"
"41","50","3"
"51","60","2.5"
"61","75","2"
"76","100","1.5"
"101","170","1.25"
"171","275","1"
"276","625","0.75"
"626","1769","0.5"
