"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16"
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA,5.5,4.75,NA,12.5,NA,7.5,NA,11.5
"Jakarr Sampson_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5,2.75,NA,NA,0,13.5,NA,10.75,NA
"Mirza Teletovic_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Matthew Dellavedova_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25,12.75,NA,3.25,6.5
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5,0.5,NA,25.5,17.75,NA,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5,11,2.25,NA,10,NA,0,NA,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5,0,NA,NA,9,0,NA,15,NA
"Ian Clark_NO",NA,NA,3.5,NA,0,4,2,NA,0,NA,0,NA,NA
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5,0,NA,18.75,11,NA,NA
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Mike Young_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25,0,NA,0,0,NA,NA
"Solomon Hill_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Alexis Ajinca_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Omer Asik_NO",NA,NA,0,NA,0,11.25,7.75,NA,8.5,NA,0,NA,NA
"Jalen Jones_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Charles Cooke_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Cheick Diallo_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Frank Jackson_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5,14.5,NA,NA,5.75,NA,NA,NA
"Georgios Papagiannis_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Harry Giles_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,7,NA
"Malachi Richardson_SAC",0,4,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Furkan Korkmaz_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
