"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","250"
"3","3","150"
"4","4","100"
"5","5","80"
"6","7","60"
"8","10","50"
"11","15","40"
"16","25","30"
"26","40","25"
"41","60","20"
"61","85","15"
"86","125","10"
"126","205","8"
"206","365","6"
