"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","40000"
"3","3","25000"
"4","4","15000"
"5","5","10000"
"6","6","7000"
"7","7","5000"
"8","8","3000"
"9","11","2000"
"12","19","1500"
"20","44","1000"
"45","104","700"
"105","205","500"
"206","354","400"
"355","556","350"
"557","844","275"
