"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964448208,"davidh21 (2/2)",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans SF Omri Casspi C DeAndre Jordan G Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Kevin Durant","SF","82.67%",38
1,964739595,"cani0987",0,284.75,"C Marc Gasol G Klay Thompson PG Tyreke Evans SF Omri Casspi UTIL DeAndre Jordan SG Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Tyreke Evans","PG","57.49%",30
1,964944816,"rick1341 (4/20)",0,284.75,"UTIL Marc Gasol G Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan SG Austin Rivers F T.J. Warren SF Josh Jackson",NA,"DeAndre Jordan","C","52.89%",39.5
1,964967677,"bebrands (2/2)",0,284.75,"C Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi UTIL DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Klay Thompson","G","50.19%",43
1,964986136,"shoot71 (1/3)",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Alex Len","PF","49.70%",24.25
1,965232911,"yellaboy8732 (3/4)",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Isaiah Canaan","SG","47.84%",18.5
1,965361817,"robertwreynolds25 (3/3)",0,284.75,"C Marc Gasol SG Klay Thompson PG Tyreke Evans SF Omri Casspi UTIL DeAndre Jordan G Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Omri Casspi","SF","47.77%",22
1,965366265,"DraftOverload",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans F Omri Casspi C DeAndre Jordan G Austin Rivers PF T.J. Warren SF Josh Jackson",NA,"T.J. Warren","F","42.79%",45.5
1,965384821,"dabearsnc",0,284.75,"UTIL Marc Gasol G Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan SG Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Austin Rivers","PG","42.53%",35.5
1,965400721,"yunobannon",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Marc Gasol","UTIL","41.45%",43.25
