"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Brandan Wright",3000,"MEM@GS 12/20/2017 10:30PM ET",13.234,"MEM","GS",0,0,0
"C","Damian Jones",3000,"MEM@GS 12/20/2017 10:30PM ET",0,"GS","MEM",0,0,0
"PF","Vince Hunter",3000,"MEM@GS 12/20/2017 10:30PM ET",3,"MEM","GS",0,0,0
"PG/SG","Wayne Selden",3000,"MEM@GS 12/20/2017 10:30PM ET",8.25,"MEM","GS",0,0,0
"PF/C","Ivan Rabb",3000,"MEM@GS 12/20/2017 10:30PM ET",0.75,"MEM","GS",0,0,3.25
"PF/C","Deyonta Davis",3000,"MEM@GS 12/20/2017 10:30PM ET",10.574,"MEM","GS",0,10.7,3.5
"PF","Chris Boucher",3000,"MEM@GS 12/20/2017 10:30PM ET",0,"GS","MEM",0,0,0
"SG","Kobi Simmons",3000,"MEM@GS 12/20/2017 10:30PM ET",3.25,"MEM","GS",0,0,0
"PG/SG","Patrick Beverley",3000,"PHO@LAC 12/20/2017 10:30PM ET",25.977,"LAC","PHO",0,0,0
"C","Willie Reed",3000,"PHO@LAC 12/20/2017 10:30PM ET",9.927,"LAC","PHO",0,0,16.5
"PG/SG","Brandon Knight",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO","LAC",0,0,0
"C","Alan Williams",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO","LAC",0,0,0
"SG/SF","Danuel House",3000,"PHO@LAC 12/20/2017 10:30PM ET",6.313,"PHO","LAC",0,7.1,8.75
"PF/C","Brice Johnson",3000,"PHO@LAC 12/20/2017 10:30PM ET",5.969,"LAC","PHO",0,0,0
"SG/SF","Davon Reed",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO","LAC",0,0,0
"SG","Sindarius Thornwell",3000,"PHO@LAC 12/20/2017 10:30PM ET",8.629,"LAC","PHO",0,7.1,0
"PF","Alec Peters",3000,"PHO@LAC 12/20/2017 10:30PM ET",3.75,"PHO","LAC",0,0,0
