"Place_lo","Place_hi","Payout"
"1","1","150"
"2","2","100"
"3","3","70"
"4","4","60"
"5","5","50"
"6","6","40"
"7","7","35"
"8","8","30"
"9","10","25"
"11","15","20"
"16","20","15"
"21","25","10"
"26","30","9"
"31","40","8"
"41","55","6"
"56","110","5"
"111","210","4"
"211","310","3"
"311","510","2"
"511","910","1.5"
