"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
24,955744307,"sasmallen (2/4)",0,305.5,"F LeBron James C Kristaps Porzingis SG Jimmy Butler SF T.J. Warren G Tomas Satoransky PF Tyler Cavanaugh PG Yogi Ferrell UTIL Jarrett Allen",NA,"Tomas Satoransky","SG","10.56%",18.5
26,955215504,"Hunta512",0,305.25,"G Bradley Beal C Kristaps Porzingis SG Jimmy Butler SF T.J. Warren F Rondae Hollis-Jefferson UTIL Tyson Chandler PF Tyler Cavanaugh PG Yogi Ferrell",NA,"J.J. Barea","G","10.34%",33
27,955705500,"nickmason1922 (1/6)",0,305,"C Kristaps Porzingis SG Jimmy Butler SF Will Barton PF T.J. Warren PG Spencer Dinwiddie UTIL J.J. Barea F Jeff Green G Frank Ntilikina",NA,"Caris LeVert","F","9.89%",31.25
28,955562725,"ineedmoney23",0,304,"PF Kristaps Porzingis SG Jimmy Butler SF T.J. Warren PG Lonzo Ball G Spencer Dinwiddie UTIL Marcin Gortat C Tyson Chandler F Tyler Cavanaugh",NA,"Will Barton","SG","9.21%",30
29,955293959,"gmwilson (1/2)",0,303.75,"UTIL Joel Embiid C Karl-Anthony Towns SG Jimmy Butler SF T.J. Warren F Wilson Chandler PG Mike James PF Tyler Cavanaugh G Yogi Ferrell",NA,"Otto Porter Jr.","SF","9.21%",21.75
29,955299336,"gmwilson (2/2)",0,303.75,"UTIL Joel Embiid C Karl-Anthony Towns SG Jimmy Butler SF T.J. Warren F Wilson Chandler PG Mike James PF Tyler Cavanaugh G Yogi Ferrell",NA,"Brandon Ingram","G","8.99%",22.75
31,955743654,"Weedle (2/2)",0,303,"UTIL Karl-Anthony Towns C Kristaps Porzingis PG Lonzo Ball SF Rondae Hollis-Jefferson F Dario Saric SG JJ Redick PF Ersan Ilyasova G J.R. Smith",NA,"De'Aaron Fox","PG","8.76%",12
32,955626538,"MMathison04",0,302,"C Karl-Anthony Towns PF Kristaps Porzingis UTIL T.J. Warren SF Brandon Ingram SG Spencer Dinwiddie PG Jordan Clarkson F Allen Crabbe G Yogi Ferrell",NA,"Dario Saric","UTIL","8.54%",30.5
33,955710641,"Fulltilt82",0,301.75,"C Andre Drummond PF Kristaps Porzingis G Jimmy Butler PG Lonzo Ball SG J.J. Barea UTIL Trevor Booker SF Trey Lyles F Tyler Cavanaugh",NA,"Tyson Chandler","C","8.31%",25
33,955743684,"rbcues (9/20)",0,301.75,"UTIL Kristaps Porzingis SG Jimmy Butler PF T.J. Warren PG Spencer Dinwiddie SF Rondae Hollis-Jefferson F Julius Randle C Tyson Chandler G Allen Crabbe",NA,"J.R. Smith","UTIL","7.42%",22.25
33,955743691,"rbcues (16/20)",0,301.75,"UTIL Kristaps Porzingis SG Jimmy Butler SF T.J. Warren PG Spencer Dinwiddie PF Rondae Hollis-Jefferson F Julius Randle C Tyson Chandler G Wesley Matthews",NA,"Marcin Gortat","UTIL","7.19%",20.25
36,955543192,"kyle4cash710",0,301.5,"SF LeBron James PF Kristaps Porzingis F Will Barton G Spencer Dinwiddie C Julius Randle SG Frank Mason III UTIL Tyler Cavanaugh PG Frank Ntilikina",NA,"Frank Mason III","PG","7.19%",20.5
36,955748817,"RipCity7 (4/4)",0,301.5,"PF LeBron James C Kristaps Porzingis SF T.J. Warren PG Spencer Dinwiddie UTIL Marcin Gortat F J.R. Smith G Bogdan Bogdanovic SG Yogi Ferrell",NA,"Reggie Jackson","G","6.97%",21.5
38,955736996,"RipCity7 (3/4)",0,300.75,"PF Kristaps Porzingis G Jimmy Butler SF T.J. Warren UTIL Gary Harris PG Spencer Dinwiddie C Marcin Gortat F Julius Randle SG Yogi Ferrell",NA,"Jordan Clarkson","PG","6.74%",24
39,955238708,"otto637",0,298.25,"SF LeBron James PF Kristaps Porzingis SG Jimmy Butler G Caris LeVert C Brook Lopez UTIL Tony Parker PG Ish Smith F DeAndre' Bembry",NA,"Dennis Schroder","PG","6.52%",23.75
39,955725518,"TitletownTim",0,298.25,"C Karl-Anthony Towns G Jimmy Butler F T.J. Warren SG Spencer Dinwiddie SF Andrew Wiggins UTIL DeMarre Carroll PF Wilson Chandler PG Mike James",NA,"Allen Crabbe","SG","6.29%",28.75
39,955748218,"00BallsDeep00",0,298.25,"C Karl-Anthony Towns PF Kristaps Porzingis SG Jimmy Butler SF Andrew Wiggins F Ersan Ilyasova PG Jarrett Jack UTIL Wilson Chandler G Tyler Ulis",NA,"Trey Lyles","F","6.07%",26
42,955739614,"wasdammada",0,298,"PF Kristaps Porzingis F LaMarcus Aldridge SG Jimmy Butler C Enes Kanter PG Spencer Dinwiddie SF Ersan Ilyasova G Jarrett Jack UTIL José Calderón",NA,"Jeff Teague","UTIL","6.07%",23.75
43,955729428,"RubioDimes",0,297.75,"UTIL Karl-Anthony Towns PF Kristaps Porzingis F T.J. Warren PG Spencer Dinwiddie SF Rondae Hollis-Jefferson C Marcin Gortat SG Wesley Matthews G Patty Mills",NA,"Jarrett Jack","UTIL","5.84%",24.5
44,955743693,"rbcues (18/20)",0,297.5,"F Kristaps Porzingis SG Jimmy Butler PF T.J. Warren G Spencer Dinwiddie SF Rondae Hollis-Jefferson UTIL Julius Randle PG Jarrett Jack C Tyson Chandler",NA,"Jeff Green","F","5.62%",21.75
45,955678632,"RipCity7 (2/4)",0,297,"PF LeBron James C Kristaps Porzingis SF T.J. Warren PG Spencer Dinwiddie UTIL Marcin Gortat G Bogdan Bogdanovic SG Yogi Ferrell F Jae Crowder",NA,"Alex Len","F","5.62%",25
46,955019283,"ihags (4/4)",0,296.25,"C Andre Drummond PF Kristaps Porzingis SG Jimmy Butler PG Spencer Dinwiddie G JJ Redick UTIL Wesley Matthews SF Wilson Chandler F Kyle Korver",NA,"Kevin Love","PF","4.94%",37.5
47,954999112,"Edison888888",0,296,"PF Kristaps Porzingis SG Jimmy Butler G Will Barton UTIL Gary Harris PG Spencer Dinwiddie F Willie Cauley-Stein C Trevor Booker SF Doug McDermott",NA,"LaMarcus Aldridge","C","4.94%",42.25
47,955677525,"Cee356 (1/2)",0,296,"UTIL LeBron James C Kristaps Porzingis SG Brandon Ingram PG Spencer Dinwiddie PF Wilson Chandler F Mike Scott SF Trey Lyles G Yogi Ferrell",NA,"Kent Bazemore","F","4.72%",47
49,955737066,"nikolsberg (2/5)",0,295.25,"UTIL Karl-Anthony Towns C Kristaps Porzingis PG Dennis Schroder SF T.J. Warren SG Caris LeVert PF Wilson Chandler F Trevor Booker G Yogi Ferrell",NA,"Bogdan Bogdanovic","G","4.49%",24.75
50,955237642,"mikeaw1979",0,294.75,"F LeBron James C Kristaps Porzingis SG Jimmy Butler SF Rondae Hollis-Jefferson UTIL Jeff Green PG Patty Mills G Kyle Korver PF Maxi Kleber",NA,"Trevor Booker","C","4.04%",31.75
50,955743681,"rbcues (6/20)",0,294.75,"UTIL Kristaps Porzingis SG Jimmy Butler F T.J. Warren PG Spencer Dinwiddie PF Rondae Hollis-Jefferson SF Ersan Ilyasova C Tyson Chandler G Allen Crabbe",NA,"Doug McDermott","SF","4.04%",11.5
50,955743683,"rbcues (8/20)",0,294.75,"UTIL Kristaps Porzingis SG Jimmy Butler F T.J. Warren PG Spencer Dinwiddie PF Rondae Hollis-Jefferson SF Ersan Ilyasova C Tyson Chandler G Wesley Matthews",NA,"Kyle Kuzma","SF","3.82%",33.5
