"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,954998821,"123...Infinity (13/20)",0,318.75,"PG George Hill G Mike James F Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Jimmy Butler","G","70.23%",53
2,955619779,"SadSoxFan (1/15)",0,318,"F Bogdan Bogdanovic PG Tyler Ulis SG JJ Redick G Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Ben Simmons","SF","62.24%",21.25
3,954998811,"123...Infinity (3/20)",0,312.75,"PG George Hill F Bogdan Bogdanovic G Tyler Ulis SF JJ Redick SG Jimmy Butler UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Karl-Anthony Towns","C","57.95%",57
4,954899374,"jryan4530",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"T.J. Warren","SF","50.21%",27.75
5,955619789,"SadSoxFan (11/15)",0,308.75,"PG Tyler Ulis G Josh Jackson F Trevor Booker SG Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"JJ Redick","G","43.40%",33
6,955621360,"surajdave (15/20)",0,308.5,"G George Hill PG Mike James PF Willie Cauley-Stein F Marquese Chriss SF JJ Redick SG Jimmy Butler C Joel Embiid UTIL Karl-Anthony Towns",NA,"Zach Randolph","PF","40.45%",34.75
7,955750214,"abragmania",0,308,"PG Tyler Ulis SG JJ Redick G Jimmy Butler F Gorgui Dieng PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Jeff Teague","PG","34.82%",23.75
8,955394107,"seahawk5",0,307.75,"PF Zach Randolph G George Hill UTIL JJ Redick F Trevor Booker PG Jeff Teague SG Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Buddy Hield","SG","34.74%",17.5
9,954998818,"123...Infinity (10/20)",0,305.5,"F Zach Randolph PG George Hill SF Bogdan Bogdanovic G Tyler Ulis PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Andrew Wiggins","SF","33.56%",37.75
10,954998814,"123...Infinity (6/20)",0,304.5,"PG George Hill G Mike James F T.J. Warren SF Bogdan Bogdanovic PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Dario Saric","UTIL","30.45%",30.5
