"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA,27,NA,NA,34.25,NA
"Jeremy Lamb_CHA",NA,NA,30.75,NA,24.5,NA,17.5,NA,14,NA,9.75,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA,29.75,11.75,NA,NA
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA,25,0,NA,0
"Kelly Olynyk_MIA",NA,8.75,28.75,NA,23,NA,NA,NA,28.5,NA,20,NA
"Joe Ingles_UTA",NA,18,NA,24,32.25,NA,18.5,30,NA,NA,23.5,NA
"Trevor Ariza_HOU",NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,24,NA
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5,22,NA,23.75,32,NA,18.75
"Eric Gordon_HOU",NA,NA,16.75,NA,NA,NA,NA,NA,NA,NA,20.5,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,28.5,NA
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA,20,22.75,NA,11.25,28.75,NA,13.5
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA,41.25,21,NA,NA,20.75,NA
"Marcus Morris_BOS",NA,NA,NA,29.25,NA,27,15.5,NA,0,NA,0,NA
"Michael Kidd-Gilchrist_CHA",NA,NA,14.75,NA,25.25,NA,26.5,NA,11.75,NA,38.25,NA
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA,25,31.5,NA
"Dirk Nowitzki_DAL",NA,NA,21.25,NA,NA,27.25,20,NA,26.5,11.5,NA,33.25
"Jarrett Jack_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75,29.75,29.75,NA,11.75,NA,37.75,NA
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA,17.25,NA,14.25,NA,10.25,NA
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA,21.75,17.5,NA,24.25,NA,19.75,NA
"John Henson_MIL",NA,22.25,NA,29.5,NA,24,6.75,NA,21,NA,29.5,NA
"Josh Richardson_MIA",NA,23,26.25,NA,35.5,NA,NA,NA,25,NA,19,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA
"Frank Ntilikina_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Terry Rozier_BOS",NA,NA,NA,12.5,NA,11.75,16,NA,25.25,NA,17,NA
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25,17,NA,18.25,NA,35.75,NA
"Tyler Johnson_MIA",NA,6.25,24.25,NA,16,NA,NA,NA,35.75,NA,0,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA,25,0,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA,0,0,NA,NA
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA,28.75,18.25,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA,19.75,34.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA,25.75,21.5,NA
"Kyle O'Quinn_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Ryan Anderson_HOU",NA,NA,34.25,NA,NA,NA,NA,NA,NA,NA,16.25,NA
"Bam Adebayo_MIA",NA,31.5,18.75,NA,17.75,NA,NA,NA,14.75,NA,22.25,NA
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5,27.5,NA,24.75,21.75,NA,16.25
"Michael Beasley_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75,20,NA,10.25,NA,26.5,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA,16.5,NA,NA,21.75,NA,10.25,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA,16.5,41.25,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA,17.25,10.75,NA,NA
"JR Smith_CLE",NA,24.25,NA,13.75,NA,33.25,13,NA,18.75,22.25,NA,19.5
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA,1.25,NA,NA,18.25,NA
"Seth Curry_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Doug McDermott_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Mario Chalmers_MEM",NA,NA,0,NA,10.5,11.5,10,NA,22.25,NA,14.25,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0,0,NA,19.25,NA,20.75,NA
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA,29.25,NA,1.25,NA,8,NA
"Justise Winslow_MIA",NA,12.5,16.75,NA,25.25,NA,NA,NA,14,NA,2.5,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA,25.75,13.75,NA,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA,3.5,0,NA,NA
"Andre Roberson_OKC",NA,NA,24.75,NA,19.5,NA,NA,19,NA,NA,0,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA,14.75,NA,21,NA,0,NA
