"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Deyonta Davis_MEM",NA,NA,4.5,NA,17.5,0,13.25,NA,1.25,NA,4,NA,9.5,NA
"Chris Boucher_GS",0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA
"Kobi Simmons_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,4.5,NA
"Patrick Beverley_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA
"Willie Reed_LAC",2.75,NA,NA,16.25,NA,2,NA,NA,0,NA,0,NA,0,NA
"Brandon Knight_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,NA
"Alan Williams_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,NA
"Danuel House_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.75,NA,10,NA
"Brice Johnson_LAC",0,NA,NA,0,NA,6.75,NA,NA,0,NA,0,NA,0,NA
"Davon Reed_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,NA
"Sindarius Thornwell_LAC",6.75,NA,NA,4.25,NA,13,NA,NA,8.5,NA,6,NA,4.25,NA
"Alec Peters_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,NA
