"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","300"
"3","3","200"
"4","5","150"
"6","7","100"
"8","10","70"
"11","15","50"
"16","20","40"
"21","25","30"
"26","40","20"
"41","65","15"
"66","110","10"
"111","200","7.5"
"201","325","5"
"326","525","3"
"526","950","2.5"
"951","1705","2"
"1706","3100","1.5"
