"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,956547041,"RSandersRX",0,359.5,"F Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan SF Khris Middleton PF Greg Monroe G Milos Teodosic UTIL Mario Hezonja PG Andrew Harrison",NA,"Greg Monroe","F","60.84%",37.25
2,956153126,"ryan7962",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Khris Middleton","SF","47.79%",38.25
3,956218067,"MillionaireMatt89",0,357.25,"C Nikola Vucevic SG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Nikola Vucevic","C","45.47%",46
3,956263800,"elz24 (1/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Andrew Harrison","G","45.47%",35.75
3,956263823,"elz24 (2/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Aron Baynes","UTIL","42.42%",26.5
3,956269686,"elz24 (3/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Mario Hezonja","PG","37.71%",41.75
7,956098591,"B_Mcafee90 (2/2)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"Jonathon Simmons","F","36.69%",41
8,956332297,"swhogan35",0,339.75,"UTIL Nikola Vucevic F DeMar DeRozan PG Kyrie Irving SF Khris Middleton SG Jamal Murray PF Greg Monroe C Aron Baynes G Andrew Harrison",NA,"Milos Teodosic","SG","36.33%",28.5
9,956114048,"bigcsmiley",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan F Khris Middleton SF Jonathon Simmons PF Greg Monroe SG Milos Teodosic G Mario Hezonja",NA,"Marc Gasol","UTIL","33.14%",32
9,956490167,"meansy53",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan SG Khris Middleton F Jonathon Simmons PF Greg Monroe G Milos Teodosic SF Mario Hezonja",NA,"DeMarcus Cousins","PF","32.70%",52.75
11,955956159,"cxxcolexx (1/2)",0,337.75,"SF Giannis Antetokounmpo F DeMarcus Cousins C DeAndre Jordan PF Greg Monroe PG Milos Teodosic UTIL Aron Baynes G Mario Hezonja SG Andrew Harrison",NA,"Eric Bledsoe","SG","27.12%",32.25
11,955962783,"cxxcolexx (2/2)",0,337.75,"SF Giannis Antetokounmpo F DeMarcus Cousins C DeAndre Jordan PF Greg Monroe PG Milos Teodosic UTIL Aron Baynes G Mario Hezonja SG Andrew Harrison",NA,"Paul George","F","20.59%",27
