"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","25000"
"4","4","15000"
"5","5","10000"
"6","6","5000"
"7","8","4000"
"9","10","3000"
"11","15","2000"
"16","20","1500"
"21","30","1000"
"31","40","700"
"41","60","500"
"61","90","400"
"91","140","300"
"141","190","200"
"191","240","100"
"241","340","80"
"341","490","60"
"491","690","50"
"691","990","40"
"991","1490","35"
"1491","2190","30"
"2191","4190","25"
"4191","8290","20"
"8291","17290","15"
